,organization,position,link,location,date_added,key,real_link,title,type,description,company
0,Honeywell,,https://jobs.quantumapalooza.com/u/BgAAAAABjYXQXlDhqmt3Fxpq3xcRmxgFiWpiDN_Hd2EZkxHATKapI3I3BM_uEKdSDgzzh1tvru00yPxZ4OesZvjNd5t6rt65BDeVRroUSRswQkGpzuD4NLjOqtCggv0SForgrfLJ8HUyPTk9hCI_aHZptakysiOVyrg==,,2022-10-30,careers.honeywell.com,https://careers.honeywell.com/us/en/job/HONEUSREQ379911EXTERNALENUS,,,,Quantinuum
1,Honeywell,,https://jobs.quantumapalooza.com/u/BgAAAAABjYXQYJPwCfu7qShDTtVTedqjrlIYIdTZDEgSPTPDo3meq-RSRfxCPDcyZxOGPymwMhHjpqnHevnu-MrXw3gifmzlfkFy50vKr9P6QUW34QARA1D4PbAMBu3adJQusK5hp3t44cdwgJ3R2EqAjqqVAUn4xfQ==,,2022-10-30,careers.honeywell.com,https://careers.honeywell.com/us/en/job/HONEUSREQ378772EXTERNALENUS,,,,Quantinuum
2,Honeywell,,https://jobs.quantumapalooza.com/u/BgAAAAABjYXQabUEBMaKEH8mG8toWqxCdi8ijikeUCASMuttZUjEOFlg7rKlOqqsNkmgNLqzaaYIO2TMpGAWQsQrorR7ENG1hiL4n8fEsPj488s6rFbd4fF6i-Pr065yJaQbfKvIdCx-qcIForZ2Z396M030ik98rcQ==,,2022-10-30,careers.honeywell.com,https://careers.honeywell.com/us/en/job/HONEUSREQ378776EXTERNALENUS,,,,Quantinuum
3,Honeywell,,https://jobs.quantumapalooza.com/u/BgAAAAABjYXQdq_QKkALaz1m9kBO9o3hRxoIZiJxXwAzQnCs-yzcmdoZ4UXAqwwB3hHTJAJS2aMLA4DrQC75tcWWHCezEnaoxbaMg5e7i4gQpx_TQgCJ3EiWJLaQv9xA1tp1pRz6QVI1imICTdnc3k4zXxnvNHLbkvw==,,2022-10-30,careers.honeywell.com,https://careers.honeywell.com/us/en/job/HONEUSREQ379656EXTERNALENUS,,,,Quantinuum
4,Microsoft,,https://jobs.quantumapalooza.com/u/BgAAAAABjYXSEo4LYa0G2CB8XcPbbevTQQR4Bpo2mDlpWJGhOlBDysJa0pqGFUUMzd7JHYyMDw1Syz0l6PZ2Jfj0Tdl1IxVk5K-C2Cw8khpuOBfj_nW9XErwdsaZ1T__lSVGZ5Eejy9NGbVlxEk-L3ArTjWrjQW5J8A==,,2022-10-30,careers.microsoft.com,https://careers.microsoft.com/us/en/job/1486091/,,,,Microsoft
5,Microsoft,,https://jobs.quantumapalooza.com/u/BgAAAAABjYXSFQPnQMwtuUM1B4-3QAuneDWms3Sghe7OOvuVpoY8IVJ-8ktLwasuKoJ7dAvG9UYsb1AiXN6VGID138o1W9OU_H8nW8u_J5563YozSZaUTK5bIwqmci3tlLqrpoDVvKnBjb4fKlWdGMAgKOfB9ZP-nHg==,,2022-10-30,careers.microsoft.com,https://careers.microsoft.com/us/en/job/1482823/,,,,Microsoft
6,Microsoft,,https://jobs.quantumapalooza.com/u/BgAAAAABjYXSJA4fY59H-DAZLZ0YvOD3z_vw-Aqs3473aqWaZpHbzOv9hhBpk4RjvpBx0gMokTduMxkf-ifDWNOEDJvlAwqkUFQxEdrg0ShBTBRRGDmF0x3nFSjMftmB8p3qgIqCKW02XRnu4PB1jEx2LAPL0ObabZw==,,2022-10-30,careers.microsoft.com,https://careers.microsoft.com/us/en/job/1482791/,,,,Microsoft
7,NVIDIA,,https://jobs.quantumapalooza.com/u/BgAAAAABjYXSwpPEMKLDSIvjgc1WgNx_fn7S7kHPydafAhGpQXe_bbUNIXHkdYFaFPGwS1yjCr9tIGcc9cJ_4OrCXYWSE4LiN6Gk3QJ4h-G9I5ZKDNDxHnMUiwgX2MS46oz-bnmUsR_-ZCUq3Ly6hzrD97fDksvL1bw==,,2022-10-30,nvidia.wd5.myworkdayjobs.com,https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/Taiwan-Taipei/Solution-Architect--Quantum-Computing_JR1963212-1,,,,Nvidia
8,Honeywell,,https://jobs.quantumapalooza.com/u/BgAAAAABjYXQWuk10vT5MStMDfH9wNEvsdUIsrp8HluxFW1xByJMB_tfDrvMfctV-ulfkolKstiQ_1vObjjMTiDby3XJ5tfIDTbhvv0c5MbMFHkvQzBYdcNI9Pca1duuwRHbddrrd1kDrlVOHwzZ8nVnCteg8ENYQAA==,,2022-10-27,careers.honeywell.com,https://careers.honeywell.com/us/en/job/req379664,,,,Quantinuum
9,Honeywell,,https://jobs.quantumapalooza.com/u/BgAAAAABjYXQVJy6vuaFEqEZfQWuSisXCAq4khgUD2Opa3wmAEqaFJ-JAp9lNx7HENVDGQ2lL0gbY3cV2CWkvyw6dv7CX2g_dfHBXuPuYfISone848rxqZvhdxUoG8JWrdJrhCo893Z4SWZMeuejtG34d68NHvTCcyQ==,,2022-10-26,careers.honeywell.com,https://careers.honeywell.com/us/en/job/HONEUSREQ379514EXTERNALENUS,,,,Quantinuum
