,organization,position,link,location,date_added,real_link,date
0,AOSense,Senior Electrical Engineer,https://jobs.quantumapalooza.com/u/BgAAAAABjYXOvYlYWL_Xx_kul5404_N4rD4qxmpgfQYDrK-V1vib06lsCCvzmBL2enMHx6VWJq--zlMGHyXz2y4G01spUGqyuzY5YgALoVrEO4z82D5fzspEfM4GMBRPZ6aOhIGWC2XrhK4qzl681hcTh7w9Ujnzsgw==,USA; California; Freemont,2022-11-01,https://www.indeed.com/viewjob?jk=95d144f06ae71b4c&from=mobRdr&utm_source=%2Fm%2F&utm_medium=redir&utm_campaign=dt,02/11/2022
1,ColdQuanta,Program Manager - Albert,https://jobs.quantumapalooza.com/u/BgAAAAABjYXPPWEdQGBbHJvV-BC9SMyt6-iT1pKJZVJ2M3bZYs6PAsYjDtPPk6NYglWXBy7LATbM0szA1iUarS2YlgVL0mGbSXF08TiakeA3KarwMmnZv-lpqyApr1sO_IRqSirOcGfVIE5wXRuXbb4Xe4bNBiwFwzQ==,USA; Colorado; Boulder,2022-11-01,https://www.indeed.com/viewjob?jk=bb2dcd467c5f5cd6&from=mobRdr&utm_source=%2Fm%2F&utm_medium=redir&utm_campaign=dt,02/11/2022
2,D-Wave Government,Technical Sales Engineer - East Coast (Remote US or Canada),https://jobs.quantumapalooza.com/u/BgAAAAABjYXPb0BXp0fB5uGimGSdBCFAHLb3AeHPF_B3lKtbkixlfhTrBbYd8ZfBHJ96x8tirQ0uuspWfl1ZAhduSzBd-8feHpNgUVjN8sHM-0QzHkxo32HVMrYDtjWXiGcvGJK0aCmkpE4gDrHWIb0A1i4EbzV_emA==,"USA; Remote
Canada; Remote",2022-11-01,https://www.indeed.com/viewjob?jk=3ceb0e423c933b7b&from=mobRdr&utm_source=%2Fm%2F&utm_medium=redir&utm_campaign=dt,02/11/2022
3,IonQ,"Senior Engineer, Integrated Photonics",https://jobs.quantumapalooza.com/u/BgAAAAABjYXRRhX_-2W6UXsUIjzvd3mpBW5YqQph7GDYxNtFTfPIWXdtKchRNGzuviern-IK2nBu01sXqXFzOkud1qjLR4RdQ6cKGT-kHwM1GoS0dQAewulgFlj9Sni73plp0lz9q-JvkY6Px6bHPVACu3qiD3BZTXw==,USA; Maryland; College Park,2022-11-01,https://www.indeed.com/viewjob?jk=fa01c93d668ee765&from=mobRdr&utm_source=%2Fm%2F&utm_medium=redir&utm_campaign=dt,02/11/2022
4,IonQ,"Senior Software Engineer, Automation and Calibration",https://jobs.quantumapalooza.com/u/BgAAAAABjYXRXU9XaiD-hmY3klGqkODT4a9GakBjZ4B8VAp-jYZIibGhi_3lwd9UE_KXby2f31X23jbtpEyzBMzxgarcwAcZvEXQSnOZBkgTdJ-EWMB0mm9EhkfwxSlLKRkqVNsU6XAuwYab9szgY7JDQnX42AKrumA==,USA; Maryland; College Park,2022-11-01,https://www.indeed.com/viewjob?jk=77542008d0591345&from=mobRdr&utm_source=%2Fm%2F&utm_medium=redir&utm_campaign=dt,02/11/2022
5,Honeywell,"Quantinuum - IT Director, Compute & Workplace Services",https://jobs.quantumapalooza.com/u/BgAAAAABjYXQXlDhqmt3Fxpq3xcRmxgFiWpiDN_Hd2EZkxHATKapI3I3BM_uEKdSDgzzh1tvru00yPxZ4OesZvjNd5t6rt65BDeVRroUSRswQkGpzuD4NLjOqtCggv0SForgrfLJ8HUyPTk9hCI_aHZptakysiOVyrg==,USA; Colorado; Broomfield,2022-10-30,https://careers.honeywell.com/us/en/job/HONEUSREQ379911EXTERNALENUS,02/11/2022
6,Honeywell,Quantinuum - Lead Engineering Technician,https://jobs.quantumapalooza.com/u/BgAAAAABjYXQYJPwCfu7qShDTtVTedqjrlIYIdTZDEgSPTPDo3meq-RSRfxCPDcyZxOGPymwMhHjpqnHevnu-MrXw3gifmzlfkFy50vKr9P6QUW34QARA1D4PbAMBu3adJQusK5hp3t44cdwgJ3R2EqAjqqVAUn4xfQ==,USA; Arizona; Golden Valley,2022-10-30,https://careers.honeywell.com/us/en/job/HONEUSREQ378772EXTERNALENUS,02/11/2022
7,Honeywell,Quantinuum - Process Engineer - Liquefaction,https://jobs.quantumapalooza.com/u/BgAAAAABjYXQabUEBMaKEH8mG8toWqxCdi8ijikeUCASMuttZUjEOFlg7rKlOqqsNkmgNLqzaaYIO2TMpGAWQsQrorR7ENG1hiL4n8fEsPj488s6rFbd4fF6i-Pr065yJaQbfKvIdCx-qcIForZ2Z396M030ik98rcQ==,USA; Colorado; Broomfield,2022-10-30,https://careers.honeywell.com/us/en/job/HONEUSREQ378776EXTERNALENUS,02/11/2022
8,Honeywell,Quantinuum - Senior Advanced Trapped Ion Physicist,https://jobs.quantumapalooza.com/u/BgAAAAABjYXQdq_QKkALaz1m9kBO9o3hRxoIZiJxXwAzQnCs-yzcmdoZ4UXAqwwB3hHTJAJS2aMLA4DrQC75tcWWHCezEnaoxbaMg5e7i4gQpx_TQgCJ3EiWJLaQv9xA1tp1pRz6QVI1imICTdnc3k4zXxnvNHLbkvw==,"USA; Minnesota; Golden Valley
USA; Colorado; Broomfield",2022-10-30,https://careers.honeywell.com/us/en/job/HONEUSREQ379656EXTERNALENUS,02/11/2022
9,Microsoft,MBE Growth Engineer,https://jobs.quantumapalooza.com/u/BgAAAAABjYXSEo4LYa0G2CB8XcPbbevTQQR4Bpo2mDlpWJGhOlBDysJa0pqGFUUMzd7JHYyMDw1Syz0l6PZ2Jfj0Tdl1IxVk5K-C2Cw8khpuOBfj_nW9XErwdsaZ1T__lSVGZ5Eejy9NGbVlxEk-L3ArTjWrjQW5J8A==,USA; Washington; Redmond,2022-10-30,https://careers.microsoft.com/us/en/job/1486091/,02/11/2022
10,Microsoft,Quantum Software Researcher,https://jobs.quantumapalooza.com/u/BgAAAAABjYXSFQPnQMwtuUM1B4-3QAuneDWms3Sghe7OOvuVpoY8IVJ-8ktLwasuKoJ7dAvG9UYsb1AiXN6VGID138o1W9OU_H8nW8u_J5563YozSZaUTK5bIwqmci3tlLqrpoDVvKnBjb4fKlWdGMAgKOfB9ZP-nHg==,USA; Washington; Redmond,2022-10-30,https://careers.microsoft.com/us/en/job/1482823/,02/11/2022
