,quantity,Unnamed: 0,organization,position,link,location,date_added,real_link,title,type,description,company,key
0,2,0,SEEQC,,https://jobs.quantumapalooza.com/u/BgAAAAABjS-n5gcvlVjykT2fh30ZV_pqBgDpikuycKd01eGVRNvpYEGz6mM8TOcg2w5qYPz9dyzrpjkhpfbAfQ1shjqjAKLCP7f3Gs2S3SP6eB6g6XU166RcdcZAZSV-9hgleBCQFQUkdNMdesa-swEKecGtH9hh3uw==,,2022-10-15,https://www.linkedin.com/jobs/view/2947061266/,,,,,www.linkedin.com
1,29,2,Honeywell,,https://jobs.quantumapalooza.com/u/BgAAAAABjS-jak7Lf58u2bBA6Na5GERoQe73ZfHQZtYKsRGGRQ2CJylzQBD2u8Ninpz59Op9IyZicxDtCsZdqt8eK175NrMs8eM7XeAf8ZcLHgfrmm6dg7P22N4RQZcD5IpJOoBp1gxfVmxrzpMhS0ZgMqD1s561xow==,,2022-10-12,https://careers.honeywell.com/us/en/job/HONEUSREQ377775EXTERNALENUS,,,,Quantinuum,careers.honeywell.com
2,8,5,IonQ,,https://jobs.quantumapalooza.com/u/BgAAAAABjS-kLO4NXx_hfiQlrOm2ncUeBCaTpMPlUTO7tffj15UGGTQPgquez-efiH3Kdh0k3mewvKtm1jvyqSirVz1mlx-6qmNWGSvNvPsgRqa8uXpyWK2XFDCa-cfA_14f1nzxwk1qTirgHpwOAC3jOpH9SbM7Fgg==,,2022-09-24,"https://www.glassdoor.com/Job/quantum-computing-jobs-SRCH_KO0,17_IP2.htm?fromAge=3&includeNoSalaryJobs=true&pgc=AB4AAYEAHgAAAAAAAAAAAAAAAeZX1WgAPgEBAQcWt7dZaYF8yoCKpkuN4WuneuF5zP5FSFV5ddusfbKSbpDHzFNQB5dXkBND9vWvaEq3zqhmOvjlOs45AAA%3D",,,,,www.glassdoor.com
3,27,6,D-Wave Government,,https://jobs.quantumapalooza.com/u/BgAAAAABjS-ibV6aLqkPj4ekUZ9Cpc7aH5zS-zUJm5-6MapuHeV3mviASVh5MF6Y6NEiqYmu17Ax4rOyTwnSstIUi8FIK3L7pfZF2fIsIK9mXnp6goAfNCTnCoCsmvJBQ1RDf0UuoxrD4SbSGTWfePyWcXRK87gOeRQ==,,2022-09-23,https://jobs.lever.co/dwavesys/b68d0647-75e2-4d33-a02e-34d7c5fe620d,,,,Lever,jobs.lever.co
4,66,9,Google,,https://jobs.quantumapalooza.com/u/BgAAAAABjS-i-huaCbJhABrl4raYrjvKCFjNCjnY4_SLAfJrzH1-59ORrF-SqSDjto5UB2OlblxVRXbnuOEd0dNsmeDbdYdzsMwcoBmwws6iqlg3LmFplVJXgaBsconmkSr3GOg3sFiwgT42BcOeUJ3uz5LxtUMW7mA==,,2022-09-22,https://careers.google.com/jobs/results/130142965369578182-microfabrication-process-development-hardware-engineer-quantum-ai/,,,,,careers.google.com
5,1,12,Cisco,Quantum Postdoctoral Researcher/Intern,https://jobs.quantumapalooza.com/u/BgAAAAABjS-iJNf_ccM50H7OlVetOkjDsiQwWURAMgu1G7tQT-fyrPbQ36n4Pp2q1xpksl3P4MZp0FZmccU68QKCsm2_WLNh8udCPtg4F_WqQQKLq3F3mOuw4kemPwUKj5vajCDokUEpJVHVerpNGlgAhKUVkqUckqQ==,"San Jose, California 95134, United States",2022-09-21,https://academicjobsonline.org/ajo/jobs/22596,"Cisco Systems Inc., Cisco Quantum Lab",Postdoctoral,,Cisco Systems Inc.-Cisco Quantum Lab-PD_INTERN [#22596],academicjobsonline.org
6,31,13,ColdQuanta,,https://jobs.quantumapalooza.com/u/BgAAAAABjS-iPSB40gxSVsqstmRZCu8xc2MspkOYdgIp69RjoCXRqe4QThDhrmhQssNY0nlfM9D_2_6KxTiwZYloN-SaaCBW_wZ71sU_ZQyBiPEAWlji_7KUKJFsEQpbpHoE-Lpk798bsHE_kClRH8DLnmBTZ9deBEA==,,2022-09-17,https://apply.workable.com/coldquanta/j/CF3D6059FF/,,,,,apply.workable.com
7,13,14,IonQ,,https://jobs.quantumapalooza.com/u/BgAAAAABjS-kO7fH2f84xj5-JqSVdeR8JeebOsz7Ris8Yw14rMgT9ieb6IEdRJnCejKBrUbH7IfSqEZj0F6iREr5LrltOE9A2__M55cGyh45sJ44GNz48DF83EuysCbuvajcBcUQNWRk5exOMhJJYk3aWuRRgeqeCbQ==,,2022-09-17,https://ionq.com/,,,,Ionq,ionq.com
8,6,20,PsiQuantum,,https://jobs.quantumapalooza.com/u/BgAAAAABjS-mRROoORx9w0deYc2TRuGTGa7w8G8G2IBBbc3RtWg6dHXZ9TfMP3dNOavJprrViJY8TVOkSvOn4jFyf4wng2akJ49Wd2LBEZBAX8d2jZWwoge9AYfxmV80xS2fBvvojJ9cZQ5h6v9i8eoj_7JQUUtvMhw==,,2022-09-17,https://psiquantum.com/jobdetail?gh_jid=5057988003,,,,Psiquantum,psiquantum.com
9,9,25,Northrop Grumman,Job Search,https://jobs.quantumapalooza.com/u/BgAAAAABjS-ldSNVUix_1ZTOk3tSd16DFNFXC3l60L8LmDPwsRSG3fNOVlgKbCbedmBOMJR449jpYmFE-nsbAgOlVzVWb_A6sz6Lpo90eTefLXdr4JFdY8KbVLnBTBMTg__fDuePQpoRdyVzoFW1Omg41jPEVEhyHRw==,,2022-09-12,https://www.northropgrumman.com/jobs/?category=Engineering&fof=1,Job Search,,,Northrop_Grumman,www.northropgrumman.com
