,code,detailed_work_activity
0,13-2011.00,"Prepare financial documents, reports, or budgets."
1,13-2011.00,Advise others on financial matters.
2,13-2011.00,Report information to managers or other personnel.
3,13-2011.00,Advise others on business or operational matters.
4,13-2011.00,Examine financial records.
5,13-2011.00,Collect evidence for legal proceedings.
6,13-2011.00,Investigate legal issues.
7,13-2011.00,Oversee business processes.
8,13-2011.00,Examine financial records or processes.
9,13-2011.00,"Discuss business strategies, practices, or policies with managers."
10,13-2011.00,Analyze business or financial data.
11,13-2011.00,Prepare financial documents.
12,13-2011.00,Verify accuracy of records.
13,13-2011.00,Verify accuracy of financial information.
14,13-2011.00,Analyze financial information.
15,13-2011.00,Conduct financial or regulatory audits.
16,13-2011.00,Calculate tax information.
17,13-2011.00,Advise others on human resources topics.
18,13-2011.00,Represent the interests of clients in legal proceedings.
19,13-2011.00,Develop business or financial information systems.
20,13-2011.00,Assess financial status of clients.
21,13-2011.00,Coordinate regulatory documentation activities.
22,13-2011.00,Evaluate effectiveness of personnel policies or practices.
23,13-2011.00,Analyze budgetary or accounting data.
24,13-2011.00,"Pay charges, fees, or taxes."
25,13-2011.00,Prepare operational budgets.
26,27-2011.00,Collaborate with others to prepare or perform artistic productions.
27,27-2011.00,Entertain public with comedic or dramatic performances.
28,27-2011.00,Study scripts to determine project requirements.
29,27-2011.00,Practice athletic or artistic skills.
30,27-2011.00,Audition for roles.
31,27-2011.00,Perform music for the public.
32,27-2011.00,Collaborate with others to determine technical details of productions.
33,27-2011.00,"Promote products, activities, or organizations."
34,27-2011.00,Write material for artistic or entertainment purposes.
35,27-2011.00,"Inform viewers, listeners, or audiences."
36,27-2011.00,"Construct distinctive physical objects for artistic, functional, or commercial purposes."
37,29-1291.00,Follow protocols or regulations for healthcare activities.
38,29-1291.00,Develop treatment plans that use non-medical therapies.
39,29-1291.00,Treat patients using alternative medical procedures.
40,29-1291.00,"Collect medical information from patients, family members, or other medical professionals."
41,29-1291.00,Analyze test data or images to inform diagnosis or treatment.
42,29-1291.00,Advise patients on effects of health conditions or treatments.
43,29-1291.00,Examine patients to assess general physical condition.
44,29-1291.00,Record patient medical histories.
45,29-1291.00,"Train patients, family members, or caregivers in techniques for managing disabilities or illnesses."
46,29-1291.00,Prepare medications or medical solutions.
47,29-1291.00,Treat patients using physical therapy techniques.
48,29-1291.00,Evaluate patient outcomes to determine effectiveness of treatments.
49,29-1291.00,Evaluate treatment options to guide medical decisions.
50,29-1291.00,Prescribe treatments or therapies.
51,29-1141.01,Treat medical emergencies.
52,29-1141.01,Administer anesthetics or sedatives to control pain.
53,29-1141.01,Monitor patients following surgeries or other treatments.
54,29-1141.01,Record patient medical histories.
55,29-1141.01,Diagnose medical conditions.
56,29-1141.01,"Monitor patient conditions during treatments, procedures, or activities."
57,29-1141.01,Administer blood or other fluids intravenously.
58,29-1141.01,Analyze patient data to determine patient needs or treatment goals.
59,29-1141.01,Adjust prostheses or other assistive devices.
60,29-1141.01,"Evaluate patient functioning, capabilities, or health."
61,29-1141.01,Prescribe medications.
62,29-1141.01,Analyze test data or images to inform diagnosis or treatment.
63,29-1141.01,Communicate detailed medical information to patients or family members.
64,29-1141.01,Collect biological specimens from patients.
65,29-1141.01,Refer patients to other healthcare practitioners or health resources.
66,29-1141.01,Operate diagnostic or therapeutic medical instruments or equipment.
67,29-1141.01,Prepare medical supplies or equipment for use.
68,29-1141.01,Order medical diagnostic or clinical tests.
69,29-1141.01,Collaborate with healthcare professionals to plan or provide treatment.
70,29-1141.01,"Assess patient work, living, or social environments."
71,29-1141.01,Process healthcare paperwork.
72,29-1141.01,Maintain medical or professional knowledge.
73,29-1141.01,Train medical providers.
74,29-1141.01,"Treat acute illnesses, infections, or injuries."
75,29-1141.01,Evaluate treatment options to guide medical decisions.
76,29-1141.01,Advise patients on healthcare system processes.
