,code,related
0,13-2011.00,43-3031.00
1,13-2011.00,13-2031.00
2,13-2011.00,13-2041.00
3,13-2011.00,13-2051.00
4,13-2011.00,13-2061.00
5,13-2011.00,11-3031.00
6,13-2011.00,13-2052.00
7,13-2011.00,13-2081.00
8,13-2011.00,13-2082.00
9,13-2011.00,11-3031.01
10,27-2011.00,25-1121.00
11,27-2011.00,27-3011.00
12,27-2011.00,27-2032.00
13,27-2011.00,27-2031.00
14,27-2011.00,27-2041.00
15,27-2011.00,27-2042.00
16,27-2011.00,27-3043.05
17,27-2011.00,27-2012.00
18,27-2011.00,27-2012.04
19,27-2011.00,27-3043.00
20,15-2011.00,13-2011.00
21,15-2011.00,11-3111.00
22,15-2011.00,13-1141.00
23,15-2011.00,13-2051.00
24,15-2011.00,13-2061.00
25,15-2011.00,11-3031.00
26,15-2011.00,13-2054.00
27,15-2011.00,41-3021.00
28,15-2011.00,13-2053.00
29,15-2011.00,13-2052.00
30,29-1291.00,29-1229.01
31,29-1291.00,29-1212.00
32,29-1291.00,29-1011.00
33,29-1291.00,29-1214.00
34,29-1291.00,29-1215.00
35,29-1291.00,29-1216.00
36,29-1291.00,31-9011.00
37,29-1291.00,29-1299.01
38,29-1291.00,29-1171.00
39,29-1291.00,29-1229.04
40,29-1141.01,29-1141.02
41,29-1141.01,29-1141.04
42,29-1141.01,29-1141.03
43,29-1141.01,29-2042.00
44,29-1141.01,29-2061.00
45,29-1141.01,29-1161.00
46,29-1141.01,31-1131.00
47,29-1141.01,29-2043.00
48,29-1141.01,29-1141.00
49,29-1141.01,29-1126.00
50,25-2059.01,25-9031.00
51,25-2059.01,25-1193.00
52,25-2059.01,19-3034.00
53,25-2059.01,25-2031.00
54,25-2059.01,25-2056.00
55,25-2059.01,25-2055.00
56,25-2059.01,25-2057.00
57,25-2059.01,25-2051.00
58,25-2059.01,25-2058.00
59,25-2059.01,25-9043.00
60,51-9191.00,51-9032.00
61,51-9191.00,51-6091.00
62,51-9191.00,51-9041.00
63,51-9191.00,51-9022.00
64,51-9191.00,53-7063.00
65,51-9191.00,51-9111.00
66,51-9191.00,51-9196.00
67,51-9191.00,51-4023.00
68,51-9191.00,51-6062.00
69,51-9191.00,51-7042.00
70,23-1021.00,23-1022.00
71,23-1021.00,11-1011.00
72,23-1021.00,13-1031.00
73,23-1021.00,13-1041.03
74,23-1021.00,13-2099.04
75,23-1021.00,23-1023.00
76,23-1021.00,23-1012.00
77,23-1021.00,13-1075.00
78,23-1021.00,23-1011.00
79,23-1021.00,21-1092.00
80,11-3012.00,11-9199.02
81,11-3012.00,15-1299.03
82,11-3012.00,43-6011.00
83,11-3012.00,11-3013.00
84,11-3012.00,41-1012.00
85,11-3012.00,43-1011.00
86,11-3012.00,11-1021.00
87,11-3012.00,11-3121.00
88,11-3012.00,13-1071.00
89,11-3012.00,13-1082.00
90,25-3011.00,25-2021.00
91,25-3011.00,25-2012.00
92,25-3011.00,25-2022.00
93,25-3011.00,25-2031.00
94,25-3011.00,25-2056.00
95,25-3011.00,25-2055.00
96,25-3011.00,25-2057.00
97,25-3011.00,25-2058.00
98,25-3011.00,25-9043.00
99,25-3011.00,25-3041.00
100,29-1141.02,29-1141.01
101,29-1141.02,19-3039.03
102,29-1141.02,29-1141.04
103,29-1141.02,29-1141.03
104,29-1141.02,29-1215.00
105,29-1141.02,21-1014.00
106,29-1141.02,29-1171.00
107,29-1141.02,29-2053.00
108,29-1141.02,29-1223.00
109,29-1141.02,29-1141.00
110,11-2011.00,41-3011.00
111,11-2011.00,13-1131.00
112,11-2011.00,11-2033.00
113,11-2011.00,13-1161.00
114,11-2011.00,11-2021.00
115,11-2011.00,13-1199.06
116,11-2011.00,11-2032.00
117,11-2011.00,27-3031.00
118,11-2011.00,11-2022.00
119,11-2011.00,13-1161.01
120,41-3011.00,11-2011.00
121,41-3011.00,13-1161.00
122,41-3011.00,11-2021.00
123,41-3011.00,27-3031.00
124,41-3011.00,41-9022.00
125,41-3011.00,11-2022.00
126,41-3011.00,41-4012.00
127,41-3011.00,41-4011.00
128,41-3011.00,13-1161.01
129,41-3011.00,41-9041.00
130,17-3021.00,49-3011.00
131,17-3021.00,17-3027.01
132,17-3021.00,49-2091.00
133,17-3021.00,17-3028.00
134,17-3021.00,17-3023.00
135,17-3021.00,49-2094.00
136,17-3021.00,17-3024.00
137,17-3021.00,17-3026.00
138,17-3021.00,17-3027.00
139,17-3021.00,17-3024.01
140,17-2011.00,17-3021.00
141,17-2011.00,49-3011.00
142,17-2011.00,17-2141.02
143,17-2011.00,49-2091.00
144,17-2011.00,17-3028.00
145,17-2011.00,17-3024.00
146,17-2011.00,17-2072.00
147,17-2011.00,17-3027.00
148,17-2011.00,17-2141.00
149,17-2011.00,17-2199.05
150,13-1011.00,11-2011.00
151,13-1011.00,41-3011.00
152,13-1011.00,27-1011.00
153,13-1011.00,13-1161.00
154,13-1011.00,11-2021.00
155,13-1011.00,13-1121.00
156,13-1011.00,11-2032.00
157,13-1011.00,27-3031.00
158,13-1011.00,27-2012.04
159,13-1011.00,27-3043.00
160,17-2021.00,11-3051.03
161,17-2021.00,11-9041.01
162,17-2021.00,19-1031.00
163,17-2021.00,17-2081.00
164,17-2021.00,11-9013.00
165,17-2021.00,19-2041.03
166,17-2021.00,17-2112.00
167,17-2021.00,19-4012.01
168,17-2021.00,19-1013.00
169,17-2021.00,17-2051.02
170,45-2091.00,53-7011.00
171,45-2091.00,51-9021.00
172,45-2091.00,51-6091.00
173,45-2091.00,51-9041.00
174,45-2091.00,45-2092.00
175,45-2091.00,53-7051.00
176,45-2091.00,53-7062.00
177,45-2091.00,53-7063.00
178,45-2091.00,37-3012.00
179,45-2091.00,51-9012.00
180,45-2011.00,19-4012.00
181,45-2011.00,53-6051.01
182,45-2011.00,47-4011.00
183,45-2011.00,45-1011.00
184,45-2011.00,19-4013.00
185,45-2011.00,45-2041.00
186,45-2011.00,51-9061.00
187,45-2011.00,19-5012.00
188,45-2011.00,53-6051.07
189,45-2011.00,43-5111.00
190,25-1041.00,25-1051.00
191,25-1041.00,25-1042.00
192,25-1041.00,25-2023.00
193,25-1041.00,25-1194.00
194,25-1041.00,25-1053.00
195,25-1041.00,25-1192.00
196,25-1041.00,25-9021.00
197,25-1041.00,11-9013.00
198,25-1041.00,25-1043.00
199,25-1041.00,19-1013.00
200,19-4012.00,51-8099.01
201,19-4012.00,19-4021.00
202,19-4012.00,19-4031.00
203,19-4012.00,11-9013.00
204,19-4012.00,45-1011.00
205,19-4012.00,19-4013.00
206,19-4012.00,19-1012.00
207,19-4012.00,19-4071.00
208,19-4012.00,29-2012.00
209,19-4012.00,19-4012.01
210,53-2021.00,53-1041.00
211,53-2021.00,53-2022.00
212,53-2021.00,53-2011.00
213,53-2021.00,53-6051.01
214,53-2021.00,53-2012.00
215,53-2021.00,43-5032.00
216,53-2021.00,53-4011.00
217,53-2021.00,43-5031.00
218,53-2021.00,53-4031.00
219,53-2021.00,53-6041.00
220,53-1041.00,53-2022.00
221,53-1041.00,43-5011.00
222,53-1041.00,43-5032.00
223,53-1041.00,53-1042.00
224,53-1041.00,53-1043.00
225,53-1041.00,53-1044.00
226,53-1041.00,51-1011.00
227,53-1041.00,53-7051.00
228,53-1041.00,53-6051.00
229,53-1041.00,11-3071.00
230,49-3011.00,17-3021.00
231,49-3011.00,53-6032.00
232,49-3011.00,51-2011.00
233,49-3011.00,49-2091.00
234,49-3011.00,49-3031.00
235,49-3011.00,49-2092.00
236,49-3011.00,51-2031.00
237,49-3011.00,49-3042.00
238,49-3011.00,49-3051.00
239,49-3011.00,49-3043.00
240,53-6032.00,53-1041.00
241,53-6032.00,49-3011.00
242,53-6032.00,51-2011.00
243,53-6032.00,53-6031.00
244,53-6032.00,49-2091.00
245,53-6032.00,49-3031.00
246,53-6032.00,53-7061.00
247,53-6032.00,53-2012.00
248,53-6032.00,49-9071.00
249,53-6032.00,49-3043.00
250,51-2011.00,49-3011.00
251,51-2011.00,49-2091.00
252,51-2011.00,51-2022.00
253,51-2011.00,51-2023.00
254,51-2011.00,51-2031.00
255,51-2011.00,49-9041.00
256,51-2011.00,51-4192.00
257,51-2011.00,49-9044.00
258,51-2011.00,51-2041.00
259,51-2011.00,51-4122.00
260,53-2022.00,53-2021.00
261,53-2022.00,53-1041.00
262,53-2022.00,53-2011.00
263,53-2022.00,53-6051.01
264,53-2022.00,53-2012.00
265,53-2022.00,53-1043.00
266,53-2022.00,53-1044.00
267,53-2022.00,53-2031.00
268,53-2022.00,53-4031.00
269,53-2022.00,11-3071.00
270,53-2011.00,53-2021.00
271,53-2011.00,53-1041.00
272,53-2011.00,49-3011.00
273,53-2011.00,53-6032.00
274,53-2011.00,53-2022.00
275,53-2011.00,53-6051.01
276,53-2011.00,53-5021.00
277,53-2011.00,53-2012.00
278,53-2011.00,53-1044.00
279,53-2011.00,53-4011.00
280,29-1229.01,29-1212.00
