,code,importance,skill
0,13-2011.00,74,"Active Listening — Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times."
1,13-2011.00,74,Reading Comprehension — Understanding written sentences and paragraphs in work-related documents.
2,13-2011.00,72,"Critical Thinking — Using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions, or approaches to problems."
3,13-2011.00,70,Speaking — Talking to others to convey information effectively.
4,13-2011.00,69,Writing — Communicating effectively in writing as appropriate for the needs of the audience.
5,13-2011.00,67,Mathematics — Using mathematics to solve problems.
6,13-2011.00,63,Judgment and Decision Making — Considering the relative costs and benefits of potential actions to choose the most appropriate one.
7,13-2011.00,61,Complex Problem Solving — Identifying complex problems and reviewing related information to develop and evaluate options and implement solutions.
8,13-2011.00,58,Active Learning — Understanding the implications of new information for both current and future problem-solving and decision-making.
9,13-2011.00,58,"Monitoring — Monitoring/Assessing performance of yourself, other individuals, or organizations to make improvements or take corrective action."
10,13-2011.00,56,Time Management — Managing one's own time and the time of others.
11,13-2011.00,55,"Systems Analysis — Determining how a system should work and how changes in conditions, operations, and the environment will affect outcomes."
12,13-2011.00,53,Persuasion — Persuading others to change their minds or behavior.
13,13-2011.00,52,Coordination — Adjusting actions in relation to others' actions.
14,13-2011.00,52,Social Perceptiveness — Being aware of others' reactions and understanding why they react as they do.
15,13-2011.00,50,Negotiation — Bringing others together and trying to reconcile differences.
16,13-2011.00,50,Service Orientation — Actively looking for ways to help people.
17,13-2011.00,49,Learning Strategies — Selecting and using training/instructional methods and procedures appropriate for the situation when learning or teaching new things.
18,13-2011.00,49,"Management of Personnel Resources — Motivating, developing, and directing people as they work, identifying the best people for the job."
19,13-2011.00,49,"Systems Evaluation — Identifying measures or indicators of system performance and the actions needed to improve or correct performance, relative to the goals of the system."
20,13-2011.00,47,Instructing — Teaching others how to do something.
21,13-2011.00,39,"Management of Financial Resources — Determining how money will be spent to get the work done, and accounting for these expenditures."
22,13-2011.00,39,Operations Analysis — Analyzing needs and product requirements to create a design.
23,13-2011.00,25,"Management of Material Resources — Obtaining and seeing to the appropriate use of equipment, facilities, and materials needed to do certain work."
24,13-2011.00,24,"Operations Monitoring — Watching gauges, dials, or other indicators to make sure a machine is working properly."
25,13-2011.00,22,Science — Using scientific rules and methods to solve problems.
26,13-2011.00,19,"Quality Control Analysis — Conducting tests and inspections of products, services, or processes to evaluate quality or performance."
27,13-2011.00,19,Technology Design — Generating or adapting equipment and technology to serve user needs.
28,13-2011.00,16,Programming — Writing computer programs for various purposes.
