,code,importance,category,task
0,13-2011.00,90,Core,Prepare detailed reports on audit findings.
1,13-2011.00,89,Core,"Report to management about asset utilization and audit results, and recommend changes in operations and financial activities."
2,13-2011.00,88,Core,"Collect and analyze data to detect deficient controls, duplicated effort, extravagance, fraud, or non-compliance with laws, regulations, and management policies."
3,13-2011.00,88,Core,"Inspect account books and accounting systems for efficiency, effectiveness, and use of accepted accounting procedures to record transactions."
4,13-2011.00,88,Core,"Supervise auditing of establishments, and determine scope of investigation required."
5,13-2011.00,83,Core,Confer with company officials about financial and regulatory matters.
6,13-2011.00,83,Core,"Examine and evaluate financial and information systems, recommending controls to ensure system reliability and data integrity."
7,13-2011.00,81,Core,"Inspect cash on hand, notes receivable and payable, negotiable securities, and canceled checks to confirm records are accurate."
8,13-2011.00,81,Core,Examine records and interview workers to ensure recording of transactions and compliance with laws and regulations.
9,13-2011.00,81,Core,"Prepare, examine, or analyze accounting records, financial statements, or other financial reports to assess accuracy, completeness, and conformance to reporting and procedural standards."
10,13-2011.00,81,Core,Prepare adjusting journal entries.
11,13-2011.00,81,Core,Review accounts for discrepancies and reconcile differences.
12,13-2011.00,79,Core,Establish tables of accounts and assign entries to proper accounts.
13,13-2011.00,79,Core,Examine inventory to verify journal and ledger entries.
14,13-2011.00,76,Core,"Analyze business operations, trends, costs, revenues, financial commitments, and obligations to project future revenues and expenses or to provide advice."
15,13-2011.00,76,Core,Report to management regarding the finances of establishment.
16,13-2011.00,75,Core,"Develop, implement, modify, and document recordkeeping and accounting systems, making use of current computer technology."
17,13-2011.00,71,Core,"Evaluate taxpayer finances to determine tax liability, using knowledge of interest and discount rates, annuities, valuation of stocks and bonds, and amortization valuation of depletable assets."
18,13-2011.00,67,Core,"Examine whether the organization's objectives are reflected in its management activities, and whether employees understand the objectives."
19,13-2011.00,62,Core,"Audit payroll and personnel records to determine unemployment insurance premiums, workers' compensation coverage, liabilities, and compliance with tax laws."
20,13-2011.00,81,Supplemental,"Review taxpayer accounts, and conduct audits on-site, by correspondence, or by summoning taxpayer to office."
21,13-2011.00,79,Supplemental,"Compute taxes owed and prepare tax returns, ensuring compliance with payment, reporting, or other tax requirements."
22,13-2011.00,78,Supplemental,"Advise clients in areas such as compensation, employee health care benefits, the design of accounting or data processing systems, or long-range tax or estate plans."
23,13-2011.00,77,Supplemental,Represent clients before taxing authorities and provide support during litigation involving financial issues.
24,13-2011.00,70,Supplemental,"Direct activities of personnel engaged in filing, recording, compiling, and transmitting financial records."
25,13-2011.00,67,Supplemental,Conduct pre-implementation audits to determine if systems and programs under development will work as planned.
26,13-2011.00,,Not available,"Develop, maintain, or analyze budgets, preparing periodic reports that compare budgeted costs to actual costs."
27,13-2011.00,,Not available,"Prepare, analyze, or verify annual reports, financial statements, and other records, using accepted accounting and statistical procedures to assess financial condition and facilitate financial planning."
28,13-2011.00,,Not available,Process invoices for payment.
29,13-2011.00,,Not available,"Review data about material assets, net worth, liabilities, capital stock, surplus, income, or expenditures."
30,27-2011.00,96,Core,Collaborate with other actors as part of an ensemble.
31,27-2011.00,93,Core,"Portray and interpret roles, using speech, gestures, and body movements, to entertain, inform, or instruct radio, film, television, or live audiences."
32,27-2011.00,93,Core,"Work closely with directors, other actors, and playwrights to find the interpretation most suited to the role."
33,27-2011.00,92,Core,"Perform humorous and serious interpretations of emotions, actions, and situations, using body movements, facial expressions, and gestures."
34,27-2011.00,91,Core,"Study and rehearse roles from scripts to interpret, learn and memorize lines, stunts, and cues as directed."
35,27-2011.00,86,Core,Learn about characters in scripts and their relationships to each other to develop role interpretations.
36,27-2011.00,85,Core,Attend auditions and casting calls to audition for roles.
37,27-2011.00,84,Core,Sing or dance during dramatic or comedic performances.
38,27-2011.00,76,Core,"Work with other crew members responsible for lighting, costumes, make-up, and props."
39,27-2011.00,76,Core,"Tell jokes, perform comic dances, songs and skits, impersonate mannerisms and voices of others, contort face, and use other devices to amuse audiences."
40,27-2011.00,72,Core,"Read from scripts or books to narrate action or to inform or entertain audiences, utilizing few or no stage props."
41,27-2011.00,71,Core,Promote productions using means such as interviews about plays or movies.
42,27-2011.00,61,Core,"Prepare and perform action stunts for motion picture, television, or stage productions."
43,27-2011.00,60,Supplemental,"Write original or adapted material for dramas, comedies, puppet shows, narration, or other performances."
44,27-2011.00,52,Supplemental,Introduce performances and performers to stimulate excitement and coordinate smooth transition of acts during events.
45,27-2011.00,46,Supplemental,"Dress in comical clown costumes and makeup, and perform comedy routines to entertain audiences."
46,27-2011.00,46,Supplemental,"Construct puppets and ventriloquist dummies, and sew accessory clothing, using hand tools and machines."
47,27-2011.00,42,Supplemental,"Perform original and stock tricks of illusion to entertain and mystify audiences, occasionally including audience members as participants."
