,code,general
0,13-2011.00,Accounting software — Fund accounting software; Intuit QuickBooks ; Sage 50 Accounting; Summit Software Summit Biofuels Accounting
1,13-2011.00,Analytical or scientific software — ACL Audit Exchange; IBM SPSS Statistics ; SAS statistical software; WizSoft WizRule
2,13-2011.00,
3,13-2011.00,
4,13-2011.00,Compliance software — Intrax ProcedureNet; Paisley Cardmap; Tax compliance property tax management software; TrendTracker Compliance Solution
5,13-2011.00,
6,13-2011.00,
7,13-2011.00,
8,13-2011.00,Data base user interface and query software — Microsoft SQL Server ; Oracle software ; Structured query language SQL ; Yardi software
9,13-2011.00,
10,13-2011.00,
11,13-2011.00,
12,13-2011.00,
13,13-2011.00,Document management software — Adobe Systems Adobe Acrobat ; Document management system software; Iron Mountain Accutrac records management software; Sage CPADocument Manager
14,13-2011.00,
15,13-2011.00,
16,13-2011.00,Enterprise resource planning ERP software — Microsoft Dynamics GP ; NetSuite ERP ; Oracle Hyperion ; Oracle JD Edwards EnterpriseOne
17,13-2011.00,
18,13-2011.00,Financial analysis software — Delphi Technology; Oracle E-Business Suite Financials; TopCAATs; Tropics workers' compensation software
19,13-2011.00,
20,13-2011.00,
21,13-2011.00,
22,13-2011.00,Medical software — Epic Systems ; Healthcare common procedure coding system HCPCS ; Medical condition coding software ; MEDITECH software
23,13-2011.00,
24,13-2011.00,
25,13-2011.00,
26,13-2011.00,
27,13-2011.00,
28,13-2011.00,
29,13-2011.00,
30,13-2011.00,
31,13-2011.00,Tax preparation software — ATX Total Tax Office; CCH ProSystem fx TAX; NewPortWave Year End Solutions; Thomson GoSystem Tax
32,13-2011.00,
33,13-2011.00,
34,13-2011.00,
35,13-2011.00,
36,13-2011.00,Word processing software — Google Docs ; Microsoft OneNote; Microsoft Word
37,27-2011.00,Data base user interface and query software — FileMaker Pro
38,27-2011.00,Electronic mail software — Email software; Microsoft Outlook
39,27-2011.00,Instant messaging software — Twitter
40,27-2011.00,Internet browser software — Web browser software
41,27-2011.00,Office suite software — Microsoft Office
42,27-2011.00,Operating system software — Linux
43,27-2011.00,
44,27-2011.00,Spreadsheet software — Microsoft Excel
45,27-2011.00,Video creation and editing software — Apple Final Cut Pro; Motion capture software; YouTube
46,27-2011.00,Web page creation and editing software — Facebook ; Instagram; LinkedIn ; Website development software
47,27-2011.00,Word processing software — Microsoft Word
48,15-2011.00,Analytical or scientific software — IBM SPSS Statistics ; Insightful S-PLUS; SAS statistical software; Statistical software
49,15-2011.00,
50,15-2011.00,
51,15-2011.00,Data base user interface and query software — Microsoft Access ; Microsoft SQL Server ; Oracle software ; Structured query language SQL
52,15-2011.00,Development environment software — Microsoft Visual Basic ; Microsoft Visual Basic for Applications VBA
53,15-2011.00,Electronic mail software — IBM Lotus Notes
54,15-2011.00,Financial analysis software — GGY AXIS; Oak Mountain Software AnnuityValue; Pricing software; Towers Perrin MoSes
55,15-2011.00,Object or component oriented development software — C++ ; Oracle Java ; Python ; R
56,15-2011.00,Object oriented data base management software — Microsoft Visual FoxPro
57,15-2011.00,Office suite software — Microsoft Office
58,15-2011.00,Presentation software — Microsoft PowerPoint
59,15-2011.00,
60,15-2011.00,
61,15-2011.00,Spreadsheet software — Microsoft Excel
62,15-2011.00,
63,23-1021.00,Data base user interface and query software — Microsoft Access ; Online databases
64,23-1021.00,Document management software — Adobe Systems Adobe Acrobat
65,23-1021.00,Electronic mail software — Email software; Microsoft Outlook
66,23-1021.00,Enterprise resource planning ERP software — SAP business and customer relations management software
67,23-1021.00,Information retrieval or search software — LexisNexis; Thomson Reuters Westlaw
68,23-1021.00,
69,23-1021.00,
70,23-1021.00,
71,23-1021.00,Office suite software — Microsoft Office
72,23-1021.00,Operating system software — Microsoft Windows
73,23-1021.00,Presentation software — Microsoft PowerPoint
74,23-1021.00,Spreadsheet software — Microsoft Excel
75,23-1021.00,Video conferencing software — Videoconferencing software
76,23-1021.00,
77,11-3012.00,Accounting software — Fund accounting software; Intuit QuickBooks ; Sage 50 Accounting
78,11-3012.00,Analytical or scientific software — IBM SPSS Statistics ; Minitab ; SAS statistical software
79,11-3012.00,Cloud-based data access and sharing software — Google Drive ; Microsoft SharePoint
80,11-3012.00,
81,11-3012.00,
82,11-3012.00,
83,11-3012.00,
84,11-3012.00,
85,11-3012.00,Data base user interface and query software — Database software ; FileMaker Pro; Microsoft Access ; Yardi software
86,11-3012.00,Desktop publishing software — Adobe Systems Adobe PageMaker; Microsoft Publisher
87,11-3012.00,
88,11-3012.00,Electronic mail software — Email software; IBM Notes ; MicroFocus GroupWise; Microsoft Outlook
89,11-3012.00,Enterprise resource planning ERP software — Microsoft Dynamics ; Microsoft Dynamics GP ; Oracle Hyperion ; Oracle PeopleSoft
90,11-3012.00,
91,11-3012.00,
92,11-3012.00,Human resources software — ADP Enterprise HR; ADP Workforce Now ; Human resource management software HRMS
93,11-3012.00,
94,11-3012.00,
95,11-3012.00,
96,11-3012.00,
97,11-3012.00,Medical software — Medical procedure coding software; PracticeWorks Systems Kodak WINOMS CS
98,11-3012.00,
99,11-3012.00,
100,11-3012.00,
101,11-3012.00,
102,11-3012.00,
103,11-3012.00,
104,11-3012.00,
105,11-3012.00,
106,11-3012.00,Word processing software — Google Docs ; Microsoft Word
107,25-3011.00,Computer based training software — Blackboard software; Computerized testing software; Educational software; Quizlet
108,25-3011.00,Desktop communications software — Edmodo
109,25-3011.00,Desktop publishing software — Microsoft Publisher
110,25-3011.00,Electronic mail software — Microsoft Outlook
111,25-3011.00,Enterprise resource planning ERP software — SAP business and customer relations management software
112,25-3011.00,Graphics or photo imaging software — Adobe Systems Adobe Photoshop
113,25-3011.00,
114,25-3011.00,Multi-media educational software — Edpuzzle; Kahoot!
115,25-3011.00,Office suite software — Microsoft Office
116,25-3011.00,
117,25-3011.00,Spreadsheet software — Microsoft Excel
118,25-3011.00,
119,25-3011.00,Word processing software — Microsoft Word
120,11-2011.00,Analytical or scientific software — Business analysis software; Data visualization software; Google Analytics ; WebTrends Analytics
121,11-2011.00,
122,11-2011.00,
123,11-2011.00,
124,11-2011.00,Customer relationship management CRM software — Constant Contact; MarketSharp; Oracle Eloqua; Salesforce software
125,11-2011.00,
126,11-2011.00,
127,11-2011.00,Data base user interface and query software — Database software ; Microsoft Access ; PaloAlto Advertising Plan Pro; Structure query language SQL
128,11-2011.00,Desktop publishing software — Adobe Systems Adobe InDesign ; Adobe Systems Adobe PageMaker; Microsoft Publisher; Quark enterprise publishing software
129,11-2011.00,
130,11-2011.00,Document management software — Adobe Systems Adobe Acrobat ; Adobe Systems Adobe Acrobat Reader; Data warehousing software
131,11-2011.00,Electronic mail software — Email software; IBM Lotus Notes; MailChimp; Microsoft Outlook
132,11-2011.00,
133,11-2011.00,Enterprise resource planning ERP software — Brainworks; Microsoft Dynamics ; SAP business and customer relations management software
134,11-2011.00,
135,11-2011.00,
136,11-2011.00,
137,11-2011.00,
138,11-2011.00,
139,11-2011.00,
140,11-2011.00,
141,11-2011.00,
142,11-2011.00,
143,11-2011.00,Sales and marketing software — Google AdWords ; HubSpot software ; Marketo Marketing Automation ; Webtrends software
144,11-2011.00,
145,11-2011.00,Video creation and editing software — Adobe Systems Adobe After Effects ; Apple Final Cut Pro; Avid Media Composer; YouTube
146,11-2011.00,Web page creation and editing software — Adobe Systems Adobe Dreamweaver; Adobe Systems Adobe Experience Manager (AEM); Facebook ; LinkedIn
147,11-2011.00,
148,11-2011.00,
149,41-3011.00,
150,41-3011.00,Customer relationship management CRM software — Salesforce software
151,41-3011.00,Data base user interface and query software — FileMaker Pro; Microsoft Access
152,41-3011.00,Desktop publishing software — Adobe Systems Adobe InDesign ; Microsoft Publisher; QuarkXPress
153,41-3011.00,Electronic mail software — Email software; Microsoft Outlook
154,41-3011.00,Enterprise resource planning ERP software — Microsoft Dynamics
155,41-3011.00,Graphics or photo imaging software — Adobe Systems Adobe Photoshop
156,41-3011.00,
157,41-3011.00,Office suite software — Microsoft Office
158,41-3011.00,Presentation software — Microsoft PowerPoint
159,41-3011.00,
160,41-3011.00,Spreadsheet software — Microsoft Excel
161,41-3011.00,Word processing software — Microsoft Word
162,17-3021.00,Analytical or scientific software — Data acquisition software; Vibration analysis software
163,17-3021.00,
164,17-3021.00,Computer aided design CAD software — Autodesk AutoCAD ; Dassault Systemes CATIA; Dassault Systemes SolidWorks
165,17-3021.00,
166,17-3021.00,Data base user interface and query software — Microsoft Access ; Microsoft SQL Server ; Oracle software ; Structured query language SQL
167,17-3021.00,
168,17-3021.00,
169,17-3021.00,
170,17-3021.00,Graphical user interface development software — Graphical user interface GUI design software; Graphical user interfaces GUI
171,17-3021.00,
172,17-3021.00,
173,17-3021.00,Object or component oriented development software — Apache JMeter; C++ ; Oracle Java ; Python
174,17-3021.00,
175,17-3021.00,Operating system software — Job control language JCL; Linux ; UNIX
176,17-3021.00,Presentation software — Microsoft PowerPoint
177,17-3021.00,
178,17-3021.00,Program testing software — Bugzilla; Hewlett Packard LoadRunner; JUnit ; Selenium
179,17-3021.00,Project management software — Atlassian JIRA ; Microsoft Project
180,17-3021.00,Spreadsheet software — Microsoft Excel
181,17-3021.00,
182,17-3021.00,
183,17-3021.00,
184,17-2011.00,Analytical or scientific software — MathWorks Simulink; The MathWorks MATLAB ; Universal Technical Systems TK Solver; Wolfram Research Mathematica
185,17-2011.00,Computer aided design CAD software — Autodesk AutoCAD ; Dassault Systemes CATIA; Dassault Systemes SolidWorks ; PTC Creo Parametric
186,17-2011.00,
187,17-2011.00,
188,17-2011.00,Data base user interface and query software — Microsoft Access ; Structure query language SQL
189,17-2011.00,Development environment software — C; Microsoft Visual Basic ; Microsoft Visual Studio ; National Instruments LabVIEW
190,17-2011.00,
191,17-2011.00,
192,17-2011.00,
193,17-2011.00,
194,17-2011.00,Object or component oriented development software — C# ; C++ ; Oracle Java ; Perl
195,17-2011.00,
