,code,general
0,13-2011.00,Desktop calculator — 10-key calculators
1,13-2011.00,Desktop computers
2,13-2011.00,Laser fax machine — Laser facsimile machines
3,13-2011.00,Notebook computers — Laptop computers
4,13-2011.00,Personal computers
5,13-2011.00,Personal digital assistant PDAs or organizers — Personal digital assistants PDA
6,13-2011.00,Photocopiers — Photocopying equipment
7,13-2011.00,Scanners — Computer data input scanners
8,13-2011.00,Tablet computers
9,27-2011.00,Camera tripods — Photography tripods
10,27-2011.00,Digital camcorders or video cameras — Digital video recorders
11,27-2011.00,Digital cameras — Digital still cameras
12,27-2011.00,Microphones — Wireless microphones
13,27-2011.00,MP3 players or recorders — MP3 digital voice recorders
14,27-2011.00,Notebook computers — Laptop computers
15,27-2011.00,Personal computers
16,27-2011.00,Tablet computers
17,15-2011.00,Desktop calculator — 10-key calculators
18,15-2011.00,Desktop computers
19,15-2011.00,Notebook computers
20,15-2011.00,Personal computers
21,11-2011.00,Desktop computers
22,11-2011.00,Laser fax machine — Laser facsimile machines
23,11-2011.00,Notebook computers — Laptop computers
24,11-2011.00,Personal computers
25,11-2011.00,Personal digital assistant PDAs or organizers — Personal digital assistants PDA
26,11-2011.00,Photocopiers — Photocopying equipment
27,11-2011.00,Portable data input terminals — Handheld computers
28,11-2011.00,Scanners — Computer data input scanners
29,11-2011.00,Special purpose telephones — Multi-line telephone systems
30,11-2011.00,Tablet computers
31,41-3011.00,Desktop computers
32,41-3011.00,Notebook computers — Laptop computers
33,41-3011.00,Personal computers
34,41-3011.00,Personal digital assistant PDAs or organizers — Personal digital assistants PDA
35,41-3011.00,Special purpose telephones — Multi-line telephone systems
36,41-3011.00,Tablet computers
37,13-1011.00,Desktop computers
38,13-1011.00,Digital camcorders or video cameras — Digital video cameras
39,13-1011.00,Laser fax machine — Laser facsimile machines
40,13-1011.00,Personal computers
41,13-1011.00,Scanners — Computer data input scanners
42,13-1011.00,Special purpose telephones — Multiline telephone systems
43,13-1011.00,Tablet computers
44,13-1011.00,Teleconference equipment — Teleconferencing equipment
45,13-1011.00,Videoconferencing systems — Videoconferencing equipment
46,17-2021.00,Desktop computers
47,17-2021.00,Notebook computers — Laptop computers
48,17-2021.00,Personal computers
49,17-2021.00,Personal digital assistant PDAs or organizers — Personal digital assistants PDA
50,17-2021.00,Plotter printers — Plotters
51,17-2021.00,Theodolites — Total stations
52,53-2021.00,Aircraft communication systems — Controller pilot datalink communication CPDC systems; High frequency HF radio communications systems; Ultra high frequency UHF radio communication systems; Very high frequency VHF radio communication systems
53,53-2021.00,Aircraft flight simulators or trainers — Flight simulators
54,53-2021.00,Aircraft guidance systems — Automatic direction finder ADF radio systems; Distance measuring equipment DME; Standard terminal automation replacement systems STARS; Wide area augmentation systems WAAS; 7 more
55,53-2021.00,Aircraft navigation beacons — Nondirectional radio beacon markers
56,53-2021.00,Binoculars
57,53-2021.00,Desktop computers
58,53-2021.00,Mainframe computers
59,53-2021.00,Personal computers
60,53-2021.00,Radarbased surveillance systems — Air route surveillance radar ARSR systems; Airport surface detection equipment ASDE systems; Mode S radar systems; Precision runway monitor PRM; 2 more
61,53-2021.00,Two way radios — Frequency modulation FM two way radios
62,13-2023.00,Carbon monoxide analyzer — Carbon monoxide detectors
63,13-2023.00,Desktop computers
64,13-2023.00,"Electronic charts or maps or atlases — Appraisal, mapping, and comparison data reporting systems; Electronic maps; Mapping or location-based analysis systems; Real estate mapping and property description systems; 3 more"
65,13-2023.00,Laser measuring systems — Handheld distance meters; Laser measuring devices; Ultrasonic distance measurers
66,13-2023.00,Notebook computers — Laptop computers
67,13-2023.00,Personal digital assistant PDAs or organizers — Personal digital assistants PDA
68,23-1022.00,Desktop computers
69,23-1022.00,Laser fax machine — Laser facsimile machines
70,23-1022.00,Notebook computers
71,23-1022.00,Personal computers
72,23-1022.00,Photocopiers — Photocopying equipment
73,23-1022.00,Scanners — Computer data input scanners
74,23-1022.00,Special purpose telephones — Multi-line telephone systems
75,11-9041.00,Desktop computers
76,11-9041.00,Graphics tablets — Drawing tablets
77,11-9041.00,Notebook computers
78,11-9041.00,Personal computers
79,11-9041.00,Personal digital assistant PDAs or organizers — Personal digital assistants PDA
80,11-9041.00,Scanners
81,11-9041.00,Tablet computers
82,25-4011.00,Desktop computers
83,25-4011.00,Digital cameras — Compact digital cameras
84,25-4011.00,Inkjet printers
85,25-4011.00,Notebook computers — Laptop computers
86,25-4011.00,Personal computers
87,25-4011.00,Scanners — Data input scanners; Digitizers
88,27-1011.00,Charcoal pencils — Sketching pencils
89,27-1011.00,Desktop computers
90,27-1011.00,Digital camcorders or video cameras — Digital video cameras
91,27-1011.00,Digital cameras — Digital still cameras
92,27-1011.00,Notebook computers — Laptop computers
93,27-1011.00,Personal computers
94,27-1011.00,Tablet computers
95,39-6011.00,Automobiles or cars — Passenger vehicles
96,39-6011.00,Desktop computers
97,39-6011.00,Golf carts — Motorized carts
98,39-6011.00,Minivans or vans — Passenger vans
99,39-6011.00,Notebook computers — Laptop computers
100,39-6011.00,Paging controllers — Paging systems
101,39-6011.00,Personal computers
102,39-6011.00,Pushcarts — Luggage carts
103,39-6011.00,Special purpose telephones — Multi-line telephone systems
104,39-6011.00,Two way radios
105,43-3011.00,Autodialers — Predictive dialers
106,43-3011.00,Notebook computers — Laptop computers
107,43-3011.00,Personal digital assistant PDAs or organizers — Personal digital assistants PDA
108,43-3011.00,Scanners
109,43-3011.00,Special purpose telephones — Amplified telephones
110,19-1029.01,Desktop computers
111,19-1029.01,Laser printers — Computer laser printers
112,19-1029.01,Notebook computers — Laptop computers
113,19-1029.01,Personal computers
114,19-1029.01,Scanners — Computer data input scanners
115,15-2099.01,Computer workstation — Computer clusters; Computer workstation setups
116,15-2099.01,Deoxyribonucleic sequence analyzers — Semiconductor-based sequencers
117,15-2099.01,Desktop computers
118,15-2099.01,High end computer servers — Network file servers; Web servers
119,15-2099.01,High throughput screening HTS systems in nucleic acid purification — High throughput screening HTS systems
120,15-2099.01,Nuclear magnetic resonance NMR spectrometers
121,15-2041.01,Desktop computers
122,15-2041.01,Laser printers — Computer laser printers
123,15-2041.01,Mainframe computers
124,15-2041.01,Notebook computers — Laptop computers
125,15-2041.01,Personal computers
126,15-2041.01,Plotter printers — Plotters
127,15-2041.01,Scanners — Computer data input scanners
128,43-3031.00,Desktop calculator — 10-key calculators
129,43-3031.00,Desktop computers
130,43-3031.00,Ledger paper — Ledger sheets
131,43-3031.00,Notebook computers
132,43-3031.00,Receipts or receipt books — Receipt books
133,43-3031.00,Scanners — Image scanners
134,43-3031.00,Scientific calculator — Financial calculators
135,43-4011.00,Desktop calculator — 10-key calculators
136,43-4011.00,Desktop computers
137,43-4011.00,Personal computers
138,43-4011.00,Special purpose telephones — Multi-line telephone systems
139,11-9199.11,Desktop computers
140,11-9199.11,Digital cameras
141,11-9199.11,Global positioning system GPS receiver — Global positioning system GPS receivers; Subcentimeter global positioning system GPS units
142,11-9199.11,Laser fax machine — Laser facsimile machines
143,11-9199.11,Notebook computers — Laptop computers
144,11-9199.11,Personal computers
145,11-9199.11,Photocopiers — Photocopying equipment
146,11-9199.11,Scanners — Computer data input scanners
147,11-9199.11,Special purpose telephones — Multi-line telephone systems
148,13-2031.00,Desktop computers
149,13-2031.00,Laser printers
150,13-2031.00,Notebook computers
151,13-2031.00,Personal computers
152,13-1199.04,Computer servers — Computer server equipment
153,13-1199.04,Desktop computers
154,13-1199.04,Laser printers — Computer laser printers
155,13-1199.04,Mainframe computers
156,13-1199.04,Network attached storage NAS device — Storage area network equipment
157,13-1199.04,Personal computers
158,13-1199.04,Special purpose telephones — Multiline telephone systems
159,13-1199.04,Tablet computers
160,13-1199.04,Teleconference equipment — Teleconferencing systems
161,15-2051.01,Computer servers — Storage servers
162,15-2051.01,High end computer servers — Data warehouse appliances
163,15-2051.01,Laser fax machine — Laser facsimile machines
164,15-2051.01,Photocopiers
165,15-2051.01,Scanners
166,13-1021.00,Animal weighing scales — Livestock scales
167,13-1021.00,Desktop calculator — 10-key calculators
168,13-1021.00,Desktop computers
169,13-1021.00,Floor or platform scales — Bulk weighing systems
170,13-1021.00,Grain analyzers — Grain testers
171,13-1021.00,Micrometers — Digital micrometers
172,13-1021.00,Notebook computers — Laptop computers
173,13-1021.00,Personal computers
174,13-1021.00,Rulers — Precision rulers
175,13-1021.00,Special purpose telephones — Multi-line telephone systems
176,11-1011.00,Desktop calculator — 10-key calculators
177,11-1011.00,Desktop computers
178,11-1011.00,High capacity removable media drives — Universal serial bus USB flash drives
179,11-1011.00,Mobile phones — Smartphones
180,11-1011.00,Notebook computers — Laptop computers
181,11-1011.00,Personal computers
182,11-1011.00,Personal digital assistant PDAs or organizers — Personal digital assistants PDA
183,11-1011.03,Desktop calculator — 10-key calculators
184,11-1011.03,Desktop computers
185,11-1011.03,Mobile phones — Smartphones
186,11-1011.03,Notebook computers — Laptop computers
187,11-1011.03,Personal computers
188,11-1011.03,Photocopiers — Photocopying equipment
189,11-1011.03,Portable data input terminals — Handheld computers
190,11-1011.03,Scanners — Computer data input scanners
191,11-1011.03,Special purpose telephones — Multi-line telephone systems
192,11-1011.03,Videoconferencing systems — Video teleconferencing systems
193,21-1021.00,Desktop computers
194,21-1021.00,Laser fax machine — Laser facsimile machines
195,21-1021.00,Laser printers — Computer laser printers
196,21-1021.00,Notebook computers — Laptop computers
197,21-1021.00,Personal computers
198,21-1021.00,Photocopiers — Photocopying equipment
199,21-1021.00,Special purpose telephones — Multi-line telephone systems
200,27-2032.00,Compact disk players or recorders — Compact disk CD players
201,27-2032.00,Digital camcorders or video cameras — Digital video cameras
202,27-2032.00,Digital video disk players or recorders — Digital video disk DVD players
203,27-2032.00,Metronomes — Electronic metronomes
204,27-2032.00,Notebook computers — Laptop computers
205,27-2032.00,Personal computers
206,27-2032.00,Portable stereo systems — Multi-speaker stereo systems
207,27-2032.00,Stage or projection or studio lighting system — Stage lighting systems
208,27-2032.00,Stop watch — Digital stopwatches
209,27-2032.00,Tablet computers
210,13-1031.00,Automotive computer systems — Event data recorders
211,13-1031.00,Desktop computers
212,13-1031.00,Measuring wheels for distance — Measure markers
213,13-1031.00,Notebook computers
214,13-1031.00,Personal computers
215,13-1031.00,Personal digital assistant PDAs or organizers — Personal digital assistants PDA
216,13-1031.00,Portable data input terminals — Data collectors; Field computers; Handheld computers; Mobile wireless handheld communication devices
217,13-1031.00,Scanners
218,13-1031.00,Tablet computers
219,13-1031.00,Theodolites — Total stations
220,21-2011.00,Automobiles or cars — Passenger vehicles
221,21-2011.00,Desktop computers
222,21-2011.00,Microphones — Cordless microphones
223,21-2011.00,Multimedia projectors — Multimedia presentation projectors
