,code,context,work_context
0,13-2011.00,100,Electronic Mail — How often do you use electronic mail in this job?
1,13-2011.00,96,Telephone — How often do you have telephone conversations in this job?
2,13-2011.00,93,Face-to-Face Discussions — How often do you have to have face-to-face discussions with individuals or teams in this job?
3,13-2011.00,93,Importance of Being Exact or Accurate — How important is being very exact or highly accurate in performing this job?
4,13-2011.00,91,"Indoors, Environmentally Controlled — How often does this job require working indoors in environmentally controlled conditions?"
5,13-2011.00,89,"Contact With Others — How much does this job require the worker to be in contact with others (face-to-face, by telephone, or otherwise) in order to perform it?"
6,13-2011.00,88,Spend Time Sitting — How much does this job require sitting?
7,13-2011.00,83,Impact of Decisions on Co-workers or Company Results — What results do your decisions usually have on other people or the image or reputation or financial resources of your employer?
8,13-2011.00,80,Time Pressure — How often does this job require the worker to meet strict deadlines?
9,13-2011.00,80,Work With Work Group or Team — How important is it to work with others in a group or team in this job?
10,13-2011.00,79,"Structured versus Unstructured Work — To what extent is this job structured for the worker, rather than allowing the worker to determine tasks, priorities, and goals?"
11,13-2011.00,76,"Freedom to Make Decisions — How much decision making freedom, without supervision, does the job offer?"
12,13-2011.00,74,"Frequency of Decision Making — How frequently is the worker required to make decisions that affect other people, the financial resources, and/or the image and reputation of the organization?"
13,13-2011.00,72,Letters and Memos — How often does the job require written letters and memos?
14,13-2011.00,71,"Importance of Repeating Same Tasks — How important is repeating the same physical activities (e.g., key entry) or mental activities (e.g., checking entries in a ledger) over and over, without stopping, to performing this job?"
15,13-2011.00,69,Deal With External Customers — How important is it to work with external customers or the public in this job?
16,13-2011.00,65,Responsibility for Outcomes and Results — How responsible is the worker for work outcomes and results of other workers?
17,13-2011.00,62,Coordinate or Lead Others — How important is it to coordinate or lead others in accomplishing work activities in this job?
18,13-2011.00,60,Level of Competition — To what extent does this job require the worker to compete or to be aware of competitive pressures?
19,13-2011.00,51,Degree of Automation — How automated is the job?
20,13-2011.00,46,Physical Proximity — To what extent does this job require the worker to perform job tasks in close physical proximity to other people?
21,13-2011.00,44,Consequence of Error — How serious would the result usually be if the worker made a mistake that was not readily correctable?
22,13-2011.00,44,Frequency of Conflict Situations — How often are there conflict situations the employee has to face in this job?
23,13-2011.00,40,"Sounds, Noise Levels Are Distracting or Uncomfortable — How often does this job require working exposed to sounds and noise levels that are distracting or uncomfortable?"
24,13-2011.00,40,Spend Time Making Repetitive Motions — How much does this job require making repetitive motions?
25,13-2011.00,36,"Deal With Unpleasant or Angry People — How frequently does the worker have to deal with unpleasant, angry, or discourteous individuals as part of the job requirements?"
26,13-2011.00,33,Responsible for Others' Health and Safety — How much responsibility is there for the health and safety of others in this job?
27,13-2011.00,25,Public Speaking — How often do you have to perform public speaking in this job?
28,13-2011.00,23,"Spend Time Using Your Hands to Handle, Control, or Feel Objects, Tools, or Controls — How much does this job require using your hands to handle, control, or feel objects, tools or controls?"
29,13-2011.00,20,"In an Enclosed Vehicle or Equipment — How often does this job require working in a closed vehicle or equipment (e.g., car)?"
30,13-2011.00,20,Spend Time Standing — How much does this job require standing?
31,13-2011.00,14,Spend Time Walking and Running — How much does this job require walking and running?
32,13-2011.00,10,"Indoors, Not Environmentally Controlled — How often does this job require working indoors in non-controlled environmental conditions (e.g., warehouse without heat)?"
33,13-2011.00,7,Extremely Bright or Inadequate Lighting — How often does this job require working in extremely bright or inadequate lighting conditions?
34,13-2011.00,7,"Outdoors, Exposed to Weather — How often does this job require working outdoors, exposed to all weather conditions?"
35,13-2011.00,7,Very Hot or Cold Temperatures — How often does this job require working in very hot (above 90 F degrees) or very cold (below 32 F degrees) temperatures?
36,13-2011.00,6,"Outdoors, Under Cover — How often does this job require working outdoors, under cover (e.g., structure with roof but no walls)?"
37,13-2011.00,5,"Cramped Work Space, Awkward Positions — How often does this job require working in cramped work spaces that requires getting into awkward positions?"
38,13-2011.00,5,"Exposed to Contaminants — How often does this job require working exposed to contaminants (such as pollutants, gases, dust or odors)?"
39,13-2011.00,5,Spend Time Bending or Twisting the Body — How much does this job require bending or twisting your body?
40,13-2011.00,5,"Wear Common Protective or Safety Equipment such as Safety Shoes, Glasses, Gloves, Hearing Protection, Hard Hats, or Life Jackets — How much does this job require wearing common protective or safety equipment such as safety shoes, glasses, gloves, hard hats or life jackets?"
41,13-2011.00,3,Exposed to High Places — How often does this job require exposure to high places?
42,13-2011.00,2,Exposed to Hazardous Conditions — How often does this job require exposure to hazardous conditions?
43,13-2011.00,2,Exposed to Hazardous Equipment — How often does this job require exposure to hazardous equipment?
44,13-2011.00,2,"Exposed to Minor Burns, Cuts, Bites, or Stings — How often does this job require exposure to minor burns, cuts, bites, or stings?"
45,13-2011.00,2,Pace Determined by Speed of Equipment — How important is it to this job that the pace is determined by the speed of equipment or machinery? (This does not refer to keeping busy at all times on this job.)
46,13-2011.00,2,"Spend Time Kneeling, Crouching, Stooping, or Crawling — How much does this job require kneeling, crouching, stooping or crawling?"
47,13-2011.00,1,Deal With Physically Aggressive People — How frequently does this job require the worker to deal with physical aggression of violent individuals?
48,13-2011.00,1,Exposed to Disease or Infections — How often does this job require exposure to disease/infections?
49,13-2011.00,1,"In an Open Vehicle or Equipment — How often does this job require working in an open vehicle or equipment (e.g., tractor)?"
50,13-2011.00,1,"Spend Time Climbing Ladders, Scaffolds, or Poles — How much does this job require climbing ladders, scaffolds, or poles?"
51,13-2011.00,1,"Wear Specialized Protective or Safety Equipment such as Breathing Apparatus, Safety Harness, Full Protection Suits, or Radiation Protection — How much does this job require wearing specialized protective or safety equipment such as breathing apparatus, safety harness, full protection suits, or radiation protection?"
52,13-2011.00,0,Exposed to Radiation — How often does this job require exposure to radiation?
53,13-2011.00,0,"Exposed to Whole Body Vibration — How often does this job require exposure to whole body vibration (e.g., operate a jackhammer)?"
54,13-2011.00,0,Spend Time Keeping or Regaining Balance — How much does this job require keeping or regaining your balance?
55,19-3091.00,99,Electronic Mail — How often do you use electronic mail in this job?
56,19-3091.00,89,Face-to-Face Discussions — How often do you have to have face-to-face discussions with individuals or teams in this job?
57,19-3091.00,84,"Freedom to Make Decisions — How much decision making freedom, without supervision, does the job offer?"
58,19-3091.00,81,"Structured versus Unstructured Work — To what extent is this job structured for the worker, rather than allowing the worker to determine tasks, priorities, and goals?"
59,19-3091.00,79,Telephone — How often do you have telephone conversations in this job?
60,19-3091.00,78,"Contact With Others — How much does this job require the worker to be in contact with others (face-to-face, by telephone, or otherwise) in order to perform it?"
61,19-3091.00,77,Importance of Being Exact or Accurate — How important is being very exact or highly accurate in performing this job?
