,quantity,job_name
0,37,Materials Scientists
1,11,Web Developers
2,40,Astronomers
3,2,Freight Forwarders
4,1,Business Intelligence Analysts
5,1,Training and Development Specialists
6,4,Telecommunications Engineering Specialists
7,2,Computer and Information Research Scientists
8,1,Industrial Ecologists
9,7,Physicists
10,1,Remote Sensing Scientists and Technologists
11,2,Wind Energy Operations Managers
12,1,"Architecture Teachers, Postsecondary"
13,1,Talent Directors
14,1,Photographic Process Workers and Processing Machine Operators
15,1,Loss Prevention Managers
16,1,Security Managers
17,1,"Forestry and Conservation Science Teachers, Postsecondary"
18,3,Biostatisticians
19,1,Chemical Technicians
20,1,Search Marketing Strategists
21,1,Microsystems Engineers
22,1,Economists
23,1,Architectural and Engineering Managers
