,distance,number_of_the_match,official_code,official_job_name,matched_Title,matched_Description
0,144.30429,1,11-9033.00,"Education Administrators, Postsecondary",Account Management - Education K12 - Public Sector,
1,144.30429,1,11-9033.00,"Education Administrators, Postsecondary",Account Management - Education K12 - Public Sector,
2,144.30429,1,11-9033.00,"Education Administrators, Postsecondary",Account Management - Education K12 - Public Sector,
3,144.30429,1,11-9033.00,"Education Administrators, Postsecondary",Account Management - Education K12 - Public Sector,
4,144.30429,1,11-9033.00,"Education Administrators, Postsecondary",Account Management - Education K12 - Public Sector,
5,144.30429,1,11-9033.00,"Education Administrators, Postsecondary",Account Management - Education K12 - Public Sector,
6,144.30429,1,11-9033.00,"Education Administrators, Postsecondary",Account Management - Education K12 - Public Sector,
7,117.61524,1,11-9121.00,Natural Sciences Managers,Community Coordinator Thematic Digital Competence Centre Natural and Engineering Sciences,
8,144.30429,1,11-9033.00,"Education Administrators, Postsecondary",Account Management - Education K12 - Public Sector,
9,144.30429,1,11-9033.00,"Education Administrators, Postsecondary",Account Management - Education K12 - Public Sector,
10,177.8405,1,41-9031.00,Sales Engineers,"Regional Sales Manager, France",
11,84.61624,1,11-3131.00,Training and Development Managers,Training Developer,
12,84.61624,1,11-3131.00,Training and Development Managers,Training Developer,
13,84.61624,1,11-3131.00,Training and Development Managers,Training Developer,
14,111.115845,1,13-1151.00,Training and Development Specialists,Research and Development Coordinator,
15,185.6399,1,29-2011.04,Histotechnologists,"Research Fellow, (Ultra-stable Cavities) Centre For Quantum Technologies #Urgent",
16,199.31967,1,25-9044.00,"Teaching Assistants, Postsecondary",Junior Research Assistant,
17,84.61624,1,11-3131.00,Training and Development Managers,Training Developer,
18,328.5737,1,25-1063.00,"Economics Teachers, Postsecondary",Project Coordinator (Construction) – Up to $60K annually!,
19,161.9585,1,17-2199.07,Photonics Engineers,"Research Fellow (Theoretical Quantum Information Science), Centre for Quantum Technologies",
20,91.986084,1,41-9031.00,Sales Engineers,International Sales Manager,
21,293.16092,1,25-1063.00,"Economics Teachers, Postsecondary",Project Coordinator (Construction) – Up to $60K + benefits!,
22,161.9585,1,17-2199.07,Photonics Engineers,"Research Fellow (Theoretical Quantum Information Science), Centre for Quantum Technologies",
23,84.61624,1,11-3131.00,Training and Development Managers,Training Developer,
24,183.08548,1,29-2011.04,Histotechnologists,"Research Fellow (David Wilkowski ''''s Group), Centre for Quantum Technologies #Urgent",
25,49.32558,1,19-2012.00,Physicists,Scientist/Physicist,
26,153.4844,1,17-2199.07,Photonics Engineers,"Research Fellow, (Ultra-stable Cavities) Centre For Quantum Technologies",
27,189.0086,1,29-2011.04,Histotechnologists,"Research Fellow (David Wilkowski ''''''''s Group), Centre for Quantum Technologies #Urgent",
28,125.6709,1,17-3029.08,Photonics Technicians,Staff Quantum Optical Research Scientist,
29,84.16521,1,13-1082.00,Project Management Specialists,Assistant Project Manager,
30,150.86241,1,17-2199.07,Photonics Engineers,"Research Fellow, Quantum Information Processing, Centre For Quantum Technologies",
31,362.45837,1,13-2099.00,"Financial Specialists, All Other",Customer Service / Data Entry Specialist – Up to $50K annually + Benefits!,
32,244.84366,1,43-3099.00,"Financial Clerks, All Other",Many General Work Positions Available – Salary Between $16 and $19 per hour,
