,scrapped_jobs,official_match_title,distance
0,Postdocs in Supercontinuum based Mid-Infrared Imaging or Quantum Imaging,Materials Scientists,154.61687
1,Postdocs in Supercontinuum based Mid-Infrared Imaging or Quantum Imaging,Astronomers,165.86993
2,Postdocs in Supercontinuum based Mid-Infrared Imaging or Quantum Imaging,Nanosystems Engineers,166.73688
3,Postdocs in Supercontinuum based Mid-Infrared Imaging or Quantum Imaging,Telecommunications Engineering Specialists,168.43521
4,Postdocs in Supercontinuum based Mid-Infrared Imaging or Quantum Imaging,Physicists,173.98439
5,Postdocs in Supercontinuum based Mid-Infrared Imaging or Quantum Imaging,Statisticians,178.87039
6,Postdocs in Supercontinuum based Mid-Infrared Imaging or Quantum Imaging,Remote Sensing Scientists and Technologists,179.5007
7,Postdocs in Supercontinuum based Mid-Infrared Imaging or Quantum Imaging,Molecular and Cellular Biologists,179.67987
8,Postdocs in Supercontinuum based Mid-Infrared Imaging or Quantum Imaging,Chemical Technicians,180.2718
9,Postdocs in Supercontinuum based Mid-Infrared Imaging or Quantum Imaging,Bioinformatics Scientists,180.76007
10,Quantum Measurement Engineer,Web Developers,183.24995
11,Quantum Measurement Engineer,Web Administrators,184.98068
12,Quantum Measurement Engineer,Telecommunications Engineering Specialists,190.6076
13,Quantum Measurement Engineer,Biostatisticians,193.0722
14,Quantum Measurement Engineer,Database Administrators,198.21286
15,Quantum Measurement Engineer,Network and Computer Systems Administrators,200.02283
16,Quantum Measurement Engineer,Physicists,201.64717
17,Quantum Measurement Engineer,Forensic Science Technicians,203.89316
18,Quantum Measurement Engineer,Computer Network Architects,204.9389
19,Quantum Measurement Engineer,Nanosystems Engineers,205.38394
20,Sales Graduate - IBM 2022 Technology Graduate Program,Web Developers,138.98228
21,Sales Graduate - IBM 2022 Technology Graduate Program,Search Marketing Strategists,161.52536
22,Sales Graduate - IBM 2022 Technology Graduate Program,Telecommunications Engineering Specialists,161.89236
23,Sales Graduate - IBM 2022 Technology Graduate Program,Computer and Information Research Scientists,163.44302
24,Sales Graduate - IBM 2022 Technology Graduate Program,Computer Network Architects,164.19604
25,Sales Graduate - IBM 2022 Technology Graduate Program,Web Administrators,166.33276
26,Sales Graduate - IBM 2022 Technology Graduate Program,Network and Computer Systems Administrators,167.03036
27,Sales Graduate - IBM 2022 Technology Graduate Program,Biostatisticians,168.4452
28,Sales Graduate - IBM 2022 Technology Graduate Program,Energy Auditors,168.7301
29,Sales Graduate - IBM 2022 Technology Graduate Program,Database Administrators,169.85834
30,"Research Fellow - (Experimental Quantum Communication),Centre",Astronomers,138.94077
31,"Research Fellow - (Experimental Quantum Communication),Centre",Materials Scientists,142.94466
32,"Research Fellow - (Experimental Quantum Communication),Centre",Physicists,152.98749
33,"Research Fellow - (Experimental Quantum Communication),Centre",Nanosystems Engineers,153.7254
34,"Research Fellow - (Experimental Quantum Communication),Centre",Biostatisticians,174.56355
35,"Research Fellow - (Experimental Quantum Communication),Centre",Survey Researchers,177.1518
36,"Research Fellow - (Experimental Quantum Communication),Centre","Agricultural Sciences Teachers, Postsecondary",177.21747
37,"Research Fellow - (Experimental Quantum Communication),Centre",Bioinformatics Scientists,177.54846
38,"Research Fellow - (Experimental Quantum Communication),Centre",Remote Sensing Scientists and Technologists,178.71039
39,"Research Fellow - (Experimental Quantum Communication),Centre",Geneticists,178.98856
40,"Research Fellow - (Experimental Quantum Communication),Centre",Astronomers,138.94077
41,"Research Fellow - (Experimental Quantum Communication),Centre",Materials Scientists,142.94466
42,"Research Fellow - (Experimental Quantum Communication),Centre",Physicists,152.98749
43,"Research Fellow - (Experimental Quantum Communication),Centre",Nanosystems Engineers,153.7254
44,"Research Fellow - (Experimental Quantum Communication),Centre",Biostatisticians,174.56355
45,"Research Fellow - (Experimental Quantum Communication),Centre",Survey Researchers,177.1518
46,"Research Fellow - (Experimental Quantum Communication),Centre","Agricultural Sciences Teachers, Postsecondary",177.21747
47,"Research Fellow - (Experimental Quantum Communication),Centre",Bioinformatics Scientists,177.54846
48,"Research Fellow - (Experimental Quantum Communication),Centre",Remote Sensing Scientists and Technologists,178.71039
49,"Research Fellow - (Experimental Quantum Communication),Centre",Geneticists,178.98856
50,Researcher: Quantum Gases & Collective Phenomena x 2 (Fixed Term),Astronomers,158.54083
51,Researcher: Quantum Gases & Collective Phenomena x 2 (Fixed Term),Materials Scientists,159.52975
52,Researcher: Quantum Gases & Collective Phenomena x 2 (Fixed Term),Physicists,160.04669
53,Researcher: Quantum Gases & Collective Phenomena x 2 (Fixed Term),Molecular and Cellular Biologists,162.89807
54,Researcher: Quantum Gases & Collective Phenomena x 2 (Fixed Term),Neuropsychologists,164.05302
55,Researcher: Quantum Gases & Collective Phenomena x 2 (Fixed Term),"Forestry and Conservation Science Teachers, Postsecondary",165.44666
56,Researcher: Quantum Gases & Collective Phenomena x 2 (Fixed Term),Biochemists and Biophysicists,165.58795
57,Researcher: Quantum Gases & Collective Phenomena x 2 (Fixed Term),Clinical Neuropsychologists,166.54762
58,Researcher: Quantum Gases & Collective Phenomena x 2 (Fixed Term),Epidemiologists,167.42746
59,Researcher: Quantum Gases & Collective Phenomena x 2 (Fixed Term),"Geography Teachers, Postsecondary",168.30109
60,Research Fellow (Theoretical Quantum Information Science),Astronomers,140.5499
61,Research Fellow (Theoretical Quantum Information Science),Materials Scientists,148.20071
62,Research Fellow (Theoretical Quantum Information Science),Survey Researchers,157.42764
