,scrapped_jobs,official_match_title,match_code,distance
0,Postdocs in Supercontinuum based Mid-Infrared Imaging or Quantum Imaging,Materials Scientists,19-2032.00,154.61687
1,Postdocs in Supercontinuum based Mid-Infrared Imaging or Quantum Imaging,Astronomers,19-2011.00,165.8699
2,Postdocs in Supercontinuum based Mid-Infrared Imaging or Quantum Imaging,Nanosystems Engineers,17-2199.09,166.73688
3,Postdocs in Supercontinuum based Mid-Infrared Imaging or Quantum Imaging,Telecommunications Engineering Specialists,15-1241.01,168.43521
4,Postdocs in Supercontinuum based Mid-Infrared Imaging or Quantum Imaging,Physicists,19-2012.00,173.98434
5,Postdocs in Supercontinuum based Mid-Infrared Imaging or Quantum Imaging,Statisticians,15-2041.00,178.8704
6,Postdocs in Supercontinuum based Mid-Infrared Imaging or Quantum Imaging,Remote Sensing Scientists and Technologists,19-2099.01,179.5007
7,Postdocs in Supercontinuum based Mid-Infrared Imaging or Quantum Imaging,Molecular and Cellular Biologists,19-1029.02,179.67984
8,Postdocs in Supercontinuum based Mid-Infrared Imaging or Quantum Imaging,Chemical Technicians,19-4031.00,180.27179
9,Postdocs in Supercontinuum based Mid-Infrared Imaging or Quantum Imaging,Bioinformatics Scientists,19-1029.01,180.76007
10,Quantum Measurement Engineer,Web Developers,15-1254.00,183.24994
11,Quantum Measurement Engineer,Web Administrators,15-1299.01,184.98068
12,Quantum Measurement Engineer,Telecommunications Engineering Specialists,15-1241.01,190.60757
13,Quantum Measurement Engineer,Biostatisticians,15-2041.01,193.0722
14,Quantum Measurement Engineer,Database Administrators,15-1242.00,198.21283
15,Quantum Measurement Engineer,Network and Computer Systems Administrators,15-1244.00,200.02283
16,Quantum Measurement Engineer,Physicists,19-2012.00,201.64716
17,Quantum Measurement Engineer,Forensic Science Technicians,19-4092.00,203.89316
18,Quantum Measurement Engineer,Computer Network Architects,15-1241.00,204.93889
19,Quantum Measurement Engineer,Nanosystems Engineers,17-2199.09,205.38394
20,Sales Graduate - IBM 2022 Technology Graduate Program,Web Developers,15-1254.00,138.9823
21,Sales Graduate - IBM 2022 Technology Graduate Program,Search Marketing Strategists,13-1161.01,161.52536
22,Sales Graduate - IBM 2022 Technology Graduate Program,Telecommunications Engineering Specialists,15-1241.01,161.89236
23,Sales Graduate - IBM 2022 Technology Graduate Program,Computer and Information Research Scientists,15-1221.00,163.44301
24,Sales Graduate - IBM 2022 Technology Graduate Program,Computer Network Architects,15-1241.00,164.19608
25,Sales Graduate - IBM 2022 Technology Graduate Program,Web Administrators,15-1299.01,166.33276
26,Sales Graduate - IBM 2022 Technology Graduate Program,Network and Computer Systems Administrators,15-1244.00,167.03036
27,Sales Graduate - IBM 2022 Technology Graduate Program,Biostatisticians,15-2041.01,168.44519
28,Sales Graduate - IBM 2022 Technology Graduate Program,Energy Auditors,47-4011.01,168.7301
29,Sales Graduate - IBM 2022 Technology Graduate Program,Database Administrators,15-1242.00,169.85834
30,"Research Fellow - (Experimental Quantum Communication),Centre",Astronomers,19-2011.00,138.94073
31,"Research Fellow - (Experimental Quantum Communication),Centre",Materials Scientists,19-2032.00,142.94466
32,"Research Fellow - (Experimental Quantum Communication),Centre",Physicists,19-2012.00,152.98747
33,"Research Fellow - (Experimental Quantum Communication),Centre",Nanosystems Engineers,17-2199.09,153.7254
34,"Research Fellow - (Experimental Quantum Communication),Centre",Biostatisticians,15-2041.01,174.56354
35,"Research Fellow - (Experimental Quantum Communication),Centre",Survey Researchers,19-3022.00,177.15178
36,"Research Fellow - (Experimental Quantum Communication),Centre","Agricultural Sciences Teachers, Postsecondary",25-1041.00,177.21744
37,"Research Fellow - (Experimental Quantum Communication),Centre",Bioinformatics Scientists,19-1029.01,177.54843
38,"Research Fellow - (Experimental Quantum Communication),Centre",Remote Sensing Scientists and Technologists,19-2099.01,178.71037
39,"Research Fellow - (Experimental Quantum Communication),Centre",Geneticists,19-1029.03,178.98854
40,"Research Fellow - (Experimental Quantum Communication),Centre",Astronomers,19-2011.00,138.94073
41,"Research Fellow - (Experimental Quantum Communication),Centre",Materials Scientists,19-2032.00,142.94466
42,"Research Fellow - (Experimental Quantum Communication),Centre",Physicists,19-2012.00,152.98747
43,"Research Fellow - (Experimental Quantum Communication),Centre",Nanosystems Engineers,17-2199.09,153.7254
44,"Research Fellow - (Experimental Quantum Communication),Centre",Biostatisticians,15-2041.01,174.56354
45,"Research Fellow - (Experimental Quantum Communication),Centre",Survey Researchers,19-3022.00,177.15178
46,"Research Fellow - (Experimental Quantum Communication),Centre","Agricultural Sciences Teachers, Postsecondary",25-1041.00,177.21744
