,nom
0,quantinuum
1,julich supercomputing centre / forschungszentrum julich
2,julich supercomputing centre / forschungszentrum julich
3,quantinuum
4,turing talent
5,iqm
6,iqm
7,quantum brilliance
8,eip
9,1-1 recruitment
10,turing talent
11,oxford quantum circuits
12,julich supercomputing centre / forschungszentrum julich
13,toshiba
14,quantum detectors
15,orca computing
16,infineon technologies
17,sacher lasertechnik gmbh
18,bosch group
19,oxford quantum circuits
20,hqs quantum simulations
21,oxford quantum circuits
22,quantum brilliance
23,airbus
24,nxp semiconductors
25,porsche ag
26,cambridge quantum computing
27,ibm
28,oxford quantum circuits
29,quantum detectors
30,infineon technologies
31,q.ant gmbh
32,oxford quantum circuits
33,bayer
34,quantinuum
35,julich supercomputing centre / forschungszentrum julich
36,jp morgan chase
37,rohde & schwarz gmbh & co. kg
38,schfter kirchhoff gmbh
39,cambridge quantum computing
40,quantagonia
41,bayer
42,physikalisch-technische bundesanstalt (ptb)
43,quantum brilliance
44,angoka
45,siemens healthcare gmbh
46,cambridge quantum computing
47,arqit limited
48,oxford quantum circuits
49,ibm
50,helmholtz-zentrum dresden-rossendorf
51,cambridge quantum computing
52,ic resources
53,toshiba
54,oxford quantum circuits
55,julich supercomputing centre / forschungszentrum julich
56,cambridge quantum computing
57,atos
58,de beers group of companies
59,cambridge quantum computing
60,oxford quantum circuits
61,quantum motion technology
62,quantagonia
63,physikalisch-technische bundesanstalt (ptb)
64,oxford quantum circuits
65,qdevil
66,toptica photonics
67,cambridge quantum computing
68,european space agency
69,bosch group
70,quantagonia
71,arqit limited
72,quantum brilliance
73,etas
74,oxford quantum circuits
75,quantum machines
76,oxford quantum circuits
77,bundesdruckerei gmbh
78,cambridge quantum computing
79,airbus
80,cambridge quantum computing
81,iqm
82,oxford quantum circuits
83,ecm selection
84,ic resources
85,quantagonia
86,quantagonia
87,quantum brilliance
88,oxford quantum circuits
89,volkswagen ag
90,cambridge quantum computing
91,oxford quantum circuits
92,julich supercomputing centre / forschungszentrum julich
93,jp morgan chase
94,cambridge quantum computing
95,atos
96,rwth aachen
97,bwi gmbh
98,deloitte
99,ibm
100,arqit limited
101,airbus
102,walther meissner institute
103,iqm
104,cambridge quantum computing
105,siemens ag
106,oxford quantum circuits
107,oxford quantum circuits
108,quantum brilliance
109,bayer
110,atos
111,julich supercomputing centre / forschungszentrum julich
112,quantum detectors
113,basf
114,cambridge quantum computing
115,julich supercomputing centre / forschungszentrum julich
116,quantagonia
117,ibm
118,toshiba
119,quantagonia
120,pqshield
121,basf
122,quantinuum
123,munich re
124,angoka
125,toptica photonics
126,arqit limited
127,ic resources
128,moody's
129,physikalisch-technische bundesanstalt (ptb)
130,oxford quantum circuits
131,oxford quantum circuits
132,dacoso data communication solutions gmbh
133,oxford quantum circuits
134,oxford quantum circuits
135,cambridge quantum computing
136,arqit limited
137,airbus
138,julich supercomputing centre / forschungszentrum julich
139,de beers group of companies
140,oxford quantum circuits
141,quantinuum
142,julich supercomputing centre / forschungszentrum julich
143,cambridge quantum computing
144,iqm
145,nu quantum
146,rohde & schwarz gmbh & co. kg
147,infineon technologies
148,infineon technologies
149,q.ant gmbh
150,arqit limited
151,novanta
152,accenture
153,walther meissner institute
154,oxford quantum circuits
155,claremont consulting
156,bearingpoint
157,orca computing
158,quantum detectors
159,bosch group
160,qnami
161,julich supercomputing centre / forschungszentrum julich
162,the one group
163,basf
164,toshiba
165,q.ant gmbh
166,toshiba
167,bosch group
168,stoneone ag
169,cambridge quantum computing
170,quantinuum
171,iqm
172,talentspy
173,bwi gmbh
174,toshiba
175,bmw group
176,cambridge quantum computing
177,walther meissner institute
178,siemens healthineers
179,universal quantum
180,dacoso data communication solutions gmbh
181,cambridge quantum computing
182,escrypt
