,0,1,2,3,4,5,6
0,000001,20220405,University of Sheffield,U,Research Associate,A,GB
1,countRef,openDate,employer,employerType,jobTitle,type,countries
2,000002,20220816,Lancaster University,U,Senior Research Associate in Quantum Security,A,GB
3,countRef,openDate,employer,employerType,jobTitle,type,countries
4,000003,20220806,University of Bristol,U,Postdoctoral Research Associate,P,GB
5,countRef,openDate,employer,employerType,jobTitle,type,countries
6,000004,20220601,Universitt zu Koln,U,Senior researcher (f/m/d) Optical Condensed Matter Science Group / II. Physical Institute,A,DE
7,countRef,openDate,employer,employerType,jobTitle,type,countries
8,000005,20220816,Quantinuum,O,Office Administrator & Receptionist,A,GB
9,countRef,openDate,employer,employerType,jobTitle,type,countries
10,000006,20210414,Julich Supercomputing Centre / Forschungszentrum Julich,O,PhD Position in Superconducting Quantum Information Processing,A,DE
11,countRef,openDate,employer,employerType,jobTitle,type,countries
12,000007,20220830,Julich Supercomputing Centre / Forschungszentrum Julich,O,Postdoc - Development of scalable superconducting quantum systems,P,DE
13,countRef,openDate,employer,employerType,jobTitle,type,countries
14,000008,20220810,Science and Technology Facilities Council (STFC),O,Quantum Readiness Delivery Lead,A,GB
15,countRef,openDate,employer,employerType,jobTitle,type,countries
16,000009,20221026,Universitat Hamburg,U,Research Associate in the field of Quantum Time Crystals,A,DE
17,countRef,openDate,employer,employerType,jobTitle,type,countries
18,000010,20220625,Quantinuum,O,"Research Software Engineer, Quantum Algorithms (Cambridge)",A,GB
19,countRef,openDate,employer,employerType,jobTitle,type,countries
20,000011,20220414,Turing Talent,O,Senior Machine Learning Engineer (via Turing Talent programme),A,GB
21,countRef,openDate,employer,employerType,jobTitle,type,countries
22,000012,20220710,University of Bath,U,Research Associate in fibre-integrated technologies for next-generation mobile communications (fixed-term post),P,GB
23,countRef,openDate,employer,employerType,jobTitle,type,countries
24,000013,20220101,IQM,O,Quantum Algorithm Engineer,A,DE
25,countRef,openDate,employer,employerType,jobTitle,type,countries
26,000014,20220509,University of Glasgow,U,Lecturer in Computational and Quantum Imaging,F,GB
27,countRef,openDate,employer,employerType,jobTitle,type,countries
28,000015,20211023,IQM,O,Project Manager,A,DE
29,countRef,openDate,employer,employerType,jobTitle,type,countries
30,000016,20211021,Quantum Brilliance,O,Quantum Applications Developer,A,DE
31,countRef,openDate,employer,employerType,jobTitle,type,countries
32,000017,20220813,EIP,O,Engineering/Maths/Physics with strong computing component Part-Qualified or Qualified Patent Attorney,A,GB
33,countRef,openDate,employer,employerType,jobTitle,type,countries
34,000018,2022-11-19,Qruise,O,Quantum DevOps Engineer,A,DE
35,countRef,openDate,employer,employerType,jobTitle,type,countries
36,000019,20220422,"Department for Business, Energy & Industrial Strategy (BEIS UK)",O,Senior Policy Officer for Emerging Technologies,A,GB
37,countRef,openDate,employer,employerType,jobTitle,type,countries
38,000020,20220104,University of Giessen / Justus-Liebig-Universitt Gieen,U,Research Associate (m/f/d),A,DE
39,countRef,openDate,employer,employerType,jobTitle,type,countries
40,000021,20210825,Technische Universitat (TU) Darmstadt,U,Research Assistant - PhD student (f/m/d),A,DE
41,countRef,openDate,employer,employerType,jobTitle,type,countries
42,000022,20220129,1-1 Recruitment,O,Photonics Engineer,A,GB
43,countRef,openDate,employer,employerType,jobTitle,type,countries
44,000023,20220205,Heriot Watt University,U,Research Associate in novel high-temperature superconducting quasi-1D systems,A,GB
45,countRef,openDate,employer,employerType,jobTitle,type,countries
46,000024,20220215,Turing Talent,O,Quantum Computing Specialist,A,GB
47,countRef,openDate,employer,employerType,jobTitle,type,countries
48,000025,20220120,Imperial College London,U,Research Associate in Quantum Information,A,GB
49,countRef,openDate,employer,employerType,jobTitle,type,countries
50,000026,20210220,Oxford Quantum Circuits,O,CAD / Engineer,A,GB
51,countRef,openDate,employer,employerType,jobTitle,type,countries
52,000027,20211217,Julich Supercomputing Centre / Forschungszentrum Julich,O,PhD Position - Coherent Control of Correlations in Spin Systems using Scanning Probe Methods,A,DE
53,countRef,openDate,employer,employerType,jobTitle,type,countries
54,000028,20210722,University of Nottingham,U,Research Associate/Fellow (Quantum Technology) (fixed term) (2 posts),P,GB
55,countRef,openDate,employer,employerType,jobTitle,type,countries
56,000029,20210718,University of Oxford,U,Postdoctoral Research Assistant in Condensed Matter Physics,P,GB
57,countRef,openDate,employer,employerType,jobTitle,type,countries
58,000030,20220130,Toshiba,O,Optical Assembly Technician,A,GB
59,countRef,openDate,employer,employerType,jobTitle,type,countries
60,000031,20210312,Quantum Detectors,O,Software Support Engineer,A,GB
61,countRef,openDate,employer,employerType,jobTitle,type,countries
62,000032,20201107,ORCA Computing,O,Atomic (AMO) Physicist,A,GB
63,countRef,openDate,employer,employerType,jobTitle,type,countries
64,000033,20210918,University of Stuttgart,U,Secretariat and administration,A,DE
65,countRef,openDate,employer,employerType,jobTitle,type,countries
66,000034,20220719,Infineon Technologies,O,Senior Project Manager System Innovation & SW (f/m/div)*,A,DE
67,countRef,openDate,employer,employerType,jobTitle,type,countries
68,000035,20220810,University of Bristol,U,Research Associate in Integrated Quantum Photonics,A,GB
69,countRef,openDate,employer,employerType,jobTitle,type,countries
70,000036,20220824,Sacher Lasertechnik GmbH,O,Developer (electrical engineering) laser systems (m/f),A,DE
71,countRef,openDate,employer,employerType,jobTitle,type,countries
