,countRef,openDate,sector,europages,company_class_1,employer,employerType,jobTitle,type,countries
0,1,20220405,,,university,university of sheffield,U,research associate,A,GB
1,2,20220816,,,university,lancaster university,U,senior research associate in quantum security,A,GB
2,3,20220806,red brick Russell Group research university,,university,university of bristol,U,postdoctoral research associate,P,GB
3,4,20220601,,,university,universitt zu koln,U,senior researcher (f/m/d) optical condensed matter science group / ii. physical institute,A,DE
4,5,20220816,"an integrated business from the hardware development of quantum computers, software development and provision of services",,company,quantinuum,O,office administrator & receptionist,A,GB
5,6,20210414,,Service Provider,,julich supercomputing centre / forschungszentrum julich,O,phd position in superconducting quantum information processing,A,DE
6,7,20220830,,Service Provider,,julich supercomputing centre / forschungszentrum julich,O,postdoc - development of scalable superconducting quantum systems,P,DE
7,8,20220810,"coordinates research on some of the most significant challenges facing society, such as future energy needs, monitoring and understanding climate change, and global security",,,science and technology facilities council (stfc),O,quantum readiness delivery lead,A,GB
8,9,20221026,,,university,universitat hamburg,U,research associate in the field of quantum time crystals,A,DE
9,10,20220625,"an integrated business from the hardware development of quantum computers, software development and provision of services",,company,quantinuum,O,"research software engineer, quantum algorithms (cambridge)",A,GB
10,11,20220414,"specializes in the recruitment of cutting-edge areas such as Data Science, Artificial Intelligence and Quantum Computing",Manufacturer/ Producer,company,turing talent,O,senior machine learning engineer (via turing talent programme),A,GB
11,12,20220710,,,university,university of bath,U,research associate in fibre-integrated technologies for next-generation mobile communications (fixed-term post),P,GB
12,13,20220101,quantum computing hardware company,,company,iqm,O,quantum algorithm engineer,A,DE
13,14,20220509,,,university,university of glasgow,U,lecturer in computational and quantum imaging,F,GB
14,15,20211023,quantum computing hardware company,,company,iqm,O,project manager,A,DE
15,16,20211021,a venture-backed Australian-German quantum computing hardware company,,company,quantum brilliance,O,quantum applications developer,A,DE
16,17,20220813,"high quality, well-managed publicly traded energy infrastructure companies",Manufacturer/ Producer,,eip,O,engineering/maths/physics with strong computing component part-qualified or qualified patent attorney,A,GB
17,18,20221119,,,,qruise,O,quantum devops engineer,A,DE
18,19,20220422,,,,"department for business, energy & industrial strategy (beis uk)",O,senior policy officer for emerging technologies,A,GB
19,20,20220104,,,university,university of giessen / justus-liebig-universitt gieen,U,research associate (m/f/d),A,DE
20,21,20210825,research university,,university,technische universitat (tu) darmstadt,U,research assistant - phd student (f/m/d),A,DE
21,22,20220129,multi-sector recruitment company,,company,1-1 recruitment,O,photonics engineer,A,GB
22,23,20220205,,,university,heriot watt university,U,research associate in novel high-temperature superconducting quasi-1d systems,A,GB
23,24,20220215,"specializes in the recruitment of cutting-edge areas such as Data Science, Artificial Intelligence and Quantum Computing",Manufacturer/ Producer,company,turing talent,O,quantum computing specialist,A,GB
24,25,20220120,,,university,imperial college london,U,research associate in quantum information,A,GB
25,26,20210220,a quantum computing hardware and software company,,company,oxford quantum circuits,O,cad / engineer,A,GB
26,27,20211217,,Service Provider,,julich supercomputing centre / forschungszentrum julich,O,phd position - coherent control of correlations in spin systems using scanning probe methods,A,DE
27,28,20210722,public research university,,university,university of nottingham,U,research associate/fellow (quantum technology) (fixed term) (2 posts),P,GB
28,29,20210718,,,university,university of oxford,U,postdoctoral research assistant in condensed matter physics,P,GB
29,30,20220130,major Japanese manufacturer of computers and electronic devices for consumers and industry,,company,toshiba,O,optical assembly technician,A,GB
30,31,20210312,a cutting edge technology company,,company,quantum detectors,O,software support engineer,A,GB
31,32,20201107,a UK company developing a completely new approach towards quantum computing,,company,orca computing,O,atomic (amo) physicist,A,GB
32,33,20210918,"a center of university-based, non-university, and industrial research",,university,university of stuttgart,U,secretariat and administration,A,DE
33,34,20220719,,category other,,infineon technologies,O,senior project manager system innovation & sw (f/m/div)*,A,DE
34,35,20220810,red brick Russell Group research university,,university,university of bristol,U,research associate in integrated quantum photonics,A,GB
35,36,20220824,,category other,,sacher lasertechnik gmbh,O,developer (electrical engineering) laser systems (m/f),A,DE
36,37,20211212,public research university,,university,university of nottingham,U,10+ fully funded phd studentships,A,GB
37,38,20210615,,Service Provider,,bosch group,O,engineer microintegration of quantum sensors,A,DE
38,39,20220412,,,university,universitat hamburg,U,research associate in mathematics or mathematical physics,A,DE
39,40,20220106,a quantum computing hardware and software company,,company,oxford quantum circuits,O,nanofab process engineer,A,GB
40,41,20211219,space engineering practice,,,"craft prospect, space engineering",O,systems engineer,A,GB
41,42,20211202,,,,national physical laboratory (npl),O,quantum photonics scientists and engineers,A,GB
42,43,20211005,"an educational
institute",,university,dresden university of technology,U,research associate,A,DE
43,44,20210217,"provides software for materials scientists in the chemical industry, as well as in academia",Distributor,,hqs quantum simulations,O,ab-initio simulation specialist (post hartree-fock) (m/f/x),A,DE
44,45,20220524,a quantum computing hardware and software company,,company,oxford quantum circuits,O,information security specialist,A,GB
45,46,20220504,a venture-backed Australian-German quantum computing hardware company,,company,quantum brilliance,O,quantum software developer,A,DE
