,countRef,openDate,sector,employer,employerType,jobTitle,type,countries
0,1,20220405,university,University of Sheffield,U,Research Associate,A,GB
1,2,20220816,university,Lancaster University,U,Senior Research Associate in Quantum Security,A,GB
2,3,20220806,university,University of Bristol,U,Postdoctoral Research Associate,P,GB
3,4,20220601,university,Universitt zu Koln,U,Senior researcher (f/m/d) Optical Condensed Matter Science Group / II. Physical Institute,A,DE
4,5,20220816,"an integrated business from the hardware development of quantum computers, software development and provision of services",Quantinuum,O,Office Administrator & Receptionist,A,GB
5,6,20210414,,Julich Supercomputing Centre / Forschungszentrum Julich,O,PhD Position in Superconducting Quantum Information Processing,A,DE
6,7,20220830,,Julich Supercomputing Centre / Forschungszentrum Julich,O,Postdoc - Development of scalable superconducting quantum systems,P,DE
7,8,20220810,"coordinates research on some of the most significant challenges facing society, such as future energy needs, monitoring and understanding climate change, and global security",Science and Technology Facilities Council (STFC),O,Quantum Readiness Delivery Lead,A,GB
8,9,20221026,university,Universitat Hamburg,U,Research Associate in the field of Quantum Time Crystals,A,DE
9,10,20220625,"an integrated business from the hardware development of quantum computers, software development and provision of services",Quantinuum,O,"Research Software Engineer, Quantum Algorithms (Cambridge)",A,GB
10,11,20220414,"specializes in the recruitment of cutting-edge areas such as Data Science, Artificial Intelligence and Quantum Computing",Turing Talent,O,Senior Machine Learning Engineer (via Turing Talent programme),A,GB
11,12,20220710,university,University of Bath,U,Research Associate in fibre-integrated technologies for next-generation mobile communications (fixed-term post),P,GB
12,13,20220101,quantum computing hardware company,IQM,O,Quantum Algorithm Engineer,A,DE
13,14,20220509,university,University of Glasgow,U,Lecturer in Computational and Quantum Imaging,F,GB
14,15,20211023,quantum computing hardware company,IQM,O,Project Manager,A,DE
15,16,20211021,a venture-backed Australian-German quantum computing hardware company,Quantum Brilliance,O,Quantum Applications Developer,A,DE
16,17,20220813,"high quality, well-managed publicly traded energy infrastructure companies",EIP,O,Engineering/Maths/Physics with strong computing component Part-Qualified or Qualified Patent Attorney,A,GB
17,18,19/11/2022,,Qruise,O,Quantum DevOps Engineer,A,DE
18,19,20220422,,"Department for Business, Energy & Industrial Strategy (BEIS UK)",O,Senior Policy Officer for Emerging Technologies,A,GB
19,20,20220104,university,University of Giessen / Justus-Liebig-Universitt Gieen,U,Research Associate (m/f/d),A,DE
20,21,20210825,university,Technische Universitat (TU) Darmstadt,U,Research Assistant - PhD student (f/m/d),A,DE
21,22,20220129,multi-sector recruitment company,1-1 Recruitment,O,Photonics Engineer,A,GB
22,23,20220205,university,Heriot Watt University,U,Research Associate in novel high-temperature superconducting quasi-1D systems,A,GB
23,24,20220215,"specializes in the recruitment of cutting-edge areas such as Data Science, Artificial Intelligence and Quantum Computing",Turing Talent,O,Quantum Computing Specialist,A,GB
24,25,20220120,university,Imperial College London,U,Research Associate in Quantum Information,A,GB
25,26,20210220,a quantum computing hardware and software company,Oxford Quantum Circuits,O,CAD / Engineer,A,GB
26,27,20211217,,Julich Supercomputing Centre / Forschungszentrum Julich,O,PhD Position - Coherent Control of Correlations in Spin Systems using Scanning Probe Methods,A,DE
27,28,20210722,university,University of Nottingham,U,Research Associate/Fellow (Quantum Technology) (fixed term) (2 posts),P,GB
28,29,20210718,university,University of Oxford,U,Postdoctoral Research Assistant in Condensed Matter Physics,P,GB
29,30,20220130,major Japanese manufacturer of computers and electronic devices for consumers and industry,Toshiba,O,Optical Assembly Technician,A,GB
30,31,20210312,a cutting edge technology company,Quantum Detectors,O,Software Support Engineer,A,GB
31,32,20201107,a UK company developing a completely new approach towards quantum computing,ORCA Computing,O,Atomic (AMO) Physicist,A,GB
32,33,20210918,university,University of Stuttgart,U,Secretariat and administration,A,DE
33,34,20220719,,Infineon Technologies,O,Senior Project Manager System Innovation & SW (f/m/div)*,A,DE
34,35,20220810,university,University of Bristol,U,Research Associate in Integrated Quantum Photonics,A,GB
35,36,20220824,,Sacher Lasertechnik GmbH,O,Developer (electrical engineering) laser systems (m/f),A,DE
36,37,20211212,university,University of Nottingham,U,10+ Fully Funded PhD Studentships,A,GB
37,38,20210615,,Bosch Group,O,Engineer Microintegration of Quantum Sensors,A,DE
38,39,20220412,university,Universitat Hamburg,U,Research Associate in Mathematics or Mathematical Physics,A,DE
39,40,20220106,a quantum computing hardware and software company,Oxford Quantum Circuits,O,Nanofab Process Engineer,A,GB
40,41,20211219,space engineering practice,"Craft Prospect, Space Engineering",O,Systems Engineer,A,GB
41,42,20211202,,National Physical Laboratory (NPL),O,Quantum Photonics Scientists and Engineers,A,GB
42,43,20211005,university,Dresden University of Technology,U,Research Associate,A,DE
43,44,20210217,"provides software for materials scientists in the chemical industry, as well as in academia",HQS Quantum Simulations,O,Ab-initio Simulation Specialist (Post Hartree-Fock) (m/f/x),A,DE
44,45,20220524,a quantum computing hardware and software company,Oxford Quantum Circuits,O,Information Security Specialist,A,GB
