,Unnamed: 0,title,company,location,description,date_posted,link
0,0,PhD fellowship in Experimental Quantum Optics,University of Copenhagen,Denmark,The Niels Bohr Institute invites applicants for a PhD fellowship in Experimental Quantum Optics. Start date is (expected to be) 1 June 2023 or as soon as possible thereafter. The project The project,12 minutes ago,https://scholarshipdb.net/scholarships-in-Denmark/Ph-D-Fellowship-In-Experimental-Quantum-Optics-University-Of-Copenhagen=wLyivLpl7RGUYQAlkGUTnw.html
1,1,PhD position: Quantum Batteries,Monash University,Australia,to find those fundamental limits using the tools of quantum information theory.We will consider many-body systems as energy storage devices with the aim of enhancing performance as a battery using quantum,about 11 hours ago,https://scholarshipdb.net/scholarships-in-Australia/Ph-D-Position-Quantum-Batteries-Monash-University=Zi0Y49Jj7RGUYQAlkGUTnw.html
2,2,PhD student in integrated quantum photonics,ETH Zurich,Switzerland,"100%, Zurich, fixed-term The Optical Nanomaterial Laboratory in the Physics Department at ETH Zurich is looking for a PhD student in integrated quantum photonics. Project background Linear optical",4 days ago,https://scholarshipdb.net/scholarships-in-Switzerland/Ph-D-Student-In-Integrated-Quantum-Photonics-Eth-Zurich=ynANVQti7RGUYQAlkGUTnw.html
3,3,PhD Quantum Sensor H/F,CNRS,Niue,quantum fibre optic sensors exhibiting enhanced sensitivity with respect to classical resources. The interplay between theoretical work offered during this PhD thesis and the experimental one is a key,26 days ago,https://scholarshipdb.net/scholarships-in-Niue/Ph-D-Quantum-Sensor-H-F-Cnrs=AMSvivFR7RGUYQAlkGUTnw.html
4,4,PhD Position in Quantum Physics and Precision Spectroscopy,University of Amsterdam (UvA),Netherlands,Are you a highly-motivated student for performing state-of-the-art atomic physics experiments and developing quantum technology? Then we are looking for you. The hybrid atom-ion quantum systems lab,about 21 hours ago,https://scholarshipdb.net/scholarships-in-Netherlands/Ph-D-Position-In-Quantum-Physics-And-Precision-Spectroscopy-University-Of-Amsterdam-Uv-A=cxqnxdll7RGUYQAlkGUTnw.html
5,5,"PhD vacancy in quantum optics / quantum information at ULB, Brussels.",Université Libre de Bruxelles,Belgium,PhD vacancy at the Centre for Quantum Information and Communication (QuIC) at the Université Libre de Bruxelles (ULB) in Belgium. The general research topic will be the theoretical study of photonic,17 days ago,https://scholarshipdb.net/scholarships-in-Belgium/Ph-D-Vacancy-In-Quantum-Optics-Quantum-Information-At-Ulb-Brussels-Universit-Libre-De-Bruxelles=HgzcY1hZ7RGUYQAlkGUTnw.html
6,6,PhD position: Quantum microscopy and magnetometry of 2D materials,Monash University,Australia,The quantum microscope in our lab utilises a spatial array of electron spins as qubits to image the weak signals from the sample we are targeting [1]. These signals are perturbations which modify,about 11 hours ago,https://scholarshipdb.net/scholarships-in-Australia/Ph-D-Position-Quantum-Microscopy-And-Magnetometry-Of-2-D-Materials-Monash-University=Zy0Y49Jj7RGUYQAlkGUTnw.html
7,7,PhD position: Unravelling the photophysics of quantum dot/molecule hybrids,University of Melbourne,Australia,Unravelling the photophysics of quantum dot/molecule hybrids 3 minute read Triplet-fusion upconversion is a rising strategy that harnesses spin-dependent molecular interactions to transform pairs,"Melbourne, Victoria",https://scholarshipdb.net/scholarships-in-Australia/Ph-D-Position-Unravelling-The-Photophysics-Of-Quantum-Dot-Molecule-Hybrids-University-Of-Melbourne=qSIEDgNi7RGUYQAlkGUTnw.html
8,8,PhD Position in Quantum Physics and Precision Spectroscopy,University of Amsterdam,Netherlands,Are you ahighly-motivated student for performing state-of-the-art atomic physics experiments and developing quantum technology? Then we are looking for you. The hybrid atom-ion quantum systems lab,3 days ago,https://scholarshipdb.net/scholarships-in-Netherlands/Ph-D-Position-In-Quantum-Physics-And-Precision-Spectroscopy-University-Of-Amsterdam=yiNvRi1k7RGUYQAlkGUTnw.html
9,9,PhD Candidate in Quantum Artificial Intelligence,Maastricht University,Netherlands,PhD Candidate in Quantum Artificial Intelligence PhD Candidate in Quantum Artificial Intelligence Published Deadline Location 31 Oct 15 Nov Maastricht The Department of Advanced Computing Sciences,1 day ago,https://scholarshipdb.net/scholarships-in-Netherlands/Ph-D-Candidate-In-Quantum-Artificial-Intelligence-Maastricht-University=-4unrjBZ7RGUYQAlkGUTnw.html
