,Unnamed: 0,title,company,location,description,date_posted,link
0,0,Quantum Photonic Engineer,University of Copenhagen,Denmark,NNF Quantum Computing Programme (NQCP) Niels Bohr Institute Faculty of Science University of Copenhagen NQCP is establishing a talented and diverse international team to create a cutting-edge,about 24 hours ago,https://scholarshipdb.net/jobs-in-Denmark/Quantum-Photonic-Engineer-University-Of-Copenhagen=g2ny9Lpl7RGUYQAlkGUTnw.html
1,1,Postdoc in Cavity Quantum Optomechanics,Technical University of Denmark,Denmark,Are you also intrigued by the possibility of exploring macroscopic quantum phenomena? And do you want to pursue your scientific career in a world-leading research environment? Then please continue,2 days ago,https://scholarshipdb.net/jobs-in-Denmark/Postdoc-In-Cavity-Quantum-Optomechanics-Technical-University-Of-Denmark=4M4M8jxk7RGUYQAlkGUTnw.html
2,2,Postdoctoral Appointee - Quantum Information Science,Argonne,United States,The Data Science and Learning (DSL) Division at Argonne National Laboratory seeks a postdoctoral candidate to participate in projects of strategic national importance in quantum information science,"Lemont, Illinois",https://scholarshipdb.net/jobs-in-United-States/Postdoctoral-Appointee-Quantum-Information-Science-Argonne=VU363QBm7RGUYQAlkGUTnw.html
3,3,Postdoc in Hybrid Quantum Chemistry on Hybrid Quantum Computers,Technical University of Denmark,Denmark,"Within the focused research project “Hybrid Quantum Chemistry on Hybrid Quantum Computers”, recently funded by the Novo Nordisk Foundation, we are seeking several postdoctoral fellows to work on the",about 16 hours ago,https://scholarshipdb.net/jobs-in-Denmark/Postdoc-In-Hybrid-Quantum-Chemistry-On-Hybrid-Quantum-Computers-Technical-University-Of-Denmark=gL5RK3Fj7RGUYQAlkGUTnw.html
4,4,Postdoctoral Fellows in Quantum Mathematics,University of Southern Denmark,Denmark,"The Centre for Quantum Mathematics (QM) at the Department of Mathematics and Computer Science , University of Southern Denmark (SDU) invites applications for a number of two-year positions as",2 days ago,https://scholarshipdb.net/jobs-in-Denmark/Postdoctoral-Fellows-In-Quantum-Mathematics-University-Of-Southern-Denmark=nidVn6th7RGUYQAlkGUTnw.html
5,5,Postdoctoral fellow quantum sensing,University of Rostock,Germany,The Quantum Technologyresearch group of the University of Rostock invites applications for Postdocs Quantum Sensing The group The Quantum Technology group (Reinhard lab) seeks to translate cutting,about 2 hours ago,https://scholarshipdb.net/jobs-in-Germany/Postdoctoral-Fellow-Quantum-Sensing-University-Of-Rostock=dAPxCgRm7RGUYQAlkGUTnw.html
6,6,Systems Software Engineer - Quantum Internet,Delft University of Technology (TU Delft),Netherlands,"In QuTech’s Quantum Internet Software Stack team, we develop the core network software systems for quantum networks. Originally developed as a proof-of-concept demonstration, our software stack has","Rostock, Mecklenburg Vorpommern",https://scholarshipdb.net/jobs-in-Netherlands/Systems-Software-Engineer-Quantum-Internet-Delft-University-Of-Technology-Tu-Delft=E3PnVDBm7RGUYQAlkGUTnw.html
7,7,Postdoc position on Quantum Acoustics,University of Twente (UT),Netherlands,Postdoc position on Quantum Acoustics Postdoc position on Quantum Acoustics Published Deadline Location today 31 Dec Enschede Job description This postdoc project is part of the national program on,about 15 hours ago,https://scholarshipdb.net/jobs-in-Netherlands/Postdoc-Position-On-Quantum-Acoustics-University-Of-Twente-Ut=q1fIypxl7RGUYQAlkGUTnw.html
8,8,Assistant/Associate Professor Quantum Computer Science,TU Delft,Netherlands,"Job description TU Delft’s Faculty of Electrical Engineering, Mathematics, and Computer Science (EEMCS) invites applications for tenure-track faculty in the area of Quantum Computer Science (QCS",about 3 hours ago,https://scholarshipdb.net/jobs-in-Netherlands/Assistant-Associate-Professor-Quantum-Computer-Science-Tu-Delft=D-tXWvRk7RGUYQAlkGUTnw.html
9,9,Postdoc in Experimental Quantum Magnetism,ETH Zurich,Switzerland,"quantum phases, excitations and phase transitions in frustrated quantum magnets. The successful candidate will synthesize single crystal samples of novel frustrated compounds and study their spectroscopic",1 day ago,https://scholarshipdb.net/jobs-in-Switzerland/Postdoc-In-Experimental-Quantum-Magnetism-Eth-Zurich=Ce-bgQli7RGUYQAlkGUTnw.html
