,distance,number_of_the_match,official_code,official_job_name,matched_ID,matched_Title,matched_Organisation ID,matched_Organisation Name,matched_Organisation Profile,matched_Posted By - Name,matched_Posted By - Profile,matched_Short description,matched_Location,matched_Remote work allowed,matched_Benefits,matched_Workplace type,matched_Description,matched_Seniority level,matched_Under 10 applications,matched_Job functions,matched_Date posted,matched_Date expires,matched_Industry,matched_Source domain,matched_Easy apply,matched_Job type,matched_Industry.1,matched_Link
0,144.30437,1,11-9033.00,"Education Administrators, Postsecondary",3288244968,Account Management - Education K12 - Public Sector,b3JnOjEzNzI2NTcx,Microsoft,,,,-,"Saxony, Germany",,,Remote,,,,,2022-09-27 14:15:17,2022-10-05 14:13:43,,careers.microsoft.com,NO,,,https://www.linkedin.com/jobs/view/3288244968
1,144.30437,1,11-9033.00,"Education Administrators, Postsecondary",3288247712,Account Management - Education K12 - Public Sector,b3JnOjEzNzI2NTcx,Microsoft,,,,-,"Hamburg, Hamburg, Germany",,,Remote,,,,,2022-09-27 14:16:13,2022-10-05 14:13:43,,careers.microsoft.com,NO,,,https://www.linkedin.com/jobs/view/3288247712
2,144.30437,1,11-9033.00,"Education Administrators, Postsecondary",3288245843,Account Management - Education K12 - Public Sector,b3JnOjEzNzI2NTcx,Microsoft,,,,-,"Hesse, Germany",,,Remote,,,,,2022-09-27 14:16:10,2022-10-05 14:13:43,,careers.microsoft.com,NO,,,https://www.linkedin.com/jobs/view/3288245843
3,144.30437,1,11-9033.00,"Education Administrators, Postsecondary",3288250567,Account Management - Education K12 - Public Sector,b3JnOjEzNzI2NTcx,Microsoft,,,,-,"Neustadt-Glewe, Mecklenburg-West Pomerania, Germany",,,Remote,,,,,2022-09-27 14:15:49,2022-10-05 14:13:43,,careers.microsoft.com,NO,,,https://www.linkedin.com/jobs/view/3288250567
4,144.30437,1,11-9033.00,"Education Administrators, Postsecondary",3288249589,Account Management - Education K12 - Public Sector,b3JnOjEzNzI2NTcx,Microsoft,,,,-,"Brandenburg, Germany",,,Remote,,,,,2022-09-27 14:16:24,2022-10-05 14:13:43,,careers.microsoft.com,NO,,,https://www.linkedin.com/jobs/view/3288249589
5,144.30437,1,11-9033.00,"Education Administrators, Postsecondary",3288251497,Account Management - Education K12 - Public Sector,b3JnOjEzNzI2NTcx,Microsoft,,,,-,"Bremen, Bremen, Germany",,,Remote,,,,,2022-09-27 14:15:53,2022-10-05 14:13:43,,careers.microsoft.com,NO,,,https://www.linkedin.com/jobs/view/3288251497
6,144.30437,1,11-9033.00,"Education Administrators, Postsecondary",3288244967,Account Management - Education K12 - Public Sector,b3JnOjEzNzI2NTcx,Microsoft,,,,-,"Schleswig-Holstein, Germany",,,Remote,,,,,2022-09-27 14:15:21,2022-10-05 14:13:43,,careers.microsoft.com,NO,,,https://www.linkedin.com/jobs/view/3288244967
7,117.615265,1,11-9121.00,Natural Sciences Managers,3283488475,Community Coordinator Thematic Digital Competence Centre Natural and Engineering Sciences,b3JnOjI5ODY1NA==,Delft University of Technology,,,,-,"Delft, South Holland, Netherlands",,,On-site,,,,,2022-09-22 14:02:01,2022-10-05 14:13:43,,www.tudelft.nl,NO,,,https://www.linkedin.com/jobs/view/3283488475
8,144.30437,1,11-9033.00,"Education Administrators, Postsecondary",3288249587,Account Management - Education K12 - Public Sector,b3JnOjEzNzI2NTcx,Microsoft,,,,-,"North Rhine-Westphalia, Germany",,,Remote,,,,,2022-09-27 14:15:45,2022-10-05 14:13:43,,careers.microsoft.com,NO,,,https://www.linkedin.com/jobs/view/3288249587
9,144.30437,1,11-9033.00,"Education Administrators, Postsecondary",3288245842,Account Management - Education K12 - Public Sector,b3JnOjEzNzI2NTcx,Microsoft,,,,-,"Bavaria, Germany",,,Remote,,,,,2022-09-27 14:16:08,2022-10-05 14:13:43,,careers.microsoft.com,NO,,,https://www.linkedin.com/jobs/view/3288245842
