,distance,number_of_the_match,official_code,official_job_name,matched_Unnamed: 0,matched_organization,matched_position,matched_link,matched_location,matched_date_added
0,66.35529,1,15-1299.09,Information Technology Project Managers,0,Accenture,Technology R&D Specialist,https://jobs.quantumapalooza.com/u/BgAAAAABjS-hXJ2Js08Via8IYDnzrIznppsJRtn69u7UsybBMgqTEbAR-25LrbBHqzzWdFtR-h8fikp4bwJEfQG9BexZlIfaUEiwutmC25qHonTlK4RAhgs79-G-130fdrGwD5ylzKAoUsi0dqsSR8YWgo5jLGBFPew==,USA; Virginia; Arlington,2022-10-16
1,125.87067,1,17-2199.07,Photonics Engineers,1,Zapata Computing,Quantum Application Scientist- Simulation,https://jobs.quantumapalooza.com/u/BgAAAAABjS-o3Fbz2VDcyCv0iiMnXNX1fUhrliEGdiFj05pLL6tcG-JqbusywlQBs6CVXerMu6eVjn7CP6-vdV3gB_qtntA55o0CQ2kz542WTRPp215TgYu3TENzdI77FEGsGLIPebq_RVJW7TlfMATzFBvfg__HrBg==,USA; Massachusetts; Boston,2022-10-16
2,151.6867,1,29-2033.00,Nuclear Medicine Technologists,2,Amazon Web Services (AWS),"Hardware Devlopment Engineer; RF/Microwave Engineer, Cryogenic Hardware Integration",https://jobs.quantumapalooza.com/u/BgAAAAABjS-hctNqfqV2Ho1NtgSpka4VtcyLXUy2ICXSYbLVd7Zmv7WHEqeN6r6pwa6xcmLMtyPCCSnQ6G_DW3vfp6c7BFTSU0UCLKMUiXyo2-9ZPJttGKc50VrxMRfOww2OJyBaU0RwbTNrFc1yB2BOaqd5QEQ1tkw==,USA; California; Glendale,2022-10-15
3,116.88925,1,17-2199.05,Mechatronics Engineers,3,Amazon Web Services (AWS),"Software Development Engineer, Quantum Computing",https://jobs.quantumapalooza.com/u/BgAAAAABjS-hskYIev1gHUrkH7_ybTtz5npOXvGfc0G_3cha3DTTNYMCW1Zuk9WN4H8vl91hSFe2xAhHMmASDpi2Qz5hYtBOyLyoUfui0lbo6yKThXxmDNqllro0ftDu5nZPhApsAVP9kMw1OASxPPdzP0FC05tI2AQ==,USA; Washington; Seattle,2022-10-15
4,149.99002,1,17-2199.07,Photonics Engineers,4,ATOM Computing,Quantum Error Correction Theorist,https://jobs.quantumapalooza.com/u/BgAAAAABjS-h31fR_T-Rwdyxj3giJufU2uajk_Lg3puX4FCrCHVKoF7qQeQsc2g0d96Og0sOB4vNKh0Tq4kYT_uyAByKa8pzUKVKhu8wjY-GaU2LyWW6jVcqB0xt5mE0dFwwEYpXx1xBLLL5h0xoEdp48oP6bBDqBXQ==,USA; California; Berkeley,2022-10-15
5,127.58583,1,15-1299.09,Information Technology Project Managers,5,ATOM Computing,Senior/Principal Software Engineer Application/Platform,https://jobs.quantumapalooza.com/u/BgAAAAABjS-h4kyD3tx02MaZOeGzlHVSbq0ubtZHfdDd5k5c3BHyAYnWOVv_a8WoDlnnzd0mBVDZTs2Vz21KdPxx8urW6HpFTALknQUaJZjlIh_UPx9Rm3h0LCc0dCYMyKgmYbCxOfPJxTaavsLRw92wkAFKHBLkIng==,USA; California; Berkeley,2022-10-15
6,74.873116,1,11-2022.00,Sales Managers,6,Maybell Quantum,Director of Sales and Business Development,https://jobs.quantumapalooza.com/u/BgAAAAABjS-lHKfDadV48ZKHpwby6p1tvQ4S40PJIkxPDa_hXdpyS-ZrSfqBZsV-cC-SBTMMaG3Hi0Stv74BX91jBPhYEPLUq9uKoGy6nYz4Pja8VsXiKEDkFJdhW_m76gBdfKWFSD4NyKhg6PRYMCamoVFb2r6Cwow==,USA; Remote,2022-10-15
7,154.35522,1,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers",7,PsiQuantum,Senior Test & Measurement Engineer,https://jobs.quantumapalooza.com/u/BgAAAAABjS-mUG_6FsrCpvABu-_YOf10INXnACUJBVz1ViQRP0p8UaYRSwshV9FxM0pZcp6qKzGhiFsKFYveJlSIERQyFey9TJIwipyhwH-yNW1iBpd232z4sgsj849Q0mCuxZuew8le7t4SiUj6btR2x9p7y4EjLnA==,USA; California; Palo Alto,2022-10-15
8,157.87567,1,27-3042.00,Technical Writers,8,Quantinuum,Quantinuum DevOps Engineer,https://jobs.quantumapalooza.com/u/BgAAAAABjS-mx2Q238Lj7CK-nS4a-3A2CguC8o9gwpIyXuTmXaV9hBFiuJezexcDRZlgCwEH9KycuZUL-Mt35CHxX7IWSKCq2OoEDig9yO0w0A7FgOnobqNRFjSZdgqE0FB8fEA-Si6HcrEXzO3AGrKSRuOUBHrGbSw==,USA; Colorado; Broomfield,2022-10-15
9,68.27721,1,11-3012.00,Administrative Services Managers,9,Quantum Machines,Head of Product Management,https://jobs.quantumapalooza.com/u/BgAAAAABjS-nAhHhKUfZHvXtPvdDWxwSb76EDlqd70e_y0HJ5iX_NxgNC0RAYy4jMqlH4UmlGzJ7pcqqMMI1lZK13bVnV1gyAVA7f101NxzemUJklAOTLah7QBuHZM2LEx_BTrem-j8B9zTNPJCtDDYjXlij5JCQ09Q==,Israel; Tel Aviv,2022-10-15
10,127.54529,1,29-2033.00,Nuclear Medicine Technologists,10,SEEQC,Cryogenic Hardware Engineer (Quantum Computing),https://jobs.quantumapalooza.com/u/BgAAAAABjS-n5gcvlVjykT2fh30ZV_pqBgDpikuycKd01eGVRNvpYEGz6mM8TOcg2w5qYPz9dyzrpjkhpfbAfQ1shjqjAKLCP7f3Gs2S3SP6eB6g6XU166RcdcZAZSV-9hgleBCQFQUkdNMdesa-swEKecGtH9hh3uw==,USA; New York; Elmsford,2022-10-15
11,115.11374,1,15-1221.00,Computer and Information Research Scientists,11,SEEQC,Quantum Computing Research Scientist,https://jobs.quantumapalooza.com/u/BgAAAAABjS-n6Gehnrf4B6og7CRLZGv2s1TFtC_gcC4K_WTZmlnsEik7ACOf8m90DmVSPUDdcC1Gvx1J5r930rfAy95QMlqe7HHyclMwoeBDM1liWjGeQTb-qPvJmp_ACc8O3ykhbmUITuGmjxYd9sf76k1bTBOyPRw==,USA; New York; Elmsford,2022-10-15
