,organization,position,link,location,date_added,real_link,title,type,description,company,key
0,SEEQC,,https://jobs.quantumapalooza.com/u/BgAAAAABjS-n5gcvlVjykT2fh30ZV_pqBgDpikuycKd01eGVRNvpYEGz6mM8TOcg2w5qYPz9dyzrpjkhpfbAfQ1shjqjAKLCP7f3Gs2S3SP6eB6g6XU166RcdcZAZSV-9hgleBCQFQUkdNMdesa-swEKecGtH9hh3uw==,,2022-10-15,https://www.linkedin.com/jobs/view/2947061266/,,,,,www.linkedin.com
1,SEEQC,,https://jobs.quantumapalooza.com/u/BgAAAAABjS-n6Gehnrf4B6og7CRLZGv2s1TFtC_gcC4K_WTZmlnsEik7ACOf8m90DmVSPUDdcC1Gvx1J5r930rfAy95QMlqe7HHyclMwoeBDM1liWjGeQTb-qPvJmp_ACc8O3ykhbmUITuGmjxYd9sf76k1bTBOyPRw==,,2022-10-15,https://www.linkedin.com/jobs/view/2776687346/,,,,,www.linkedin.com
2,Honeywell,,https://jobs.quantumapalooza.com/u/BgAAAAABjS-jak7Lf58u2bBA6Na5GERoQe73ZfHQZtYKsRGGRQ2CJylzQBD2u8Ninpz59Op9IyZicxDtCsZdqt8eK175NrMs8eM7XeAf8ZcLHgfrmm6dg7P22N4RQZcD5IpJOoBp1gxfVmxrzpMhS0ZgMqD1s561xow==,,2022-10-12,https://careers.honeywell.com/us/en/job/HONEUSREQ377775EXTERNALENUS,,,,Quantinuum,careers.honeywell.com
3,Honeywell,,https://jobs.quantumapalooza.com/u/BgAAAAABjS-jaACxfBP1pLw5MSkkiAq-bMhuKuuA__6fRCnzJGxRMD8fF4Wtc_rEcSY7RIJjv1B6paPnkNrZyMT6EmComcdgqOJVZz6FP7rXNNYywz7n1DMDHWAD6BWFLq7rgAcolupOwXikN-cTUHIZohkmTTZdjsQ==,,2022-10-12,https://careers.honeywell.com/us/en/job/HONEUSREQ377773EXTERNALENUS,,,,Quantinuum,careers.honeywell.com
4,Honeywell,,https://jobs.quantumapalooza.com/u/BgAAAAABjS-jX8BdZpCukZ2NsBLF-EMqFvN4sCSF-4d4HBwSowbU7tBF8LN-A9n1W7uV11NbkIGTwL1ArN45NzHw2NWlBtuWk7bGSr98P5joVYjxCKT43vlm9g1HAytm0fzsoQmvAie348qQuJp9Sde_9B9tLBSRSyg==,,2022-10-08,https://careers.honeywell.com/us/en/job/HONEUSREQ373706EXTERNALENUS,,,,Quantinuum,careers.honeywell.com
5,IonQ,,https://jobs.quantumapalooza.com/u/BgAAAAABjS-kLO4NXx_hfiQlrOm2ncUeBCaTpMPlUTO7tffj15UGGTQPgquez-efiH3Kdh0k3mewvKtm1jvyqSirVz1mlx-6qmNWGSvNvPsgRqa8uXpyWK2XFDCa-cfA_14f1nzxwk1qTirgHpwOAC3jOpH9SbM7Fgg==,,2022-09-24,"https://www.glassdoor.com/Job/quantum-computing-jobs-SRCH_KO0,17_IP2.htm?fromAge=3&includeNoSalaryJobs=true&pgc=AB4AAYEAHgAAAAAAAAAAAAAAAeZX1WgAPgEBAQcWt7dZaYF8yoCKpkuN4WuneuF5zP5FSFV5ddusfbKSbpDHzFNQB5dXkBND9vWvaEq3zqhmOvjlOs45AAA%3D",,,,,www.glassdoor.com
6,D-Wave Government,,https://jobs.quantumapalooza.com/u/BgAAAAABjS-ibV6aLqkPj4ekUZ9Cpc7aH5zS-zUJm5-6MapuHeV3mviASVh5MF6Y6NEiqYmu17Ax4rOyTwnSstIUi8FIK3L7pfZF2fIsIK9mXnp6goAfNCTnCoCsmvJBQ1RDf0UuoxrD4SbSGTWfePyWcXRK87gOeRQ==,,2022-09-23,https://jobs.lever.co/dwavesys/b68d0647-75e2-4d33-a02e-34d7c5fe620d,,,,Lever,jobs.lever.co
7,Honeywell,,https://jobs.quantumapalooza.com/u/BgAAAAABjS-jhcjUOPpGZliDPKm1UAIPJLAOu3eh58Q60ue33Kg6z5rYpYdUJIk4mfHikH8TDCKTgknddovJSnL4Nll6mvthCKZ2-LEMi6uy98wBVJUqQ7PTixdy8AuZJY4VFJtywuU0dPRGsowAa7_JzX_2BTJhS-w==,,2022-09-23,https://careers.honeywell.com/us/en/job/HONEUSREQ375442EXTERNALENUS,,,,Quantinuum,careers.honeywell.com
8,Honeywell,,https://jobs.quantumapalooza.com/u/BgAAAAABjS-jkF9mxiKkfOlGGmIc54uTlCl7p-uJCXWk_meuE2JJ10G7CSIemgxC9hyBwU8dIpjkgqpX9d5GSD-HDMYj7_b9Vu7rpNbtlMPXNKssy4Da3_fKUeQpIZzuicEORwqTNwRfgGc35IJ41ott4QJzJXiBdtQ==,,2022-09-23,https://careers.honeywell.com/us/en/job/HONEUSREQ375459EXTERNALENUS,,,,Quantinuum,careers.honeywell.com
9,Google,,https://jobs.quantumapalooza.com/u/BgAAAAABjS-i-huaCbJhABrl4raYrjvKCFjNCjnY4_SLAfJrzH1-59ORrF-SqSDjto5UB2OlblxVRXbnuOEd0dNsmeDbdYdzsMwcoBmwws6iqlg3LmFplVJXgaBsconmkSr3GOg3sFiwgT42BcOeUJ3uz5LxtUMW7mA==,,2022-09-22,https://careers.google.com/jobs/results/130142965369578182-microfabrication-process-development-hardware-engineer-quantum-ai/,,,,,careers.google.com
