,quantity,Unnamed: 0,organization,position,link,location,date_added,real_link,title,type,description,company,key
0,137,0,Accenture,"Accenture
22,442 reviews
Arlington, VA",https://jobs.quantumapalooza.com/u/BgAAAAABjS-hXJ2Js08Via8IYDnzrIznppsJRtn69u7UsybBMgqTEbAR-25LrbBHqzzWdFtR-h8fikp4bwJEfQG9BexZlIfaUEiwutmC25qHonTlK4RAhgs79-G-130fdrGwD5ylzKAoUsi0dqsSR8YWgo5jLGBFPew==,,2022-10-16,https://www.indeed.com/viewjob?jk=4aa25bbb38257a3a&from=mobRdr&utm_source=%2Fm%2F&utm_medium=redir&utm_campaign=dt,Technology R&D Specialist,"Job Type
Full-time","Accenture Labs is a critical component in the Accenture Innovation Ecosystem. Specifically designed to scale Accenture's ability to drive innovation, Labs has a mission to undertake applied research focusing on client challenges and leveraging new technologies available now both from the market and from our own innovation ecosystem. The Accenture Cyber Labs in DC is focused on applied research in Cybersecurity, Cloud, AI ML and Quantum Computing.

Accenture's Washington DC Cyber R&D Lab is a part of Accenture Labs, where we leverage applied research to ideate, create and deploy best-in-class security solutions using the most promising technologies available.

Our exclusive team collaborates with most promising startups, R&D groups, and academia to lead innovation and deliver leading edge technologies to the biggest companies in the world.

You Are
Seen as a highly differentiated technology expert within your domain. You thrive on building on ideas and directions provided by leads and stakeholders. You have technical skills and understand how to apply those skills to achieve high quality deliverables. You are able to build on concepts in a very dynamic environment. Be active in the technology community by building relationships and serving as a technology guru when working with clients or client teams.

The Work
Responsible for capturing and packaging slides, technical papers, videos, demos, etc. current research assets in Cyber Lab for our stakeholders in Accenture practice.
Project management, resource management, project delivery, and communication with technical and non technical audience.
Understand client and stakeholder expectations and managing both expectations and feedback and sharing them with the research team.
For now, all Accenture business travel, international and domestic, is currently restricted to client essential sales delivery activity only.
Please note: The safety and well-being of our people continues to be the top priority, and our decisions around travel are informed by government COVID-19 response directives, recommendations from leading health authorities and guidance from a number of infectious disease experts.

Minimum of 2 years of proven experience in structuring technology projects and conducting development research missions in a global company
Minimum of 2 years of proven experience in the following: cybersecurity, cloud, programming, data science, IoT, and/or research
Minimum of 2 years of proven experience in machine learning, containerization environment management, software development, build configuration release management, and or AWS Azure GCP cloud functions and services
Bachelor's degree or equivalent (minimum 12 years work experience. If Associate s Degree, must have minimum 5 years work experience)
Strong knowledge of networking and internet protocols TCP IP, DNS, SMTP, HTTP, FTP
Experience with one or more of the following domains and technology stacks application security, smart contracts, distributed computing, graph databases, quantum computing, and or edge computing
As required by Colorado law under the Equal Pay for Equal Work Act, Accenture provides a reasonable range of compensation for roles that may be hired in Colorado. Actual compensation is influenced by a wide array of factors including but not limited to skill set, level of experience, and specific office location. For the state of Colorado only, the range of starting pay for this role is {{$67,900 - $146,00}} and information on benefits offered is here.

COVID-19 update:

The safety and well-being of our candidates, our people and their families continues to be a top priority. Until travel restrictions change, interviews will continue to be conducted virtually.

Subject to applicable law, please be aware that Accenture requires all employees to be fully vaccinated as a condition of employment. Accenture will consider requests for accommodation to this vaccination requirement during the recruiting process.

What We Believe

We have an unwavering commitment to diversity with the aim that every one of our people has a full sense of belonging within our organization. As a business imperative, every person at Accenture has the responsibility to create and sustain an inclusive environment.

Inclusion and diversity are fundamental to our culture and core values. Our rich diversity makes us more innovative and more creative, which helps us better serve our clients and our communities. Read more here

Equal Employment Opportunity Statement

Accenture is an Equal Opportunity Employer. We believe that no one should be discriminated against because of their differences, such as age, disability, ethnicity, gender, gender identity and expression, religion or sexual orientation.

All employment decisions shall be made without regard to age, race, creed, color, religion, sex, national origin, ancestry, disability status, veteran status, sexual orientation, gender identity or expression, genetic information, marital status, citizenship status or any other basis as protected by federal, state, or local law.

Accenture is committed to providing veteran employment opportunities to our service men and women.

For details, view a copy of the Accenture Equal Opportunity and Affirmative Action Policy Statement.

Requesting An Accommodation

Accenture is committed to providing equal employment opportunities for persons with disabilities or religious observances, including reasonable accommodation when needed. If you are hired by Accenture and require accommodation to perform the essential functions of your role, you will be asked to participate in our reasonable accommodation process. Accommodations made to facilitate the recruiting process are not a guarantee of future or continued accommodations once hired.

If you would like to be considered for employment opportunities with Accenture and have accommodation needs for a disability or religious observance, please call us toll free at 1 (877) 889-9009, send us an email or speak with your recruiter.

Other Employment Statements

Applicants for employment in the US must have work authorization that does not now or in the future require sponsorship of a visa for employment authorization in the United States.

Candidates who are currently employed by a client of Accenture or an affiliated Accenture business may not be eligible for consideration.

Job candidates will not be obligated to disclose sealed or expunged records of conviction or arrest as part of the hiring process.

The Company will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. Additionally, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with the Company's legal duty to furnish information.",,www.indeed.com
1,11,2,Amazon Web Services (AWS),Hardware Development,https://jobs.quantumapalooza.com/u/BgAAAAABjS-hctNqfqV2Ho1NtgSpka4VtcyLXUy2ICXSYbLVd7Zmv7WHEqeN6r6pwa6xcmLMtyPCCSnQ6G_DW3vfp6c7BFTSU0UCLKMUiXyo2-9ZPJttGKc50VrxMRfOww2OJyBaU0RwbTNrFc1yB2BOaqd5QEQ1tkw==,"US, CA, Glendale",2022-10-15,https://www.amazon.jobs/en/jobs/2244177/hardware-development-engineer-rf-microwave-engineer-cryogenic-hardware-integration,"Hardware Development Engineer; RF/Microwave Engineer, Cryogenic Hardware Integration
Job ID: 2244177 | Amazon Dev Center U.S., Inc.",,"DESCRIPTION
Job summary
The Amazon Web Services (AWS) Center for Quantum Computing in Pasadena, CA, is looking to hire an RF/Microwave Hardware Development Engineer with expertise in RF/Microwave engineering, RF/Microwave PCB layout, and RF/Microwave component design. Working alongside physicists and engineers, you will design and validate microwave packaging solutions for qubit processors, custom RF/Microwave PCBAs, and custom RF/Microwave components. Candidates must have a strong background in Microwave Engineering, RF/Microwave PCB layout, COMSOL or HFSS simulations, and RF/Microwave component design. Candidates must have demonstrated the successful delivery of hardware through a complete product lifecycle (design, analysis, fabrication, testing, and integration). Additionally, candidates must have significant data analysis, problem solving, and communication skills. Working effectively within a multi-disciplinary team environment is critical.

Work/Life Balance
At the AWS Center for Quantum Computing, we understand that developing quantum computing technology is a marathon, not a sprint. Mental and physical wellness is encouraged within our team and throughout AWS. To that end, we have established an internal wellness program that offers, e.g., meditation scheduling, running group meet-ups, and other wellness tips & efforts. Further, the work/life integration within our team encourages a culture where employees work hard and also have ownership over their downtime. For our research scientists, we also offer flexible hours to help divide your time between lab and desk work.
Mentorship & Career Growth
We are committed to the growth and development of every member at the AWS Center for Quantum Computing, and that includes our research scientists. You will receive management and mentorship from within the team that is geared toward career growth, and also have the opportunity to participate in Amazon's mentorship programs for scientists and engineers. Working closely with other quantum research scientists will provide opportunities to dive deep into an education on quantum computing.

Inclusive and Diverse Culture
Here at AWS, we embrace our differences. We are committed to furthering our culture of inclusion. We have ten employee-led affinity groups, reaching 40,000 employees in over 190 chapters globally. We have innovative benefit offerings, and we host annual and ongoing learning experiences, including our Conversations on Race and Ethnicity (CORE) and AmazeCon (gender diversity) conferences. Amazon’s culture of inclusion is reinforced within our 14 Leadership Principles, which remind team members to seek diverse perspectives, learn and be curious, and earn trust.


BASIC QUALIFICATIONS
MS/PhD in electrical engineering, physics, or applied physics
5+ years of relevant academic or industry experience in an engineering effort
Expertise in RF layout for PCBs
Expertise in EM modelling using Ansys HFSS, COMSOL
Expertise in EMI/EMC shielding and other mitigation strategies
Experience developing microwave system requirements and performance budgets
Superior organization skills
Superior problem solving and analytical skills
Superior communication and data presentation skills
Effective working in a team environment
PREFERRED QUALIFICATIONS
Experience with microwave systems in cryogenic environments
Experience with superconducting qubit processor technology
Experience working with standard lab equipment (oscilloscopes, logic analyzers, vector network analyzers, etc.)
Experience managing a cross-disciplinary engineering effort
Experience working closely with scientists and technicians of a variety of levels
Knowledge of integrated circuit packaging techniques (wire bonding, flip chip bonding, solder ball attachment, etc.)
Knowledge of physics and a curiosity/capability to learn new topics

Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, visit https://www.amazon.jobs/en/disability/us.




Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.",AWS Data Science,www.amazon.jobs
2,15,4,ATOM Computing,Quantum Error Correction Theorist,https://jobs.quantumapalooza.com/u/BgAAAAABjS-h31fR_T-Rwdyxj3giJufU2uajk_Lg3puX4FCrCHVKoF7qQeQsc2g0d96Og0sOB4vNKh0Tq4kYT_uyAByKa8pzUKVKhu8wjY-GaU2LyWW6jVcqB0xt5mE0dFwwEYpXx1xBLLL5h0xoEdp48oP6bBDqBXQ==,,2022-10-15,https://jobs.lever.co/atomcomputing/551ad080-d3bf-4530-984e-3ec403a37626,Quantum Error Correction Theorist,FULL-TIME,"At Atom Computing, we’re building quantum computers with atomic arrays of optically-trapped neutral atoms, empowering researchers and companies to achieve unprecedented breakthroughs. Join an incredible team of scientists, engineers, and business professionals to advance the state of the art in quantum technologies that will transform computing performance.

We are seeking a quantum error correction theorist to contribute to the architecture and strategy of error correction in neutral atom quantum computers. Atomic qubit arrays provide a path to the large-scale quantum computers that will deliver fault-tolerant, error-corrected logical qubits.

At Atom Computing, you will work alongside our Quantum Engineering, Control Systems, and Software teams to demonstrate the power of scalable, neutral-atom quantum computers.",Lever,jobs.lever.co
3,12,6,Maybell Quantum,,https://jobs.quantumapalooza.com/u/BgAAAAABjS-lHKfDadV48ZKHpwby6p1tvQ4S40PJIkxPDa_hXdpyS-ZrSfqBZsV-cC-SBTMMaG3Hi0Stv74BX91jBPhYEPLUq9uKoGy6nYz4Pja8VsXiKEDkFJdhW_m76gBdfKWFSD4NyKhg6PRYMCamoVFb2r6Cwow==,États-Unis,2022-10-15,https://www.linkedin.com/jobs/view/3307050596/,Director of Sales And Business Development,,"Maybell Quantum is growing quickly! If being part an outstanding team at of one of the most exciting companies in quantum computing sounds interesting, then Maybell may be the place for you.
 Maybell Quantum Industries, Inc. is a venture-backed quantum computing startup focused on designing and building the hardware for quantum systems. Quantum computers are going to be as important to the next 30 years as the internet was to the last 30; our team is building the hardware to make them work. In addition to competitive salary and benefits, the position includes stock options in one of the most promising startups in the country.",Maybell Quantum,www.linkedin.com
4,1,29,Google,"Technical Operations Lead, Quantum AI",https://jobs.quantumapalooza.com/u/BgAAAAABjS-jT7VwxFOpOX-SBU7Mmr9c_pg9UW7K4IeZdWn2sQxIH-kkDHF2Kma35peHWtEATOBuU4h3GTkQfMOruD8qOeLNiRESh0o4gRkxFGtZo6XEksHu3yfqlnrH7jS5ztf4BE-GCVvBN7VYSo95LnD-0Gx9zzA==,"In-office:
Goleta, CA, USA",2022-09-24,https://careers.google.com/jobs/results/104933979095737030-technical-operations-lead-quantum-ai/,"Technical Operations Lead, Quantum AI",,"Quantum AI’s mission is to make useful quantum computing tools available to the world to enable humankind to solve problems that would otherwise be impossible. Quantum AI is building novel systems that can leverage quantum mechanics.
As Technical Operations Lead for the Quantum AI team, you'll use quantum computing projects through the entire project lifecycle using your engineering expertise and organizational and management skills. You’re equally at home explaining your team’s analyses and recommendations to executives as you are debating technical trade-offs and alternative approaches in project development with scientists and engineers. You'll have experience working with hardware, software, and research teams to achieve scientific and product milestones. You'll help drive teams to meet deadlines, manage progress, and manage outside vendors and collaborators. You are recognized as a people manager who provides leadership, tailored guidance, and career development for team members.

Google Research is building the next generation of intelligent systems for all Google products. To achieve this, we’re working on projects that utilize the latest computer science techniques developed by skilled software engineers and research scientists. Google Research teams collaborate closely with other teams across Google, maintaining the flexibility and versatility required to adapt new projects and foci that meet the demands of the world's fast-paced business needs.",Google,careers.google.com
5,38,30,IonQ,Lead IT Engineer,https://jobs.quantumapalooza.com/u/BgAAAAABjS-kIWOv92zpIBJoS_Io_1n5seImDfWihg4t6n3MdwUQYo5aLci9HVqg3_MnYQbac6WXmB5D6AvtgOZaf84gVfS_xJGvs8FcUL9s9fiieJoVui2zqk26ql4dIUyOcTYGlxYK-X66n6D63_ZI9qJviD06POg==,"Location: College Park, Maryland",2022-09-24,https://ionq.com/jobs/4676690004,Lead IT Engineer,Type: Full-Time,"IonQ is developing the world's most powerful full-stack quantum computer based on trapped-ion technology. We are pushing past the limits of classical physics and current supercomputing technology to unlock a new era of computing. Quantum computing has the potential to impact every area of human society for the better. IonQ’s computers will soon redefine industries like medicine, materials science, finance, artificial intelligence, machine learning, cryptography, and more. IonQ is at the forefront of this technological revolution.
 To build the world's largest and most precise quantum computing platform, we need infrastructure that doesn’t quit. We trap atoms in a vacuum chamber and manipulate them with lasers to perform calculations that we intend to scale beyond the reach of today's supercomputers. Unfortunately, the lasers can’t run our information operations. We’re looking for our first in-house Lead IT Engineer to help manage our external 24x7 helpdesk; define and improve our endpoint management, patching, and lifecycle processes; user provisioning and SAML integrations; and more!
We welcome all experiences at IonQ and if you have any combination of these skills, we encourage you to apply!
Responsibilities:
Build the IT function at IonQ! 
Manage and define processes for our helpdesk to follow.
Help us maintain SOC2 compliance by implementing and documenting processes.
You’d be a good fit with:
Excellent project management and communication skills
5+ years experience in IT engineering (e.g., endpoint management, conference room setup, basic networking and system administration, security, etc)
2+ years experience managing Google Workspace including auditing, security features
Strongly capable in a scripting language (Shell, Python, etc.)
Experience operating and debugging Unix/Linux OS internals (e.g., filesystems, inodes, system calls) and networking (e.g., TCP/IP, routing, network topologies and hardware, SDN)
Comfortable partnering with MSPs and IT vendors
You’d be a great fit with:
2+ years experience with an IdP (e.g., JumpCloud, Okta, etc.) for identity and configuration management 
2+ years experience with Terraform, kubernetes, and/or VMware
Experience configuring Single Sign On with SAML
Experience with distributed and cloud based IT environments (users and SaaS tools)
Familiarity with EDR solutions and responding to escalations around alerts
Our HQ is located in College Park, Maryland and we are a 15 minute metro ride from Washington DC. We are actively building out teams in the Washington D.C., Seattle, and Boston metro areas and will want to locate you in one of these geographies. However, IonQ will be expanding into additional geographies both domestically and internationally so don’t let this stop you from applying.
 
At IonQ, we believe in fair treatment, access, opportunity and advancement for all, while at the same time striving to identify and eliminate barriers. We empower employees to thrive by fostering a culture of autonomy, productivity, and respect. We are dedicated to creating an environment  in which any individual can feel welcomed, respected, supported and valued.
 
We are committed to equity and justice. We welcome different voices and viewpoints and do not discriminate on the basis of race, religion, color, national origin, ancestry, physical and/or mental disability, medical condition, genetic information, marital status, sex, gender, gender identity, gender expression, transgender status, age, sexual orientation, and military or veteran status, or any other basis protected by law. We are proud to be an Equal Employment Opportunity employer.
 
If you are interested in being a part of this team and mission, we encourage you to apply.
IonQ Covid-19 Policy: IonQ requires all employees to provide proof of full vaccination for Covid-19 before starting employment.",Ionq,ionq.com
6,9,31,Qblox,Software Engineer (QIA),https://jobs.quantumapalooza.com/u/BgAAAAABjS-mjJlquYvpOSJQjv8Uf9V32LNX7YAgx4gYjqMhUrBWiN77D52X1n8ptCbJaE3GnWlasdC_vd2jceTnX-icqEzDi_OKo2xpDIzqq8pd5sB75ncw6_Jend41oPsjuIzOXSFZWAeOmkvqJmHhnLnudAEfh1w==,Software Engineer (QIA),2022-09-24,https://qblox.jobs.personio.de/job/323028?display=en&language=en&pid=ab2aa4fe-c066-41dd-843c-e6e391c10ca1&it=uP26gul5-CZUyaL8V3sE2Q#apply,Software Engineer (QIA),Software Engineer (QIA),"Qblox is looking for a software engineer to help us build a control stack for an industrial-scale quantum computer. These quantum control stacks generate the analog signals needed for the control and readout of quantum bits. Before a high-level and hardware-agnostic quantum algorithm can be executed on a quantum processor, it needs to be compiled to a quantum assembly language that is hardware dependent. In your role as software engineer, you will extend the framework – Quantify – that allows experimentalists to upload and execute quantum algorithms on our electronics and software stack. You would also help in setting up the CI/CD pipeline. You will work closely with a team of experienced software and hardware engineers.

Qblox is the main control-hardware supplier for the Quantum Internet Alliance (QIA), working with several partners throughout Europe (i.e., QuTech in Delft, ICFO in Barcelona, and the University of Innsbruck). Within the Qblox software team, you would be the main responsible for Quantify development for QIA, and work closely together with our partners.",Qblox,qblox.jobs.personio.de
7,3,35,Keysight,Software Engineer - Microwave/Quantum EDA,https://jobs.quantumapalooza.com/u/BgAAAAABjS-kz6pD-Ctp-RT7ZjKJ05gy87rkvgqWk5hUI2mBAgHTKz9YtpHFqutC1EV5H8trmab9tkpfocr7QpI6TecFTCrgnSd4RTr27fu8eJzBPcDdrJbZkI9eHbUUtS4vLuYxeUtLCYa78CvBuEJoQJHjf6c9eqA==,United States,2022-09-23,https://jobs.keysight.com/job/Everett-Software-Engineer-MicrowaveQuantum-EDA-WA-98201/938085700/,Software Engineer - Microwave/Quantum EDA,,"Keysight is on the forefront of technology innovation, delivering breakthroughs and trusted insights to the world’s visionaries and innovators in electronic design, test, manufacturing, and optimization. Our ~14,000 employees create world-class solutions in wireless communications, 5G, automotive, quantum, aerospace, defense, and semiconductor markets for customers in over 100 countries. Our technical solutions – and our methods for creating them – help connect and secure the world. Learn more about what we do and how we do it.
  Our powerful culture has led to us being independently recognized on Fortune 100’s Best Companies List and we are “Great Place to Work” Certified.  We’re driven, collaborative, ethical, and curious, and we value all ideas, especially bold ones. And our culture extends far beyond our own walls. Our corporate social responsibility efforts support our communities, nurture the next generation of engineers, and promote environmental sustainability. 
  At Keysight, Inclusion & Diversity is an integral part of our core values.  We believe that when people feel a sense of belonging, they can be more creative, innovative, and thrive at all points in their careers. We believe everyone should be respected in the workplace and in their communities regardless of race, color, age, gender, sexual orientation, gender identity and expression, ethnicity, religion, disability, veteran status, national origin, or any protected class.  We continuously challenge ourselves to grow in our understanding of inclusion by engaging in a wide variety of diversity programs, initiatives, employee network groups and mentoring/development. This is Keysight – People and Culture - YouTube
Job Description
  Preferred Locations: Everett, WA. Also open to remote work assignments in the US. 
Responsibilities 
Get in on the ground floor building a new EDA product focused at Quantum. In this role, you will be a key member of an R&D team responsible for developing solutions that enable the emerging quantum technology market with streamlined microwave circuits, electromagnetics, and system-level design tools tailored to the needs of quantum hardware engineers. Include but are not limited to: 
Creating compelling examples of quantum circuits, resonators, cavities, and systems based on superconducting qubits, then extending the workflow in-circuit sim and RFPro/EMPro to include this technology.  
Defining and coding new software features that will enable quantum design and implementing them with other squad members. 
E.M. (Electromagnetic) technology enhancements to existing solvers and software. 
Enhancements to software that streamline the engineering process of quantum systems.  
Translating from the EDA domain into and out of Hamiltonian representations. 
Creating a standard PDK with layout, components, and models for quantum foundries such as superconducting and trapped ions. 
Job Qualifications
  Ideal candidates for this position would possess the following attributes: 
Required: 
Bachelor's, Master's, or Ph.D. Degree in Electrical Engineering, Computer Science, Physics, or equivalent.  
Microwave engineering experience, proficient in electromagnetic simulation and modeling. Solid knowledge of electromagnetic theory. 
Extensive experience in modeling electromagnetic structures (EMPro, HFSS, CST, or COMSOL) and microwave circuits (ADS, Momentum, or Sonnet). 
Experience and knowledge in quantum engineering and design.  
Experience in Software development, C++ or Python programming. 
A result-driven, self-motivator able to follow the Agile software development process 
Ability to work with multiple teams to deliver results 
Strong communication skills 
Growth mindset  
Desired:  
3+ years of experience programming software models for electromagnetic structures (EMPro, HFSS, CST, or COMSOL) and microwave circuits (ADS, Momentum, or Sonnet). 
5+ years of microwave engineering experience, proficient in electromagnetic simulation and modeling. Solid knowledge of electromagnetic theory. 
Experience and knowledge in quantum engineering and design.  
3+ years of experience in Software development, in C++ or Python programming. 
  #LI-CS1
Job Function
R&D
  Shift:
Day Job
Schedule:
Full Time (F)
Travel Required:
< 25%
Duration (Temp Positions Only):
Not Applicable
  Candidates can be considered to work from the following locations:
  Everett, WA. Also open to remote work assignments in the US.
  Job ID : 48321 
__________________________________________________________________________________
Careers Privacy Statement 
***Keysight is an Equal Opportunity Employer.***

Keysight Technologies Inc. is an equal opportunity employer. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status, disability or any other protected categories under all applicable laws.
 ",Keysight,jobs.keysight.com
8,1,39,Boeing,,https://jobs.quantumapalooza.com/u/BgAAAAABjS-h8iy4m9ryYAWrV_HvvkKBGrvbZ8_KnwSVYYksLE4_kp0TCZbBmpnBP2IjMqRq728J4CD-RGRI-mhy2OmWwAU5XQGA1_3dM18xkCj6C3uJ3_oLYo4vcSHUyw_M7oLGF_gI0YIVo7eMEROWJigxxsSlYaQ==,BOEING RESEARCH & TECHNOLOGY GRADUATE RESEARCHER – QUANTUM TECHNOLOGIST,2022-09-17,https://jobs.boeing.com/job/-/-/185/36298086864,BOEING RESEARCH & TECHNOLOGY GRADUATE RESEARCHER – QUANTUM TECHNOLOGIST,,"Job Description
At Boeing, we innovate and collaborate to make the world a better place. From the seabed to outer space, you can contribute to work that matters with a company where diversity, equity and inclusion are shared values. We’re committed to fostering an environment for every teammate that’s welcoming, respectful and inclusive, with great opportunity for professional growth. Find your future with us.
At Boeing, we are all innovators on a mission to connect, protect, explore and inspire. From the seabed to outer space, you’ll learn and grow, contributing to work that shapes the world. Find your future with us.
Join our exclusive Graduate Researcher Program (GRP) in Boeing Research & Technology during the summer of 2023 and you can build something better for yourself, for our customers and for the world. Boeing Research & Technology is Boeing's global research and development team creating and implementing innovative technologies that make the impossible possible and enabling the future of aerospace. We are engineers, skilled scientists and thinkers, bold innovators and dreamers. 
You will work with other Boeing engineers in a mentoring and collaborative mode in order to address research and development challenges. You are expected to have the ability to analyze and develop solutions to complex problems, have good team collaboration and good communication skills.
Over the course of the 10-12 week program you will have the opportunity to:
Work directly with a mentor in your field of study while finding solutions to real world problems",Boeing,jobs.boeing.com
9,12,59,Northrop Grumman,Analog Mixed Signal Integrated Circuit (IC) Design Engineer,https://jobs.quantumapalooza.com/u/BgAAAAABjS-lfEtttRuPj275OZrYgqKtjH8Y94JLBdluCE4TYxhyhdVD6BGVEqzTFMbQj1W-FBNV1Cz_3-13zA7NNIdD_rAzyJ4XckjMUQ7Lt1JTuo-fMgp7EsMljR4O0y2TsxsFngI_k1-RIGY1JJ3hhxjdzqbFIWA==,"Location: Linthicum, Maryland, United States of America",2022-09-17,https://www.northropgrumman.com/jobs/Linthicum-----Maryland/Engineering/R10055725/analog-mixed-signal-integrated-circuit-ic-design-engineer/,Analog Mixed Signal Integrated Circuit (IC) Design Engineer,,"At Northrop Grumman, our employees have incredible opportunities to work on revolutionary systems that impact people's lives around the world today, and for generations to come. Our pioneering and inventive spirit has enabled us to be at the forefront of many technological advancements in our nation's history - from the first flight across the Atlantic Ocean, to stealth bombers, to landing on the moon. We look for people who have bold new ideas, courage and a pioneering spirit to join forces to invent the future, and have fun along the way. Our culture thrives on intellectual curiosity, cognitive diversity and bringing your whole self to work — and we have an insatiable drive to do what others think is impossible. Our employees are not only part of history, they're making history.

Are you interested in shifting into the cutting edge of IC circuit design? Your experience is needed, you'll leverage your current experience against our training and your team's experience and then you'll be designing RQL and superconducting devices in a highly collaborative environment in no time.
Northrop Grumman Mission Systems (NGMS) Advanced Capabilities division is leading the development of the next generation of high-performance computing. Superconducting electronics forms the core of our technology, with development thrusts in both quantum and classical logic. Our quantum computing activities include the development of superconducting devices for both quantum annealing and gate-model quantum computation. Our classical computing activities focus on energy-efficient computation using our patented superconducting digital logic technology, Reciprocal Quantum Logic (RQL). You’ll work in a fast-paced team environment alongside a broad array of scientists and engineers to make these processing solutions a reality.
We are seeking Analog/Mixed Signal IC Design Engineers to join our team in design and layout of full-custom digital and mixed signal superconducting circuits. You will use your skills as an Integrated Circuit designer while learning about superconducting circuit design. Tasks will include schematic capture, circuit simulation, circuit layout, physical verification (Layout vs. Schematic and Design Rule Checking), and parasitic extraction for a variety of superconducting circuits. The right candidate will be comfortable in a dynamic environment with rapidly developing technologies and tools. The candidate must have some experience in custom circuit design, preferably with Cadence Virtuoso. Experience with modeling circuit performance in Spice or Spectre, and/or experience with physical RF modeling in HFSS or COMSOL is highly desirable. Familiarity with quantum information is a plus. The candidate must be able to create a functional verification and test plan based on requirements of the circuit. The candidate should be able to take a design from concept through physical verification. Strong written and oral communication skills are required.
This position requires on-site work at our Advanced Technology Lab (ATL) in Linthicum, Maryland.
Basic Qualifications:
Bachelor's degree in a technical area with 2 years of experience in Analog/Mixed Signal Circuit design (0 years with technical MS or a PhD) - Experience with full product life cycle (requirements, design, implementation, simulation, verification) of mixed signal design
Working knowledge of mixed signal design flow including design, simulation, layout and physical verification (DRC/LVS)
Experience with some of the following: IC custom design tools (e.g. Cadence or Mentor) for schematic capture, circuit simulation, and full custom layout; mixed-signal circuit design experience (Digital and Analog); physical verification utilizing Cadence Assura or Mentor Calibre
Able to obtain and maintain a Secret clearance per business requirements. US Citizenship is a requirement of this.
Preferred Qualifications:
Experience with circuit modeling in HFSS, ADS, or Matlab
Strong design automation skills
Electronics test lab experience
Knowledge of Quantum Information or Quantum Mechanics
Experience with low-temperature experimental measurements, microwave engineering
""",Northrop_Grumman,www.northropgrumman.com
