"Title","Organisation Name","Organisation Profile","Posted By - Name","Posted By - Profile","Short description","Location","Description","Seniority level","Under 10 applications","Job functions","Date posted","Source domain","Easy apply","Job type","Industry"
"Postdocs in Supercontinuum based Mid-Infrared Imaging or Quantum Imaging","DTU - Technical University of Denmark","https://www.linkedin.com/company/technical-university-of-denmark","","","-","Copenhagen, Capital Region, Denmark","If you seek a fantastic academic working environment combined with scientific excellence and want to establish a career as a scientist within supercontinuum based optical coherence tomography (OCT) imaging with either focus on mid-infrared OCT or quantum (two-photon interference) OCT, then we have the ideal opportunity for you.
Come and be a part of the new EU Horizon Europe projects (ZDZW, TURBO and SEQUOIA) and one of the world’s strongest groups developing in-house supercontinuum lasers and ultrabroad band OCT sub-surface imaging systems.
Postdoc – Mid infrared OCT (one position): You will develop high resolution mid-infrared OCT imaging systems for industrial defect localization inside wind turbine blades (project TURBO) and ceramic multilayer structures (project ZDZW).
Both projects support the EU Key Strategic Orientation of “Making Europe the first digitally led circular, climate-neutral and sustainable economy” (KSO C).
Postdoc – Quantum OCT (two positions):You will develop time domain and spectral domain quantum OCT (QOCT) imaging for the SEQUOIA project. By exploiting two-photon interference and orbital angular momentum (OAM), you will establish two novel QOCT systems. The project supports the EU Key Strategic Orientation of “Making Europe the first digitally led circular, climate-neutral and sustainable economy” (KSO C).
As a postdoc in our group, you will have the flexibility and liberty to plan your daily work as well as gain a high degree of influence on how to reach the project milestones. You will be joining a dedicated cross-disciplinary team striving to improve human health and tackle global warming. A team embracing studies on supercontinuum lasing, optical fiber fabrication, bacteria and hormone sensing, cancer diagnosis and agricultural spectroscopy.
In our group, we cherish a friendly working environment and knowledge sharing at all levels. This means that we prioritize to support and educate you in the disciplines in which you feel less confident. In addition we take pride in supporting employees who wish to promote their research to entrepreneurship. The latter is realized by our project partnerships and close collaboration with hospitals and industry.
Responsibilities and qualifications Postdoc in mid-infrared OCT (TURB0 and ZDZW projects): Your primary responsibility will be to make a compact and robust mid-infrared OCT imaging system, which operates at a center wavelength of 4µm. This will be done together with the company NORBLIS ApS, where you specifically will be in charge of the optical part and testing of the imaging system on a range of different samples. Once this is completed, you will work on upgrading another OCT system operating at 7µm and implement the concept of spectroscopic OCT. Evaluating the difference in performance between the two state-of-the-art 4µm and 7µm systems in a range of applications will be a key topic that is expected to lead to a significant number of high impact publications.
For this position we seek a strong experimentalist within optics. As an applicant, you could have experience in OCT, microscopy or bench-top optics. In addition you have a personal drive and strive towards high scientific impact.
Postdocs in Quantum OCT:You will in close collaboration with the second postdoc develop two QOCT systems. First a time domain QOCT system with Q-plate enabled OAM and subsequently a Fourier Domain (swept source) QOCT system with spatial light modulator (SLM) enabled OAM. By combining partner developed key components, you will establish the two systems where characterization and imaging ex-vivo retina samples are central responsibilities. With the above goals, we see a large potential for high impact publications. With the close postdoc collaboration, each postdoc will nevertheless have each their dedicated scientific focus:
QOCT postdoc: You will be responsible of experimentally developing the two QOCT systems and documenting the imaging performance.
For this position we seek an individual with an understanding in quantum optics and solid experience in experimental optics. In addition we are looking for person that has an urge to drive scientific results to high scientific impact.
Quantum OAM postdoc: You will responsible of developing a global analytic model for predicting performance metrics of classical OCT and QOCT with/without OAM, both for time and Fourier domain. Secondly, you will experimentally implement Q-plate and SLM enabled OAM entanglement and evaluate performance in the frame of QOCT.
For this position, we seek an individual with a strong understanding either in quantum optics or OAM (or both) and with an urge to drive scientific results to high-impact publications.
Being one of the three postdocs, you will work closely with several companies that either deliver custom hardware, software or implementation expertise for system development. A particular close collaboration will be conducted with the start-up company NORBLIS ApS, marketing mid-infrared supercontinuum lasers and OCT imaging systems.
As a formal qualification, you must hold a PhD degree (or equivalent).
We encourage anyone to apply, also if your expertise is limited to one of the requested disciplines.
We offerDTU is a leading technical university globally recognized for the excellence of its research, education, innovation and scientific advice. We offer a rewarding and challenging job in an international environment. We strive for academic excellence in an environment characterized by collegial respect and academic freedom tempered by responsibility.
Salary and terms of employmentThe appointment will be based on the collective agreement with the Danish Confederation of Professional Associations. The allowance will be agreed upon with the relevant union. The period of employment is 3 years.
You can read more about career paths at DTU here: https://www.dtu.dk/english/about/job-and-career/working-at-dtu/career-paths
Further information Further information may be obtained from Professor Ole Bang, oban@fotonik.dtu.dk, mobile: +45 2721 3805 or telephone +45 4525 6373.
You can read more about DTU Electro at www.fotonik.dtu.dk/english.
If you are applying from abroad, you may find useful information on working in Denmark and at DTU at DTU – Moving to Denmark - https://www.dtu.dk/english/about/job-and-career/moving-to-denmark
Application procedure Your complete online application must be submitted no later than 6 June 2022 (Danish time).
Apply online here: Postdocs in Supercontinuum based Mid-Infrared Imaging or Quantum Imaginghttps://www.dtu.dk/english/about/job-and-career/vacant-positions/job?id=33d4882d-66a5-4433-a81c-05e968daea42
Applications must be submitted as one PDF file containing all materials to be given consideration. To apply, please open the link ""Apply online"", fill out the online application form, and attach all your materials in English in one PDF file. The file must include:
Application (cover letter)CVAcademic Diplomas (MSc/PhD – in English)List of publications
All interested candidates irrespective of age, gender, disability, race, religion or ethnic background are encouraged to apply.
Photonics at the international forefrontDTU Fotonik has 220 employees with competences in optics and is one of the largest centers in the world based solely on research in photonics. Research is performed within optical sensors, lasers, LEDs, photovoltaics, ultra-high speed optical transmission systems, bio-photonics, nano-optics and quantum photonics.
Technology for people DTU develops technology for people. With our international elite research and study programmes, we are helping to create a better world and to solve the global challenges formulated in the UN’s 17 Sustainable Development Goals. Hans Christian Ørsted founded DTU in 1829 with a clear vision to develop and create value using science and engineering to benefit society. That vision lives on today. DTU has 13,400 students and 5,800 employees. We work in an international atmosphere and have an inclusive, evolving, and informal working environment. DTU has campuses in all parts of Denmark and in Greenland, and we collaborate with the best universities around the world.","Entry level","NO","","2022-05-31 17:11:05","","NO","Contract","Research Services"
"Quantum Measurement Engineer","Microsoft","https://www.linkedin.com/company/microsoft","","","-","Copenhagen, Capital Region, Denmark","Microsoft Quantum is dedicated to solving the world’s intractable problems and forever altering our economic, industrial, academic, and societal landscape. In just hours or days, a quantum computer can solve complex problems that would otherwise take today’s computers billions of years! This has massive implications for research in healthcare, energy, environmental systems, smart materials, and more. Most importantly, Microsoft brings the only scalable quantum system to the broadest set of customers. For more information about our team, visit https://www.microsoft.com/en-us/quantum.

Are you passionate about mesoscopic device physics, electronics and electrical transport measurements, as well as computer programming? Do you want to be part of the next revolution in computing? Microsoft is looking for you! Join our team to build a quantum computer based on topologically protected qubits.

Responsibilities

We are seeking an experimental condensed matter physicist, applied physicist, materials scientist, or electrical engineer with a background in cryogenics and semiconductor/superconductor device measurements, who:
Work with an international multi-disciplinary team of researchers and engineers to characterize hybrid semiconductor-superconductor materials that will form the basis of topological qubits.Collaborates across teams for efficient use of company expertise, including hardware, software, and measurement techniques. Documents work to more easily leverage results across teams. Collaborates with fabrication and materials growth teams to screen and improve sample quality and supports the identification of factors that drive fabrication and measurement parameters. Helps develop device designs. Develops control electronics and creates ways to measure characteristics and properties by developing cryogenic measurement techniques using DC and RF technciques.Uses suggested measurement techniques to advance quantum practices and devices. Contributes to methods of measuring devices to gauge characteristics and properties. Performs quantum measurement (e.g., code, packaging, wire bonding, installing in cryo stack), in collaboration with the team. Applies understanding of instrumentation involved (e.g., what to use, wiring and filtering for low temperature application).
Qualifications

Required/Minimum QualificationsBachelor's Degree in Physics, Engineering, or related field AND 2+ years experience in industry or in a research and development environmentOR Master's Degree in Physics, Engineering, or related field OR equivalent experience.2+ years experience with experimenting with low-dimensional semiconductors, superconductivity, or quantum information processing devices.2+ years’ experience with RF/microwave electronics (RF reflectometry, impedance matching, dispersive gate sensing, etc.).Experience in developing code in a version-controlled environment (e.g. Git).
Additional Or Preferred QualificationsBachelor's Degree in Physics, Engineering, or related field AND 5+ years experience in industry or in a research and development environmentOR Master's Degree in Physics, Engineering, or related field AND 3+ years experience in industry or in a research and development environmentOR Doctorate in Physics, Engineering, or related field OR equivalent experience.4+ years’ (PhD included) experience with low-noise electronic measurements (lockin amplifiers, analog pre-amps, etc.), cryogenic techniques (He3 cryostats or dilution refrigerators), and electrical transport characterization (for semiconductors, dielectrics, and superconductors).4+ years’ (PhD included) experience with data acquisition and programming in a high-level language (e.g. Python).Experience in automating measurement setups for higher throughput.Experience with the physics of Majorana bound states and topological properties of matter.Experience with industrial statistics techniques and tools (e.g. JMP). 
#Quantum

Microsoft Background Check

Ability to meet Microsoft, customer and/or government security screening requirements are required for this role. These requirements include, but are not limited to the following specialized security screenings: Microsoft Cloud Background Check: This position will be required to pass the Microsoft Cloud Background Check upon hire/transfer and every two years thereafter.

Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.

Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work.","","NO","","2022-05-31 17:11:05","","NO","Full-time","Software Development"
"Sales Graduate - IBM 2022 Technology Graduate Program","IBM","https://www.linkedin.com/company/ibm","","","-","Århus, Middle Jutland, Denmark","566224BR

Introduction

IBM is building the platform for future digital transformation, solving world problems with insight and technology – and we need your help!

IBM’s greatest invention is the IBMer.

We believe that through the application of intelligence, reason and science, we can improve business, society and the human condition, bringing the power of an open hybrid cloud and AI strategy to life for our clients and partners around the world. Join the forward-thinking teams at IBM solving some of the world’s most complex problems – there is no better place to grow your career!

Here’s where you come in. We’re looking for passionate, original thinkers to join us as part of our Technology Graduate Program.

Your Role and Responsibilities

As a sales graduate in IBM Denmark Technology unit, you will be part of one of our sales teams, where you will get insight into our technologies and business and get to explore how we use technology to address business challenges and create value for our clients across industry lines.

The IBM Technology Graduate program offers you a full-time permanent position starting in September 2022. The program length is set to 18 months with vast career opportunities following graduation – we will help you kick-off your career!

During the program you will learn to understand business requirements and technical capabilities, and how to combine the two to synergize and create outstanding outcomes for our customers and partners, utilizing consultative selling techniques and industry expertise.

By joining the Technology Graduate program you will be able to develop your career in IBM Technologies such as Cloud, Data, AI, cognitive applications, Security, as well as the world’s most powerful computing platforms, like Mainframes and POWER-based Cognitive Systems.

In this program, you will…Drive client value and client satisfaction by using your expertise to address client business challenges.Be supported by a network of fellow graduates, experienced professionals, mentors, and global communities.Get access to the latest training, tools and technology including certifications tailored to your role.Work in diverse teams that champion inclusion and a culture of giving back.We encourage you to apply if you…Are close to graduating OR have graduated from a university no earlier than 2020.Have less than 2 years relevant full-time work experience.Are fluent in one or more of the Nordic languages and English.Are curious about technology and want to learn more!

Please leave your application with CV highlighting your skills and ambitions, we want to learn more about you and what you hope to gain from this opportunity.

You are welcome to contact our Graduate Manager Sarah Dürr if you have any questions - SARAH@dk.ibm.com

We look forward to receiving your application!

Required Technical and Professional Expertise

An interest in technology.Ability to work collaboratively as part of a team, as well as working independently when required.Motivation to accomplish sales and business objectives.Empathy and skills to achieve high levels of customer satisfaction.Capacity to grasp and communicate technical details.A growth mindset, and commitment to continuous learning and personal development.Ability to thrive in an ever changing, technology-based environment.

About Business Unit

Preferred Technical and Professional Expertise

IBM has a global presence, operating in more than 175 countries with a broad-based geographic distribution of revenue. The company’s Global Markets organization is a strategic sales business unit that manages IBM’s global footprint, working closely with dedicated country-based operating units to serve clients locally. These country teams have client relationship managers who lead integrated teams of consultants, solution specialists and delivery professionals to enable clients’ growth and innovation. By complementing local expertise with global experience and digital capabilities, IBM builds deep and broad-based client relationships. This local management focus fosters speed in supporting clients, addressing new markets and making investments in emerging opportunities. Additionally, the Global Markets organization serves clients with expertise in their industry as well as through the products and services that IBM and partners supply. IBM is also expanding its reach to new and existing clients through digital marketplaces.

Your Life @ IBM

Are you craving to learn more? Prepared to solve some of the world's most unique challenges? And ready to shape the future for millions of people? If so, then it's time to join us, express your individuality, unleash your curiosity and discover new possibilities.

Every IBMer, and potential ones like yourself, has a voice, carves their own path, and uses their expertise to help co-create and add to our story. Together, we have the power to make meaningful change – to alter the fabric of our clients, of society and IBM itself, to create a truly positive impact and make the world work better for everyone.

It's time to define your career.

About IBM

IBM’s greatest invention is the IBMer. We believe that through the application of intelligence, reason and science, we can improve business, society and the human condition, bringing the power of an open hybrid cloud and AI strategy to life for our clients and partners around the world.

Restlessly reinventing since 1911, we are not only one of the largest corporate organizations in the world, we’re also one of the biggest technology and consulting employers, with many of the Fortune 50 companies relying on the IBM Cloud to run their business.

At IBM, we pride ourselves on being an early adopter of artificial intelligence, quantum computing and blockchain. Now it’s time for you to join us on our journey to being a responsible technology innovator and a force for good in the world.

Location Statement

IBM wants you to bring your whole self to work and for you this might mean the ability to work flexibly. If you are interested in a flexible working pattern, please talk to our recruitment team to find out if this is possible in the current working environment.

Being You @ IBM

IBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, pregnancy, disability, age, veteran status, or other characteristics. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status.","","NO","","2022-05-23 22:00:00","","NO","Full-time","IT Services and IT Consulting"
"Research Fellow - (Experimental Quantum Communication),Centre","Centre for Quantum Technologies","https://www.linkedin.com/company/quantumlah","","","-","Singapore, Singapore","About The Centre For Quantum Technologies

The Centre for Quantum Technologies (CQT) is a research centre of excellence in Singapore. It brings together physicists, computer scientists and engineers to do basic research on quantum physics and to build devices based on quantum phenomena. Experts in this new discipline of quantum technologies are applying their discoveries in computing, communications, and sensing. CQT is hosted by the National University of Singapore and also has staff at Nanyang Technological University. With some 180 researchers and students, it offers a friendly and international work environment. Learn more about CQT at www.quantumlah.org

Job Description

The team of Alexander Ling develops quantum light sources and detectors for deployable quantum communications. An emphasis is on the development of compact sources of entangled photon pairs. The team has an immediate vacancy for a post-doctoral research fellow who will be able to lead this effort. The successful candidate will join a multi-disciplinary team of scientists and engineers to study the science of entanglement generation and distribution, and to co-develop the next generation of optical devices.

Job Requirements
PhD degree in PhysicsExcellent written and spoken English
More Information

Interested candidates should provide strong evidence of relevant experience and training in the relevant science and technologies. The necessary documentation include a CV, a motivation letter and reference letters from 2 referees. Department : [[Alexander Ling ]] Job requisition ID : [[11758]]

COVID Vaccinations Message

At NUS, the health and safety of our staff and students is one of our utmost priorities and COVID-vaccination supports our commitment to ensure the safety of our community and to make NUS as safe and welcoming as possible. Many of our roles require significant amount of physical interactions with student / staff / public members. Even for job roles that can be performed remotely, there will be instances where on-campus presence is required. With effect from 15 January 2022, based on Singapore's legal requirements, unvaccinated workers will not be able work at the NUS premises. As such, we regret to inform that job applicants need to be fully COVID-19 vaccinated for successful employment with NUS.[1]

[1] MOM Updated advisory on COVID-vaccination at the Workplace, subject to changes in accordance with the national COVID-19 measures

Qualification

Doctorate (PhD)","Associate","NO","","2022-05-07 22:00:00","","NO","Full-time","Research Services"
"Research Fellow - (Experimental Quantum Communication),Centre","Centre for Quantum Technologies","https://www.linkedin.com/company/quantumlah","","","-","Singapore, Singapore","About The Centre For Quantum Technologies

The Centre for Quantum Technologies (CQT) is a research centre of excellence in Singapore. It brings together physicists, computer scientists and engineers to do basic research on quantum physics and to build devices based on quantum phenomena. Experts in this new discipline of quantum technologies are applying their discoveries in computing, communications, and sensing. CQT is hosted by the National University of Singapore and also has staff at Nanyang Technological University. With some 180 researchers and students, it offers a friendly and international work environment. Learn more about CQT at www.quantumlah.org

Job Description

The team of Alexander Ling develops quantum light sources and detectors for deployable quantum communications. An emphasis is on the development of compact sources of entangled photon pairs. The team has an immediate vacancy for a post-doctoral research fellow who will be able to lead this effort. The successful candidate will join a multi-disciplinary team of scientists and engineers to study the science of entanglement generation and distribution, and to co-develop the next generation of optical devices.

Job Requirements
PhD degree in PhysicsExcellent written and spoken English
More Information

Interested candidates should provide strong evidence of relevant experience and training in the relevant science and technologies. The necessary documentation include a CV, a motivation letter and reference letters from 2 referees. Department : [[Alexander Ling ]] Job requisition ID : [[11758]]

COVID Vaccinations Message

At NUS, the health and safety of our staff and students is one of our utmost priorities and COVID-vaccination supports our commitment to ensure the safety of our community and to make NUS as safe and welcoming as possible. Many of our roles require significant amount of physical interactions with student / staff / public members. Even for job roles that can be performed remotely, there will be instances where on-campus presence is required. With effect from 15 January 2022, based on Singapore's legal requirements, unvaccinated workers will not be able work at the NUS premises. As such, we regret to inform that job applicants need to be fully COVID-19 vaccinated for successful employment with NUS.[1]

[1] MOM Updated advisory on COVID-vaccination at the Workplace, subject to changes in accordance with the national COVID-19 measures

Qualification

Doctorate (PhD)

Qualification

Doctorate (PhD)","Associate","NO","","2022-05-09 22:00:00","","NO","Full-time","Research Services"
"Researcher: Quantum Gases & Collective Phenomena x 2 (Fixed Term)","University of Cambridge","https://www.linkedin.com/company/university-of-cambridge","","","-","Cambridge, England, United Kingdom","Fixed-term: The funds for this post are available for 24 months in the first instance.

Once an offer of employment has been accepted, the successful candidate will be required to undergo a health assessment.

The aim of the role is to work on experiments on non-equilibrium physics of ultracold atomic gases, with particular focus on turbulence, dynamics of phase transitions, and the universal dynamics of closed far-from-equilibrium quantum systems. The work will involve leading experiments, guiding PhD students, writing up results for publication and presenting them at conferences.

Click the 'Apply' button below to register an account with our recruitment system (if you have not already) and apply online.

Informal enquiries are welcomed and should be directed to: Zoran Hadzibabic Email:zh10001@cam.ac.uk

If you have any queries regarding the application process please contact the Rutherford HR at Rutherford.HR@phy.cam.ac.uk

The closing date for applications is: 15th June 2022

The interview date for the role is: TBC

Please quote reference KA31372 on your application and in any correspondence about this vacancy.

The University actively supports equality, diversity and inclusion and encourages applications from all sections of society.

The University has a responsibility to ensure that all employees are eligible to live and work in the UK.

Further information
HR7 Research Assistant/Associate Job Profile Apply online","Associate","NO","","2022-05-16 22:00:00","","NO","Full-time","Research Services"
"Research Fellow (Theoretical Quantum Information Science)","Centre for Quantum Technologies","https://www.linkedin.com/company/quantumlah","","","-","Singapore, Singapore","Research Fellow (Theoretical Quantum Information Science), Centre for Quantum Technologies

About Centre For Quantum Technologies (CQT)

The Centre for Quantum Technologies (CQT) is a research center of excellence at the National University of Singapore doing cutting-edge theoretical and experimental science. CQT is located on the campus of the National University of Singapore and offers a friendly, international work environment. Learn more about CQT at https://www.quantumlah.org/

Job Description

The Centre is looking for a talented and driven Research Fellow to join the research group of Prof. Valerio Scarani. The group specialises in foundational aspects, nonlocality and device-independent certification, quantum thermodynamics and quantum optics. The position is notably open to join the team that studies statistical irreversibility through Bayesian retrodiction. However, other topics can be considered in the case of excpetionally competent candidates.The position is open for two years, with further extensions possible in case of exceptional performance. Starting as early as 1 January 2022 and no later than 31 March 2022. Duties & Responsibilities
Leading a theoretical research project in quantum information science.Besides personal research work, this involves coordinating the work of students (Ph.D. and/or undergraduate) that are working on the topic
Job Requirements
Minimum Qualification: Ph.D. in Physics.Record of peer-reviewed publications in a relevant field: quantum information science, statistical thermodynamics, complexity theory.Proved capacity of working with several co-workers.Experience of teaching and/or follow-up of younger students' projects in the university context.Strong communication skills and writing skills.
More Information

The remuneration is competitive and depends on the expertise and skill set.For enquiries and details about the position, please contact Prof. Valerio Scarani at [email protected] .Please include your consent by filling in the NUS Personal Data Consent for Job Applicants.Employment Type : Full-timeApplications can be submitted via the link below and should contain: the latest CV, and letter of recommendation (if any).

We regret that only shortlisted candidates will be notified. At NUS, the health and safety of our staff and students is one of our utmost priorities and COVID-vaccination supports our commitment to ensure the safety of our community and to make NUS as safe and welcoming as possible. Many of our roles require significant amount of physical interactions with student / staff / public members. Even for job roles that can be performed remotely, there will be instances where on-campus presence is required. With effect from 15 January 2022, based on Singapore's legal requirements, unvaccinated workers will not be able work at the NUS premises. As such, we regret to inform that job applicants need to be fully COVID-19 vaccinated for successful employment with NUS.

Qualification

Doctorate (PhD)","Associate","NO","","2022-05-11 22:00:00","","NO","Full-time","Research Services"
"Research Fellow (Theoretical Quantum Information Science)","Centre for Quantum Technologies","https://www.linkedin.com/company/quantumlah","","","-","Singapore, Singapore","About Centre For Quantum Technologies (CQT)

The Centre for Quantum Technologies (CQT) is a research center of excellence at the National University of Singapore doing cutting-edge theoretical and experimental science. CQT is located on the campus of the National University of Singapore and offers a friendly, international work environment. Learn more about CQT at https://www.quantumlah.org/ At CQT we are developing next generation hardware for Quantum Sensors. Our team is composed of researchers with various backgrounds in science and we work at the spearhead towards developing technologies enhancing current quantum sensors and make them applicable to tackle challenging problems.

Job Description

The Centre is looking for a talented and driven Research Fellow to join the research group of Prof. Valerio Scarani. The group specialises in foundational aspects, nonlocality and device-independent certification, quantum thermodynamics and quantum optics. The position is notably open to join the team that studies statistical irreversibility through Bayesian retrodiction. However, other topics can be considered in the case of excpetionally competent candidates. The position is open for two years, with further extensions possible in case of exceptional performance. Starting as early as 1 January 2022 and no later than 31 March 2022.

Duties & Responsibilities
Leading a theoretical research project in quantum information science.Besides personal research work, this involves coordinating the work of students (Ph.D. and/or undergraduate) that are working on the topic
Job Requirements
Minimum Qualification: Ph.D. in Physics.Record of peer-reviewed publications in a relevant field: quantum information science, statistical thermodynamics, complexity theory.Proved capacity of working with several co-workers.Experience of teaching and/or follow-up of younger students' projects in the university context.Strong communication skills and writing skills.
More Information

The remuneration is competitive and depends on the expertise and skill set. For enquiries and details about the position, please contact Prof. Valerio Scarani at [email protected] . Please include your consent by filling in the NUS Personal Data Consent for Job Applicants. Employment Type : Full-time Applications can be submitted via the link below and should contain: the latest CV, and letter of recommendation (if any).

We regret that only shortlisted candidates will be notified.

Qualification

Doctorate (PhD)","Associate","NO","","2022-05-09 22:00:00","","NO","Full-time","Research Services"
"Research Fellow (Theoretical Quantum Information Science), Centre","Centre for Quantum Technologies","https://www.linkedin.com/company/quantumlah","","","-","Singapore, Singapore","About Centre For Quantum Technologies (CQT)

The Centre for Quantum Technologies (CQT) is a research center of excellence at the National University of Singapore doing cutting-edge theoretical and experimental science. CQT is located on the campus of the National University of Singapore and offers a friendly, international work environment. Learn more about CQT at https://www.quantumlah.org/ At CQT we are developing next generation hardware for Quantum Sensors. Our team is composed of researchers with various backgrounds in science and we work at the spearhead towards developing technologies enhancing current quantum sensors and make them applicable to tackle challenging problems.

Job Description

The Centre is looking for a talented and driven Research Fellow to join the research group of Prof. Valerio Scarani. The group specialises in foundational aspects, nonlocality and device-independent certification, quantum thermodynamics and quantum optics. The position is notably open to join the team that studies statistical irreversibility through Bayesian retrodiction. However, other topics can be considered in the case of excpetionally competent candidates. The position is open for two years, with further extensions possible in case of exceptional performance. Starting as early as 1 January 2022 and no later than 31 March 2022. Duties & Responsibilities
Leading a theoretical research project in quantum information science.Besides personal research work, this involves coordinating the work of students (Ph.D. and/or undergraduate) that are working on the topic
Job Requirements
Minimum Qualification: Ph.D. in Physics.Record of peer-reviewed publications in a relevant field: quantum information science, statistical thermodynamics, complexity theory.Proved capacity of working with several co-workers.Experience of teaching and/or follow-up of younger students' projects in the university context.Strong communication skills and writing skills.
More Information

The remuneration is competitive and depends on the expertise and skill set. For enquiries and details about the position, please contact Prof. Valerio Scarani at [email protected] . Please include your consent by filling in the NUS Personal Data Consent for Job Applicants. Employment Type : Full-time Applications can be submitted via the link below and should contain: the latest CV, and letter of recommendation (if any).

We regret that only shortlisted candidates will be notified.

Qualification

Doctorate (PhD)","Associate","NO","","2022-05-08 22:00:00","","NO","Full-time","Research Services"
"Research fellow and centre","Centre for Quantum Technologies","https://www.linkedin.com/company/quantumlah","","","-","Singapore, Singapore","About The Centre For Quantum Technologies

The Centre for Quantum Technologies (CQT) is a research centre of excellence in Singapore. It brings together physicists, computer scientists and engineers to do basic research on quantum physics and to build devices based on quantum phenomena. Experts in this new discipline of quantum technologies are applying their discoveries in computing, communications, and sensing.

CQT is hosted by the National University of Singapore and also has staff at Nanyang Technological University. With some 180 researchers and students, it offers a friendly and international work environment.

Job Description

The research will involve both analytical ‘pen and paper’ studies as well as numerical simulations; it is also expected that use of prototype cloud quantum computers will be involved for testing of the algorithms (in direct collaboration with experimentalists, or remotely, through access to online quantum hardware the group has access to). Part of the research will also involve interacting and collaborating with industrial players in the some of the areas mentioned above and testing some of the algorithms produced in use cases of their interest.

Current group’s research interests range from quantum simulation and computation, to quantum many-body physics, topological photonics, quantum machine learning and optimization with NISQ processors, both for basic science as well as for applied industry use cases. The latter are in direct collaboration with industry (see group’s website or contact group leader for details). The group keeps active research collaborations with world leading theory and experimental quantum groups in Singapore, Europe, China and US, both public and private ones, where mutual visits can be arranged and funded.

Job Requirements
strong research background and a PhD in quantum information/quantum algorithms or quantum physics/optics or quantum many-body physics.numerical simulation of quantum many-body systems with tensor networks for examplequantum machine learning and optimization problems, especially with NISQ devices for real world applications (chemistry, machine learning, supply chain, finance or other areas) will be a strong plus.strong publication record in high impact research journals is essential, motivation for research excellence, as well as ability to work in an interdisciplinary team is sought after.
More Information

An exciting multidisciplinary, motivated, and fun team to work with, is what we provide, based in a world level centre of ************** positions are available as soon as possible and can be up to 3 years with possible extension. More senior research appointments can also be considered for experienced candidates. Salary is very competitive and depends on experience, with access to travel funds as well.

Please include your consent by filling in the NUS Personal Data Consent for Job Applicants. A full CV, a summary of past research (2 pages), a motivation letter and plan for future research that could align with the group activities as described in our website and in this advert (2 pages), 2 papers/drafts you consider your best work, and the contact details (email) of three referees.

Covid-19 Message

At NUS, the health and safety of our staff and students are one of our utmost priorities, and COVID-vaccination supports our commitment to ensure the safety of our community and to make NUS as safe and welcoming as possible. Many of our roles require a significant amount of physical interactions with students/staff/public members. Even for job roles that may be performed remotely, there will be instances where on-campus presence is required.

In accordance with Singapore's legal requirements, unvaccinated workers will not be able to work on the NUS premises with effect from 15 January 2022. As such, job applicants will need to be fully COVID-19 vaccinated to secure successful employment with NUS.

Qualification

Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree, Doctorate (PhD)","Associate","NO","","2022-05-03 22:00:00","","NO","Full-time","Research Services"
