,Unnamed: 0,Title,Organisation ID,Organisation Name,Organisation Profile,Posted By - Name,Posted By - Profile,Short description,Location,Remote work allowed,Benefits,Workplace type,Description,Seniority level,Under 10 applications,Job functions,Date posted,Date expires,Industry,Source domain,Easy apply,Job type,Industry.1,Link,key,real_link,title,location,company,position,type,description
10,10,"Regional Sales Manager, France",b3JnOjg3MjE1,Quantum,,,,-,"Colombes, Île-de-France, France",,,Hybrid,,,,,2022-09-17 10:35:31,2022-10-05 14:13:43,,recruiting2.ultipro.com,NO,,,https://www.linkedin.com/jobs/view/3133044835,www.linkedin.com,https://www.linkedin.com/jobs/view/3133044835,"Regional Sales Manager, France",Colombes,Quantum,,Temps plein,"Whether it's unlocking the potential of digital content, powering breakthrough innovations, creating entertainment that enriches lives, or keeping nations secure, Quantum works with customers and partners to make the world a happier, safer, and smarter place.
How will you make an impact?
In your role as Regional Sales Manager (m/f/d) you will be responsible for leading the strategy and execution to drive opportunities and solutions for our customers. You will be in charge for end user sales working with our reseller channel, distribution partners and alliances across Quantum offerings to new and existing customers.
As part of our success-driven sales team, you will work independently, enjoy building strong customer relationships quickly and have a strong understanding of our customers' business. In addition, you are proficient in fostering effective internal relationships with engineering, service, marketing, operations, etc., to regularly exceed our customers' expectations.




We are on an exciting journey and invite you to shape the path with us! Are you as excited about the future of our company as we are? Then upload your CV and let's have a conversation to find out if and how we can grow together. We would love to hear from you!"
15,15,"Research Fellow, (Ultra-stable Cavities) Centre For Quantum Technologies #Urgent",b3JnOjQ2MTUxMDE=,Centre for Quantum Technologies,,,,-,"Singapore, Singapore",,,On-site,,,,,2022-10-04 14:46:12,2022-10-05 14:13:43,,www.jobstreet.com.sg,NO,,,https://www.linkedin.com/jobs/view/3294471585,www.linkedin.com,https://www.linkedin.com/jobs/view/3294471585,"Research Fellow, (Ultra-stable Cavities) Centre For Quantum Technologies #Urgent","Singapour, Singapour",Centre for Quantum Technologies,,Temps plein,"About The Job

About Centre For Quantum Technologies

The Centre for Quantum Technologies (CQT) is a research centre of excellence at the National University of Singapore doing cutting-edge theoretical and experimental science. CQT is located on the campus of the National University of Singapore and offers a friendly, international work environment. Learn more about CQT at www.quantumlah.org.


Our group has developed an optical atomic clock based on Lu+. Lutetium is a unique clock candidate in that it supports three clock transitions within the one atom enabling rigorous consistency checks on clock performance. We have shown that two of these transitions have very low systematic shifts making them competitive with the best systems in the world. In 2019 we demonstrated the feasibility of operating the clock with multiple ions which will enable improvements in measurement precision. More recently we demonstrated agreement between two clocks at the level of 10-18, which was limited by the measurement statistics and not systematic uncertainty. To further advance clock performance and develop local expertise in optical clocks, we now looking to establish in-house capabilities in the design and implementation of ultra-stable optical resonators.





The remuneration is competitive and depends on the expertise and skill set.


For enquiries and details about the position, please contact Murray Douglas at. Please include your consent by filling in the NUS Personal Data Consent for Job Applicants. Employment Type : Full-time Applications can be submitted via the link below and should contain: the latest CV, and letter of recommendation (if any).

We regret that only shortlisted candidates will be notified.


Doctorate (PhD)

Qualification

Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree, Doctorate (PhD)"
21,21,Project Coordinator (Construction) – Up to $60K + benefits!,b3JnOjEyNTA5NzE=,Quantum Management Services Ltd.,,,,-,"Montreal, QC",,,On-site,,,,,2022-10-03 20:44:31,2022-10-05 14:13:43,,www.quantum.ca,NO,,,https://www.linkedin.com/jobs/view/3293803754,ca.linkedin.com,https://ca.linkedin.com/jobs/view/project-coordinator-construction-%E2%80%93-up-to-%2460k-%2B-benefits%21-at-quantum-management-services-ltd-3335335377,Project Coordinator (Construction) – Up to $60K + benefits!,"Montréal, Québec, Canada",Les Services de gestion Quantum ltée,,Temps plein,"Position: Project Coordinator (Construction)

Location: Downtown Montreal

Salary: Up to $60K per year + benefits

Do you have experience in the construction field? Are you looking for a new challenge? One of our top clients in real estate is looking to add a to their dynamic team!







If this sounds like the role for you, don't miss out! Please send your resume in Word format to Alessandra Di Peco at the following address: alessandra.dipeco@quantum.ca .

For more details, click here .

We’re also bringing the interviews to you by various web applications, virtually! Contact us today for your next opportunity."
25,25,Scientist/Physicist,b3JnOjgxMDE1MjY4,Quantum Machines,,,,-,"Copenhagen, Capital Region, Denmark",,,On-site,,,,,2022-08-15 14:35:19,2022-10-05 14:13:43,,www.quantum-machines.co,NO,,,https://www.linkedin.com/jobs/view/3216041596,www.linkedin.com,https://www.linkedin.com/jobs/view/3216041596,Scientist/Physicist,"Copenhague, Région de la Capitale, Danemark",Quantum Machines,,Temps plein,"Would you like to work in an exciting company, within a new and fast-growing field of electronics? Come and join Quantum Machines (QM), a company working within the development and commercialization of quantum computing. Established in 2018, QM is the leading provider of qubit-agnostic quantum control and operation systems, giving the world’s most leading researchers and organizations with the critical tools they need to develop useful quantum computers.

Quantum Machines is an Israeli based venture backed by global capital sponsors, including TLV Partners, Battery Ventures, Red Dot Capital Partners, Avigdor Willenz’ investment group, Harel Insurance, and others. In 2022, QM acquired the Danish company QDevil (established in 2016), a developer and producer of electronic instruments and parts specialized for quantum electronics research. Together, we are now able to support the quantum computing community with full stack solutions.

You will work in multiple areas, together with your colleagues:



We are looking for a person with these technical qualifications:"
26,26,"Research Fellow, (Ultra-stable Cavities) Centre For Quantum Technologies",b3JnOjQ2MTUxMDE=,Centre for Quantum Technologies,,,,-,"Singapore, Singapore",,,On-site,,,,,2022-09-30 14:46:16,2022-10-05 14:13:43,,www.jobstreet.com.sg,NO,,,https://www.linkedin.com/jobs/view/3284100788,www.linkedin.com,https://www.linkedin.com/jobs/view/3284100788,"Research Fellow, (Ultra-stable Cavities) Centre For Quantum Technologies","Singapour, Singapour",Centre for Quantum Technologies,,Temps plein,"About Centre For Quantum Technologies

The Centre for Quantum Technologies (CQT) is a research centre of excellence at the National University of Singapore doing cutting-edge theoretical and experimental science. CQT is located on the campus of the National University of Singapore and offers a friendly, international work environment. Learn more about CQT at www.quantumlah.org.


Our group has developed an optical atomic clock based on Lu+. Lutetium is a unique clock candidate in that it supports three clock transitions within the one atom enabling rigorous consistency checks on clock performance. We have shown that two of these transitions have very low systematic shifts making them competitive with the best systems in the world. In 2019 we demonstrated the feasibility of operating the clock with multiple ions which will enable improvements in measurement precision. More recently we demonstrated agreement between two clocks at the level of 10-18, which was limited by the measurement statistics and not systematic uncertainty. To further advance clock performance and develop local expertise in optical clocks, we now looking to establish in-house capabilities in the design and implementation of ultra-stable optical resonators.





The remuneration is competitive and depends on the expertise and skill set.


For enquiries and details about the position, please contact Murray Douglas at. Please include your consent by filling in the NUS Personal Data Consent for Job Applicants. Employment Type : Full-time Applications can be submitted via the link below and should contain: the latest CV, and letter of recommendation (if any).

Department : [[Centre For Quantum Technologies]] Job requisition ID : [[9192]]

Qualification

Doctorate (PhD)"
85,85,Research Fellow (Multi-party Quantum Cryptography) Centre for Quantum Technologies,b3JnOjQ2MTUxMDE=,Centre for Quantum Technologies,,,,-,"Singapore, Singapore",,,,,,,,2022-10-01 02:45:07,2022-10-05 14:13:47,,www.jobstreet.com.sg,NO,,,https://www.linkedin.com/jobs/view/3286414403,www.linkedin.com,https://www.linkedin.com/jobs/view/3286414403,Research Fellow (Multi-party Quantum Cryptography) Centre for Quantum Technologies,"Singapour, Singapour",Centre for Quantum Technologies,,Temps plein,"About The Centre For Quantum Technologies

The Centre for Quantum Technologies (CQT) is a research centre of excellence in Singapore. It brings together physicists, computer scientists and engineers to do basic research on quantum physics and to build devices based on quantum phenomena. Experts in this new discipline of quantum technologies are applying their discoveries in computing, communications, and sensing.

CQT is hosted by the National University of Singapore and also has staff at Nanyang Technological University. With some 180 researchers and students, it offers a friendly and international work environment.

Learn more about CQT at ***************


The Centre for Quantum Technologies (CQT) at the National University of Singapore (NUS) is offering a position for a postdoctoral fellow who will work on quantum cryptography, specifically multi-party quantum cryptography. Sample topics include



The candidate should have a strong track-record working on technical aspects of quantum information theory and cryptography. The candidate is expected to have a PhD in electrical engineering, computer science, physics or applied mathematics and a publication record in quantum information theory.

The candidate will work closely with Assoc. Prof. Marco Tomamichel . The position is funded by the QEP (Quantum Engineering Programme) project “Quantum homomorphic encryption: the Swiss army knife for the quantum internet?” and thus the research conducted must be within its scope, i.e., roughly around the sample topics mentioned above. The candidate is expected to use the postdoctoral stint to develop a strong research profile by conduction research on the above-mentioned *********** are also expected to contribute to the group, for example by co-supervising undergraduate student projects and assisting with teaching.

For more information about the group's research interests, please visit the homepage at

Salary will be competitive and will be commensurate with the candidates work experience. The successful applicant will also receive generous travel funding.

Applicants should submit a detailed CV and the completedNUS Personal Data Consent for Job Applicants NUS Career Portal. Positions will initially be offered for one year, with the option to extend up to a total of three years. The start date is flexible. If shortlisted, applicants should also arrange for at least two to three letters of reference to be sent to the same address.

We regret that only shortlisted candidates will be notified.


Location: [[Kent Ridge]]

Department : [[Centre for Quantum Technologies]]

Job requisition ID : [[17440]]

Covid-19 Message

At NUS, the health and safety of our staff and students are one of our utmost priorities, and COVID-vaccination supports our commitment to ensure the safety of our community and to make NUS as safe and welcoming as possible. Many of our roles require a significant amount of physical interactions with students/staff/public members. Even for job roles that may be performed remotely, there will be instances where on-campus presence is required.

Taking into consideration the health and well-being of our staff and students and to better protect everyone in the campus, applicants are strongly encouraged to have themselves fully COVID-19 vaccinated to secure successful employment with NUS.

Qualification

Not Specified"
130,130,Customer Content Specialist (m/f/d),b3JnOjcxMw==,Boeing,,,,-,"Neu-Isenburg, Hesse, Germany",,,,,,,,2022-10-01 17:29:05,2022-10-05 14:13:51,,jobs.boeing.com,NO,,,https://www.linkedin.com/jobs/view/3298003160,www.linkedin.com,https://www.linkedin.com/jobs/view/3298003160,Customer Content Specialist (m/f/d),"Neu-Isenburg, Hesse, Allemagne",Boeing,,Temps plein,"Job Description

At Boeing, we innovate and collaborate to make the world a better place. From the seabed to outer space, you can contribute to work that matters with a company where diversity, equity and inclusion are shared values. We’re committed to fostering an environment for every teammate that’s welcoming, respectful and inclusive, with great opportunity for professional growth. Find your future with us.

Our Revision Control Services (RCS) team serves as an integrating interface between the Global Client Management and our Global Aeronautical Data Management teams. Revised content is managed to be updated in customer subscriptions and made available to downstream processes and customer delivery. RCS is looking for a for a fulltime in Neu-Isenburg, Germany.










This requisition is for a locally hired position in Germany. CANDIDATES MUST HAVE CURRENT LEGAL AUTHORIZATION TO WORK IMMEDIATELY IN GERMANY. BOEING WILL NOT ATTEMPT TO OBTAIN IMMIGRATION AND LABOUR SPONSORSHIP FOR ANY APPLICANTS. Benefits and pay are determined at the local level and are not part of Boeing U.S. based payroll.


This position does not offer relocation. Candidates must live in the immediate area or relocate at their own expense.


Boeing is an Equal Opportunity Employer. Employment decisions are made without regard to race, color, religion, national origin, gender, sexual orientation, gender identity, age, physical or mental disability, genetic factors, military/veteran status or other characteristics protected by law."
146,146,Open application,b3JnOjEzMDMzOTY=,IQM Quantum Computers,,,,-,"Espoo, Uusimaa, Finland",,,On-site,,,,,2022-06-09 09:45:26,2022-10-05 14:13:51,,iqm.teamtailor.com,NO,,,https://www.linkedin.com/jobs/view/3155101236,www.linkedin.com,https://www.linkedin.com/jobs/view/3155101236,Open application,"Espoo, Uusimaa, Finlande",IQM Quantum Computers,,Autre,"IQM is the European leader in superconducting quantum computers, headquartered in Espoo, Finland. We have grown to 190+ employees and have established a subsidiary in Germany, France and Spain. We build quantum computers for research laboratories and supercomputing centers. For industrial customers, we deliver quantum advantage through our unique application-specific co-design approach."
156,156,Senior Economist/Research Manager (m/w/d),b3JnOjE2MjQ3,Deloitte,,,,-,"Munich, Bavaria, Germany",,,On-site,,,,,2022-10-05 10:24:00,2022-10-05 14:13:55,,job.deloitte.com,NO,,,https://www.linkedin.com/jobs/view/3127522873,www.linkedin.com,https://www.linkedin.com/jobs/view/3127522873,Senior Economist/Research Manager (m/w/d),"Munich, Bavière, Allemagne",Deloitte,,Temps plein,"Du machst den Unterschied. Ob im Business Audit & Assurance, Risk Advisory, Tax & Legal, Financial Advisory oder Consulting: Wir bei Deloitte unterstützen unsere weltweiten Mandanten dabei, sich kontinuierlich weiterzuentwickeln. Entdecke ein vielfältiges Arbeitsumfeld, das ständig in Bewegung ist und immer um ein Zentrum kreist: dich und dein Know-how. What impact will you make?

Du willst im Bereich unsere Position als Thought Leader stärken? Unser Team analysiert volkswirtschaftliche, technologische und Industrietrends und bereitet diese in unterschiedlichen Formaten, Studien und Modellen auf. Sichere unseren gemeinsamen Erfolg und mach mit uns den Unterschied: als .

Standort: .








Unser Recruiting-Team freut sich auf deine Bewerbungsunterlagen (CV sowie Abitur-, Hochschul- und Arbeitszeugnisse) über unser Online-Formular. Ein Anschreiben ist nicht notwendig.

: Wir begrüßen ausdrücklich auch Bewerbungen von Menschen mit Behinderung. Alle Infos zu unserem Bewerbungsprozess findest du in unseren .

Job-ID: 40639"
171,171,Open application,b3JnOjEzMDMzOTY=,IQM Quantum Computers,,,,-,"Espoo, Uusimaa, Finland",,,On-site,,,,,2022-06-09 09:45:26,2022-10-05 14:13:55,,iqm.teamtailor.com,NO,,,https://www.linkedin.com/jobs/view/3155101236,www.linkedin.com,https://www.linkedin.com/jobs/view/3155101236,Open application,"Espoo, Uusimaa, Finlande",IQM Quantum Computers,,Autre,"IQM is the European leader in superconducting quantum computers, headquartered in Espoo, Finland. We have grown to 190+ employees and have established a subsidiary in Germany, France and Spain. We build quantum computers for research laboratories and supercomputing centers. For industrial customers, we deliver quantum advantage through our unique application-specific co-design approach."
